,0
ley_sn_escoria_pct_prev,0.1559566831294745
interaccion_Sn_x_FeO_prev,0.0455068409914009
interaccion_C_x_Sn_prev,0.020175138210021613
cum_feed_conc_kg_prev,0.016732631516634667
ratio_sn_feo_prev,0.016031319483051143
avance_reduccion_sn_prev,0.015051609425186085
ratio_sn_sio2_prev,0.014310217240797285
log_ratio_sn_sio2_prev,0.013882114371460252
d_presion_suministro_gn_lanza_kpa,0.01198149296873352
volumen_aire_inyectado_lanza_escalon_nm3,0.011563806958372846
d_presion_suministro_o2_lanza_kpa,0.01029346203688184
grad_presion_suministro_o2_lanza_kpa,0.008463189495491564
sn_inventario_escoria_est_kg_prev,0.007705530811965677
posicion_vertical_lanza_mm_prev,0.007611178583791301
cum_feed_reciclo_kg_prev,0.00688328005585539
d_posicion_vertical_lanza_mm,0.00576274590809629
temperatura_gas_pre_bhf_celsius_prev,0.005058823088393227
interaccion_FeO_x_B2_prev,0.00502823075867258
tasa_o2_nm3_min,0.004830979157660909
tiro_horno_pct_prev,0.00444039104590912
indice_estructural_molar_prev,0.0043544088487727835
oxidante_sobre_carga_total,0.004348041671505309
relacion_C_carga,0.004058635324658178
sn_dross_Fe_t5_kgf,0.004030699180778608
interaccion_B2_x_temp_prev,0.003967290109508981
tasa_gn_nm3_min,0.0036679186685592002
cum_feed_dross_Fe_kg_prev,0.003215556922995133
basicidad_B4_prev,0.003187041272639757
volumen_o2_inyectado_lanza_escalon_nm3,0.0031679207940603416
interaccion_C_x_temp_prev,0.003087013725808818
indice_irf_prev,0.0030378140635944906
escalon_idx,0.0025521793339483346
carbon_sobre_inventario_sn_prev,0.0024613213388944956
ley_sn_reciclo_batch_pct,0.0024205289734812174
interaccion_C_x_exceso_o2,0.0023316698268403433
log_ratio_sn_feo_prev,0.0021906454586340996
relacion_C_Sn_carga,0.002095491753238932
feed_Sn_kgf,0.00206779978070899
interaccion_C_x_FeO_prev,0.001801710809161383
sn_conc_t1_kgf,0.001664181665706943
lanza_pos_x_gas_total,0.0015242487681657035
feed_Carbon_kgh,0.0014848376052092327
feed_Carbon_reduccion_kgh,0.0013112691546574462
relacion_CaO_carga_Fe,0.0013106438294643973
grad_presion_suministro_gn_lanza_kpa,0.0011806019349513753
presion_suministro_gn_lanza_kpa,0.0011522238405790252
cum_feed_total_kg_prev,0.0011433633880847615
tasa_feed_pellets_kg_min,0.0009994573646988191
feed_conc_t1_kgh,0.0009418248000003793
feed_total_kgh,0.0008072097834974868
ley_sn_pellets_batch_pct,0.0007147513682681961
frac_dross_carga,0.0006317782889545098
frac_Fe_carga,0.0005831524995614012
total_process_gas_nm3_min,0.000562346723186291
margen_presion_gn,0.0005361542974605893
tasa_feed_Fe_kg_min,0.0005021616610530355
ratio_feo_sio2_prev,0.0004956176744593144
tasa_feed_Carbon_reduccion_kg_min,0.0004845265226494533
frac_carga_secundaria,0.0004511471578269033
o2_teorico_combustion_nm3,0.0003891954091279182
frac_reciclo_carga,0.0003503131798672676
ley_fe_total_escoria_pct_prev,0.00031609789789359687
feed_dross_Fe_kgh,0.0003063126434652341
cum_gn_nm3_prev,0.0003012151705959143
frac_conc_carga,0.00029410696872613775
estequiometria_lanza_planta_pct,0.00021611662438936197
relacion_C_cum_Sn_cum_prev,0.0001240036442219816
cum_feed_Sn_kg_prev,6.823998475893322e-05
termocupla_media_celsius_prev,5.365451458334558e-05
duracion_plan_min,2.749629966620759e-05
carga_termica_relativa,6.246564371981123e-07
espesor_ladrillo_norm_mm,0.0
orden_escalon_fase,0.0
frac_pellets_carga,-1.1037974274508144e-05
feed_pellets_t7_kgh,-6.446206733985438e-05
oxygen_enrichment_pct,-7.143035345842374e-05
ley_sio2_escoria_pct_prev,-0.00015616039541725967
ley_sn_dross_batch_pct,-0.00016920422054416128
enriquecimiento_o2_lanza_planta_pct,-0.00021106565571720192
tasa_feed_Carbon_fusion_kg_min,-0.0002352650253156563
presion_suministro_o2_lanza_kpa,-0.00026854141458576564
sn_Fe_t4_kgf,-0.000279804280027518
indice_severidad_reductora,-0.00028666549352134306
ley_sn_carga_pct,-0.0003706252717555092
relacion_CaO_carga,-0.00037088963739868587
feo_inventario_escoria_est_kg_prev,-0.0004498350677116569
tasa_feed_conc_kg_min,-0.0004512293479167484
ley_sn_carga_batch_pct,-0.00045204915185004246
ley_sn_conc_batch_pct,-0.0005664186247400949
feed_Carbon_fusion_kgh,-0.0005948067080204123
interaccion_lanza_x_gn,-0.0007394674654819689
tasa_feed_Sn_kg_min,-0.0007683522268459697
ley_cao_escoria_pct_prev,-0.0008654253905525211
ley_sn_Fe_batch_pct,-0.0009437626512889486
exceso_C_estequiometrico_pct,-0.0010357635169119471
exceso_o2_combustion_pct,-0.0010526715701202783
ley_feo_escoria_pct_prev,-0.0012133370376256059
cum_feed_Carbon_kg_prev,-0.0012153449441542508
tasa_aire_nm3_min,-0.0012182979631151004
tasa_feed_reciclo_kg_min,-0.0013454060621184815
cum_aire_nm3_prev,-0.0013878973291217456
o2_disponible_nm3,-0.0015592385144643118
temperatura_horno_celsius_prev,-0.0015697077182794006
volumen_gas_natural_inyectado_lanza_escalon_nm3,-0.0015779000948962674
cum_feed_Fe_kg_prev,-0.001580696533202186
feed_reciclo_t3_kgh,-0.0016103330040985186
feed_Fe_kgh,-0.0016621912539416695
delta_tiempo,-0.001743649348920151
tasa_feed_Carbon_kg_min,-0.0019063104637828455
basicidad_B2_prev,-0.0021607803410434332
grad_temperatura_horno_celsius_prev,-0.0026768377057061034
tiempo_fase,-0.0030059499522978373
tasa_feed_dross_Fe_kg_min,-0.003264240303742527
feed_CaO_kgh,-0.00334040410112364
tasa_feed_total_kg_min,-0.003379258459145329
tiempo,-0.0034706268640759983
