,0
feed_Sn_kgf,0.05624841048633853
feo_inventario_escoria_est_kg_prev,0.03352835736383188
posicion_vertical_lanza_mm,0.009739915164763779
o2_disponible_nm3,0.007076124082397261
sn_inventario_escoria_est_kg_prev,0.005983848335250896
interaccion_Sn_x_FeO_prev,0.0054616479407060044
masa_escoria_est_kg_prev,0.0054355755012601035
avance_reduccion_sn_prev,0.0051557075063037635
posicion_vertical_lanza_mm_prev,0.005008491536966364
cum_aire_nm3_prev,0.00373166410089687
relacion_CaO_carga,0.003261763624321867
feed_carga_secundaria_kgh,0.0028759061663503394
interaccion_C_x_Sn_prev,0.0026877971720137284
cum_feed_dross_Fe_kg_prev,0.0024739863923906925
cum_feed_conc_kg_prev,0.002343363911534624
duracion_plan_min,0.001843424155381479
basicidad_B4_prev,0.0015796268014260928
feed_Carbon_reduccion_kgh,0.0014417941952453717
carbon_sobre_inventario_sn_prev,0.0014034616684678314
feed_total_kgh,0.001256431484228182
carga_termica_relativa,0.0012024150628706432
volumen_aire_inyectado_lanza_escalon_nm3,0.0011702654713472648
d_presion_suministro_gn_lanza_kpa,0.0011623003239712658
ley_sn_escoria_pct_prev,0.001073322646400654
interaccion_B2_x_temp_prev,0.0009083790582665064
cum_feed_pellets_kg_prev,0.0007866624736528438
tasa_aire_nm3_min,0.0007768086668598961
oxidante_sobre_carga_total,0.0007566851689274401
ratio_sn_sio2_prev,0.000702281687419859
grad_presion_suministro_gn_lanza_kpa,0.0006811014487670519
d_posicion_vertical_lanza_mm,0.0006705744398075808
ley_sn_conc_batch_pct,0.0006404522933415535
indice_severidad_reductora,0.0004991506757793029
cum_feed_carga_secundaria_kg_prev,0.0004797473843206168
tasa_feed_dross_Fe_kg_min,0.00047423024679913437
tasa_feed_reciclo_kg_min,0.00041822106420432716
interaccion_C_x_temp_prev,0.00034362793710938087
temperatura_gas_pre_bhf_celsius_prev,0.000342087127796753
feed_CaO_kgh,0.00031995180636332774
feed_conc_t1_kgh,0.0002784843120865688
frac_carga_secundaria,0.0002672434971398019
temperatura_horno_celsius_prev,0.00025280946164938365
relacion_C_Sn_carga,0.0002494085510626132
ley_sn_carga_batch_pct,0.00018727439499723885
enriquecimiento_o2_lanza_planta_pct,0.0001789047816274092
indice_estructural_molar_prev,0.00016990606370981265
relacion_CaO_carga_Fe,0.00016758006902946044
frac_pellets_carga,0.00016398451267445323
ley_sn_dross_batch_pct,0.0001566720283845635
feed_pellets_t7_kgh,0.00015222062875170917
exceso_o2_combustion_pct,8.050241510970668e-05
cum_feed_Fe_kg_prev,6.90927258198526e-05
tasa_feed_Fe_kg_min,6.495533045272061e-05
ley_sn_pellets_batch_pct,3.696664984385034e-05
feed_dross_Fe_kgh,1.7084300305958423e-05
tasa_feed_Carbon_fusion_kg_min,8.653837717065294e-06
espesor_ladrillo_norm_mm,0.0
orden_escalon_fase,0.0
escalon_idx,0.0
termocupla_media_celsius_prev,-6.283558438346937e-06
basicidad_B2_prev,-1.2468145148636367e-05
cum_feed_CaO_kg_prev,-1.584427630676455e-05
sn_pellets_t7_kgf,-6.280664878643982e-05
frac_Fe_carga,-7.784162986910204e-05
tasa_feed_pellets_kg_min,-0.00011093045956489522
ley_sn_reciclo_batch_pct,-0.0001537246131502634
ratio_sn_feo_prev,-0.00015862957557719604
feed_Carbon_fusion_kgh,-0.0001603319025796468
oxygen_enrichment_pct,-0.00016806783975056305
exceso_C_estequiometrico_pct,-0.0001681000729178539
grad_posicion_vertical_lanza_mm,-0.00018956479803384775
total_process_gas_nm3_min,-0.00021838886611666997
frac_dross_carga,-0.00022290468179972934
log_ratio_sn_feo_prev,-0.00022890948480911444
tasa_feed_Sn_kg_min,-0.0002339219357230471
frac_conc_carga,-0.00024491891098901155
interaccion_lanza_x_gn,-0.0002763017214886698
log_ratio_sn_sio2_prev,-0.0003604619178432911
volumen_o2_inyectado_lanza_escalon_nm3,-0.00036549117546100793
estequiometria_lanza_planta_pct,-0.0003811417331698097
tasa_feed_Carbon_reduccion_kg_min,-0.00039290900352504374
ley_sn_carga_pct,-0.00040489240506220715
sn_conc_t1_kgf,-0.00040955900856169957
ley_fe_total_escoria_pct_prev,-0.00044462557261994997
tiro_horno_pct_prev,-0.00044906720656612276
presion_suministro_gn_lanza_kpa,-0.00048273825818978544
grad_presion_suministro_o2_lanza_kpa,-0.0005210854199987347
ley_cao_escoria_pct_prev,-0.0005259542912517512
ley_feo_escoria_pct_prev,-0.0005437778273034821
interaccion_FeO_x_B2_prev,-0.000545296823581376
tasa_feed_Carbon_kg_min,-0.0006463677884370079
frac_reciclo_carga,-0.0006701477992867799
feed_Fe_kgh,-0.0006790848656929693
presion_suministro_o2_lanza_kpa,-0.0006990763960362578
cum_o2_nm3_prev,-0.0007600208557185795
interaccion_C_x_exceso_o2,-0.0007645207767314144
d_presion_suministro_o2_lanza_kpa,-0.000774435924432404
lanza_pos_x_gas_total,-0.0007835668649073702
ley_sn_Fe_batch_pct,-0.0008485958359733204
tasa_feed_conc_kg_min,-0.0009358347166314341
sn_dross_Fe_t5_kgf,-0.0009706638732575268
indice_irf_prev,-0.001001184034332514
feed_Carbon_kgh,-0.0010575367621798782
cum_feed_Carbon_kg_prev,-0.0011185274686825065
ley_sio2_escoria_pct_prev,-0.0011505517340904881
tasa_gn_nm3_min,-0.0011620845178846873
grad_temperatura_horno_celsius_prev,-0.0011817588876154694
presion_punta_lanza_kpa_prev,-0.001265778067416612
tasa_feed_total_kg_min,-0.001273526921433521
sn_reciclo_t3_kgf,-0.0014082766130551372
interaccion_C_x_FeO_prev,-0.0014780006025903792
tasa_o2_nm3_min,-0.0016124330875356252
cum_feed_reciclo_kg_prev,-0.001684326629834132
relacion_C_cum_Sn_cum_prev,-0.0017448745923238861
ratio_feo_sio2_prev,-0.001812929012972142
volumen_gas_natural_inyectado_lanza_escalon_nm3,-0.0021021826679993305
o2_teorico_combustion_nm3,-0.0025184819864995543
tiempo_fase,-0.0026037595717183005
relacion_C_carga,-0.0029885760977896637
cum_feed_total_kg_prev,-0.003409714474700687
tiempo,-0.0034399688466036247
sn_Fe_t4_kgf,-0.003536380486036195
cum_feed_Sn_kg_prev,-0.0037133137651487623
cum_gn_nm3_prev,-0.003969161251388753
margen_presion_gn,-0.004641633172617699
delta_tiempo,-0.004755213097585864
feed_reciclo_t3_kgh,-0.0048173642351363455
tasa_feed_CaO_kg_min,-0.005847883698029088
