,0
interaccion_Sn_x_FeO_prev,0.17648813957529158
ley_sn_escoria_pct_prev,0.059038152264405654
ratio_sn_sio2_prev,0.05720002960180941
ratio_sn_feo_prev,0.033715745038962755
cum_feed_Carbon_kg_prev,0.01861737714389764
ley_feo_escoria_pct_prev,0.014141931815418873
grad_temperatura_horno_celsius_prev,0.011534935566508132
ley_cao_escoria_pct_prev,0.011342176005490234
posicion_vertical_lanza_mm_prev,0.011018610015181762
relacion_C_cum_Sn_cum_prev,0.010158602440079646
feed_Sn_kgf,0.009733437375560294
log_ratio_sn_feo_prev,0.008645150896135734
lanza_pos_x_gas_total,0.008395860354658734
tasa_feed_dross_Fe_kg_min,0.006030393802446099
carbon_sobre_inventario_sn_prev,0.005797093865337844
log_ratio_sn_sio2_prev,0.005386640560775158
tasa_feed_Sn_kg_min,0.004850241804005839
interaccion_FeO_x_B2_prev,0.004171710721729394
feed_dross_Fe_kgh,0.004024430700889647
tasa_aire_nm3_min,0.003785332717295686
feed_total_kgh,0.0035242164646767994
tasa_feed_total_kg_min,0.0035056398675417768
ley_fe_total_escoria_pct_prev,0.0032738261717677464
feed_conc_t1_kgh,0.0030527238354199904
feed_pellets_t7_kgh,0.0018586681029018504
presion_suministro_o2_lanza_kpa,0.0018371121712287275
ley_sn_reciclo_batch_pct,0.0014753023697557932
tasa_feed_Fe_kg_min,0.001475117293709949
ley_sio2_escoria_pct_prev,0.0013784869614265282
cum_feed_Sn_kg_prev,0.0013085549288770482
masa_escoria_est_kg_prev,0.0012368644057177524
interaccion_C_x_Sn_prev,0.0009240709865720564
ley_sn_carga_batch_pct,0.0007805117042009258
o2_teorico_combustion_nm3,0.000713177584634761
feed_reciclo_t3_kgh,0.0006510207633792619
sn_Fe_t4_kgf,0.0005664773487421782
tasa_feed_Carbon_fusion_kg_min,0.0005609385486287976
cum_feed_CaO_kg_prev,0.0005481818562385499
sn_dross_Fe_t5_kgf,0.0004435629849143696
