,0
ley_cao_escoria_pct_prev,0.14076436817518234
grad_temperatura_horno_celsius_prev,0.0349548358710237
masa_escoria_est_kg_prev,0.019689802744845664
margen_presion_gn,0.01388642428843756
ley_sn_carga_batch_pct,0.011078896589369535
relacion_CaO_carga_Fe,0.010687669157461954
cum_feed_Carbon_kg_prev,0.010528427178762767
tasa_aire_nm3_min,0.010303816931169552
posicion_vertical_lanza_mm_prev,0.009181957184007383
interaccion_Sn_x_FeO_prev,0.008312535721585768
presion_suministro_gn_lanza_kpa,0.006286576992892923
feed_Sn_kgf,0.005688068572291094
indice_irf_prev,0.0050711726876378595
lanza_pos_x_gas_total,0.004555031984919644
grad_presion_suministro_o2_lanza_kpa,0.00390233183816695
relacion_C_cum_Sn_cum_prev,0.0036901766466109764
ratio_feo_sio2_prev,0.0031688291818573245
presion_suministro_o2_lanza_kpa,0.0030995059783262002
carbon_sobre_inventario_sn_prev,0.0029678654314650556
sn_pellets_t7_kgf,0.002807825952186538
d_presion_suministro_o2_lanza_kpa,0.0025916030591298655
ley_sn_escoria_pct_prev,0.0025727570287693347
ley_fe_total_escoria_pct_prev,0.0022630906082716563
cum_feed_reciclo_kg_prev,0.002215297803663896
avance_reduccion_sn_prev,0.0021852655246272336
total_process_gas_nm3_min,0.0021135786044206737
ley_feo_escoria_pct_prev,0.002044804129663458
posicion_vertical_lanza_mm,0.0014197901720996997
ratio_sn_sio2_prev,0.0012485435895202234
interaccion_C_x_Sn_prev,0.0011756187977132627
interaccion_C_x_FeO_prev,0.0011658569760101712
tasa_feed_conc_kg_min,0.0011585156066132197
o2_disponible_nm3,0.001005176509550254
ley_sio2_escoria_pct_prev,0.0009111551381867811
tasa_feed_CaO_kg_min,0.0005534803649556829
cum_feed_CaO_kg_prev,0.000551353270067545
volumen_aire_inyectado_lanza_escalon_nm3,0.0005269418021728312
feed_total_kgh,0.0004535986099475364
sn_conc_t1_kgf,0.0004535221189600813
termocupla_media_celsius_prev,0.0004399975952741997
