,0
interaccion_Sn_x_FeO_prev,0.23363282062656143
ley_sn_escoria_pct_prev,0.044017615041867145
posicion_vertical_lanza_mm_prev,0.009872152344671915
interaccion_C_x_Sn_prev,0.007595274237444572
ratio_sn_sio2_prev,0.006750898857101983
tiro_horno_pct_prev,0.005683297669002441
ratio_sn_feo_prev,0.005017714447445076
grad_presion_suministro_gn_lanza_kpa,0.004938246312335059
ley_sn_conc_batch_pct,0.003810198777258922
carbon_sobre_inventario_sn_prev,0.0033436218236753356
avance_reduccion_sn_prev,0.002752657893806898
margen_presion_gn,0.0025907670935775063
tiempo,0.0023875934701212296
grad_presion_suministro_o2_lanza_kpa,0.0022952601149855536
presion_punta_lanza_kpa_prev,0.0022895310383629574
tasa_feed_pellets_kg_min,0.002285192125638447
sn_inventario_escoria_est_kg_prev,0.002224401305388657
feed_total_kgh,0.002069683546055612
feed_CaO_kgh,0.0018878808434832806
feed_pellets_t7_kgh,0.00156850958859176
indice_severidad_reductora,0.0013020983325451763
ley_sio2_escoria_pct_prev,0.001158694335913446
log_ratio_sn_sio2_prev,0.0011380836248612082
feed_Sn_kgf,0.0011004334729381338
enriquecimiento_o2_lanza_planta_pct,0.0009866788010464366
tasa_aire_nm3_min,0.0009412022767138817
relacion_CaO_carga_Fe,0.0009176833061562472
tasa_feed_CaO_kg_min,0.000824359011789344
interaccion_C_x_temp_prev,0.0007989601689612824
total_process_gas_nm3_min,0.0007454613931425324
exceso_o2_combustion_pct,0.0007223259198905652
estequiometria_lanza_planta_pct,0.0007149855468878696
tasa_o2_nm3_min,0.0007091920789993322
ley_sn_dross_batch_pct,0.0007007269934510285
d_presion_suministro_o2_lanza_kpa,0.0006967247963467704
d_posicion_vertical_lanza_mm,0.0006826734313911675
d_presion_suministro_gn_lanza_kpa,0.0006539482940092434
cum_feed_reciclo_kg_prev,0.0006507388963963967
tasa_feed_Fe_kg_min,0.0006257070032181344
basicidad_B2_prev,0.0005881506810263559
feed_Carbon_reduccion_kgh,0.0005319469620816087
ley_fe_total_escoria_pct_prev,0.0005275724521614178
oxygen_enrichment_pct,0.00045721801068230314
interaccion_FeO_x_B2_prev,0.00043475001148458593
feo_inventario_escoria_est_kg_prev,0.0004304119744342527
cum_aire_nm3_prev,0.00042695466455471286
relacion_C_cum_Sn_cum_prev,0.00040390880157410437
ley_feo_escoria_pct_prev,0.00035908737992746965
cum_feed_conc_kg_prev,0.0003214938630940578
cum_feed_Fe_kg_prev,0.00026701504059158945
presion_suministro_o2_lanza_kpa,0.000217408807898134
ley_sn_pellets_batch_pct,0.00018384382058207472
tasa_feed_Carbon_reduccion_kg_min,0.00011436384267971
interaccion_C_x_exceso_o2,8.983413634939818e-05
feed_Carbon_fusion_kgh,6.425369813740644e-05
frac_Fe_carga,4.661598645183673e-05
frac_dross_carga,3.625881518387608e-05
interaccion_B2_x_temp_prev,2.7565351636815726e-05
frac_pellets_carga,1.866344736134451e-05
frac_conc_carga,1.5638240960713644e-05
tasa_feed_dross_Fe_kg_min,5.43900385197027e-07
tasa_feed_Carbon_fusion_kg_min,0.0
termocupla_media_celsius_prev,0.0
tasa_feed_reciclo_kg_min,0.0
orden_escalon_fase,0.0
espesor_ladrillo_norm_mm,0.0
sn_reciclo_t3_kgf,0.0
frac_reciclo_carga,-5.1639953881243985e-06
escalon_idx,-8.280247911618411e-06
