,0
sn_inventario_escoria_est_kg_prev,0.7269466874805646
avance_reduccion_sn_prev,0.11454249890328257
ley_sn_escoria_pct_prev,0.003033100051514315
interaccion_Sn_x_FeO_prev,0.0015687310463293968
masa_escoria_est_kg_prev,0.0007397772661474677
ratio_sn_feo_prev,0.0005547426901074681
ratio_sn_sio2_prev,0.000488561698482548
cum_feed_reciclo_kg_prev,0.0004657664700316921
temperatura_gas_pre_bhf_celsius_prev,0.00042826400109625685
feed_Carbon_fusion_kgh,0.00041373591668638634
d_posicion_vertical_lanza_mm,0.00033388696230363113
enriquecimiento_o2_lanza_planta_pct,0.0002741388616267049
posicion_vertical_lanza_mm_prev,0.00027028746049637673
frac_Fe_carga,0.00025529628597631415
interaccion_C_x_Sn_prev,0.00022824088780757368
volumen_o2_inyectado_lanza_escalon_nm3,0.00020782559516334674
d_presion_suministro_gn_lanza_kpa,0.00020640104463216514
interaccion_FeO_x_B2_prev,0.00020428026164860392
ley_sio2_escoria_pct_prev,0.00016876088176143167
ley_cao_escoria_pct_prev,0.00015086477002623777
grad_posicion_vertical_lanza_mm,0.00014807121924822474
oxygen_enrichment_pct,0.00014399538606904016
tasa_feed_total_kg_min,0.00013310976961220523
log_ratio_sn_feo_prev,0.00012675407281150796
cum_aire_nm3_prev,0.0001265827051188051
feed_Sn_kgf,0.00011988450372828474
tasa_feed_Sn_kg_min,0.0001123583250922211
grad_temperatura_horno_celsius_prev,0.00011206217351178438
cum_feed_carga_secundaria_kg_prev,0.00011113384525747172
interaccion_lanza_x_gn,0.00011060556406445876
frac_pellets_carga,0.00011008026941519144
feed_dross_Fe_kgh,0.00010470502743207267
feed_total_kgh,0.00010428844445697916
sn_pellets_t7_kgf,9.457289748391329e-05
ley_sn_dross_batch_pct,9.304959306817295e-05
sn_Fe_t4_kgf,7.914429987343485e-05
cum_feed_conc_kg_prev,7.833616732428883e-05
ley_sn_pellets_batch_pct,7.17325403405633e-05
relacion_CaO_carga_Fe,4.7029046967006496e-05
interaccion_C_x_FeO_prev,4.515668962477015e-05
feed_Carbon_kgh,4.4064034744106806e-05
feo_inventario_escoria_est_kg_prev,4.260518888670184e-05
grad_presion_suministro_o2_lanza_kpa,4.065191663762402e-05
cum_o2_nm3_prev,3.792076863444738e-05
feed_conc_t1_kgh,3.704717510293332e-05
total_process_gas_nm3_min,3.550158921128421e-05
interaccion_C_x_temp_prev,2.634709137734337e-05
sn_conc_t1_kgf,2.507532538120749e-05
tasa_feed_Carbon_fusion_kg_min,2.4991148519992733e-05
volumen_aire_inyectado_lanza_escalon_nm3,2.361337311906908e-05
log_ratio_sn_sio2_prev,2.287411082653179e-05
cum_feed_dross_Fe_kg_prev,2.2738989031134692e-05
ley_sn_Fe_batch_pct,2.221783465958804e-05
tasa_feed_Carbon_reduccion_kg_min,2.215379391838912e-05
tasa_feed_pellets_kg_min,1.9541886186291712e-05
ley_feo_escoria_pct_prev,1.9312256173775742e-05
frac_conc_carga,1.9093979923190398e-05
tasa_gn_nm3_min,1.6959380079684117e-05
cum_feed_Sn_kg_prev,1.68673113553508e-05
frac_reciclo_carga,1.6296777211910472e-05
ratio_feo_sio2_prev,1.499571293164248e-05
grad_presion_suministro_gn_lanza_kpa,1.4343795829474536e-05
tasa_feed_reciclo_kg_min,1.4145946791721542e-05
interaccion_B2_x_temp_prev,1.2252156160230675e-05
tasa_feed_conc_kg_min,1.0965980517663176e-05
tasa_feed_Fe_kg_min,1.0088598122814929e-05
tasa_feed_CaO_kg_min,9.281162370822216e-06
tasa_feed_dross_Fe_kg_min,9.103980947400282e-06
tasa_o2_nm3_min,8.339529841605575e-06
indice_irf_prev,7.044832803337897e-06
interaccion_C_x_exceso_o2,5.4692261231004125e-06
cum_feed_Carbon_kg_prev,5.3386583180881075e-06
feed_reciclo_t3_kgh,5.240727549504775e-06
estequiometria_lanza_planta_pct,4.51927120701523e-06
cum_feed_total_kg_prev,4.1545629725581176e-06
sn_dross_Fe_t5_kgf,4.002089931165465e-06
indice_estructural_molar_prev,3.6977969914753216e-06
tasa_feed_Carbon_kg_min,3.5693649916623826e-06
temperatura_horno_celsius_prev,1.6553355856263608e-06
feed_Carbon_reduccion_kgh,9.871956565987716e-07
exceso_o2_combustion_pct,8.302649914471161e-07
cum_feed_Fe_kg_prev,6.71916195327249e-07
sn_reciclo_t3_kgf,6.258845886009112e-07
ley_sn_conc_batch_pct,6.072612982910286e-07
ley_fe_total_escoria_pct_prev,5.457630067873254e-07
relacion_C_cum_Sn_cum_prev,1.4067913991500092e-07
escalon_idx,0.0
espesor_ladrillo_norm_mm,0.0
duracion_plan_min,0.0
orden_escalon_fase,0.0
tiempo_fase,0.0
delta_tiempo,0.0
o2_teorico_combustion_nm3,-1.2110206304427606e-06
feed_carga_secundaria_kgh,-2.217467119369765e-06
termocupla_media_celsius_prev,-2.8531168748457957e-06
cum_gn_nm3_prev,-4.798208177492214e-06
lanza_pos_x_gas_total,-9.148278541726284e-06
tasa_aire_nm3_min,-1.010932858536151e-05
presion_suministro_o2_lanza_kpa,-1.1688257627739951e-05
carbon_sobre_inventario_sn_prev,-1.2795298313972303e-05
o2_disponible_nm3,-1.4625838519144452e-05
ley_sn_carga_batch_pct,-1.5260766611180365e-05
feed_CaO_kgh,-1.5261611848660372e-05
volumen_gas_natural_inyectado_lanza_escalon_nm3,-1.8342962663231432e-05
cum_feed_pellets_kg_prev,-2.0937883934868395e-05
presion_punta_lanza_kpa_prev,-2.6522237245751867e-05
posicion_vertical_lanza_mm,-3.2615405766511786e-05
feed_pellets_t7_kgh,-3.782393849200982e-05
indice_severidad_reductora,-4.124772641436181e-05
margen_presion_gn,-4.279756202338891e-05
basicidad_B4_prev,-4.362436973563977e-05
cum_feed_CaO_kg_prev,-6.193671443093241e-05
frac_dross_carga,-6.497302914558745e-05
basicidad_B2_prev,-7.495786115454539e-05
tiro_horno_pct_prev,-8.035411299809337e-05
d_presion_suministro_o2_lanza_kpa,-8.415424462790977e-05
ley_sn_reciclo_batch_pct,-9.796943333537645e-05
feed_Fe_kgh,-0.00011191906987437772
tiempo,-0.0001126869013642784
presion_suministro_gn_lanza_kpa,-0.00012681962210396857
