limpiar_dataset: 2 valor(es) marcados como NaN en 2 columna(s) (detalle en el reporte devuelto).
Fusión    | sn_extraido_est_kg     | tasa_feed_Carbon_kg_min      | theta=+22.91 [+1.86,+38.2] | 1sd->+196 (+0.06 sd) | ROBUSTO
Fusión    | sn_extraido_est_kg     | relacion_CaO_carga           | theta=-1.807e+04 [-2.84e+04,-4.99e+03] | 1sd->-423 (-0.14 sd) | ROBUSTO
Fusión    | sn_extraido_est_kg     | tasa_feed_total_kg_min       | theta=+8.562 [+6.6,+11.1] | 1sd->+338 (+0.11 sd) | ROBUSTO
Fusión    | sn_extraido_est_kg     | frac_carga_secundaria        | theta=+2188 [-13.9,+4.67e+03] | 1sd->+201 (+0.07 sd) | NO_SIGNIFICATIVO
Fusión    | sn_extraido_est_kg     | tasa_feed_dross_Fe_kg_min    | theta=+14.59 [+5.8,+22.3] | 1sd->+242 (+0.08 sd) | ROBUSTO
Fusión    | sn_extraido_est_kg     | tasa_feed_pellets_kg_min     | theta=+19.52 [+11.6,+26.3] | 1sd->+468 (+0.15 sd) | ROBUSTO
Fusión    | sn_extraido_est_kg     | duracion_plan_min            | theta=+45.74 [-41.5,+144] | 1sd->+453 (+0.15 sd) | NO_SIGNIFICATIVO
Fusión    | sn_extraido_est_kg     | tasa_gn_nm3_min              | theta=+213.7 [+153,+304] | 1sd->+315 (+0.10 sd) | ROBUSTO
Fusión    | sn_extraido_est_kg     | exceso_o2_combustion_pct     | theta=+2.282 [-24.5,+27.7] | 1sd->+6.21 (+0.00 sd) | NO_SIGNIFICATIVO
Fusión    | sn_extraido_est_kg     | posicion_vertical_lanza_mm   | theta=-0.3382 [-0.65,-0.0735] | 1sd->-415 (-0.14 sd) | ROBUSTO
Fusión    | d_ley_sn_escoria_pct   | tasa_feed_Carbon_kg_min      | theta=+0.01357 [-0.0227,+0.0383] | 1sd->+0.118 (+0.03 sd) | NO_SIGNIFICATIVO
Fusión    | d_ley_sn_escoria_pct   | relacion_CaO_carga           | theta=-5.924 [-26.7,+16.7] | 1sd->-0.138 (-0.04 sd) | NO_SIGNIFICATIVO
Fusión    | d_ley_sn_escoria_pct   | tasa_feed_total_kg_min       | theta=+0.0103 [+0.0058,+0.0137] | 1sd->+0.435 (+0.11 sd) | ROBUSTO
Fusión    | d_ley_sn_escoria_pct   | frac_carga_secundaria        | theta=-0.8367 [-4.8,+6.87] | 1sd->-0.0764 (-0.02 sd) | NO_SIGNIFICATIVO
Fusión    | d_ley_sn_escoria_pct   | tasa_feed_dross_Fe_kg_min    | theta=+0.02327 [+0.00772,+0.0441] | 1sd->+0.387 (+0.10 sd) | ROBUSTO
Fusión    | d_ley_sn_escoria_pct   | tasa_feed_pellets_kg_min     | theta=+0.01758 [+0.00409,+0.029] | 1sd->+0.424 (+0.11 sd) | ROBUSTO
Fusión    | d_ley_sn_escoria_pct   | duracion_plan_min            | theta=-0.01102 [-0.119,+0.0962] | 1sd->-0.109 (-0.03 sd) | NO_SIGNIFICATIVO
Fusión    | d_ley_sn_escoria_pct   | tasa_gn_nm3_min              | theta=+0.03352 [-0.101,+0.109] | 1sd->+0.0541 (+0.01 sd) | NO_SIGNIFICATIVO
Fusión    | d_ley_sn_escoria_pct   | exceso_o2_combustion_pct     | theta=-0.008678 [-0.0881,+0.0632] | 1sd->-0.034 (-0.01 sd) | NO_SIGNIFICATIVO
