,0
F_lanza_mean,0.031115431174542962
F_C_por_t_Sn,0.02299519175485757
F_feo_escoria_final_t,0.014911932817183404
reduccion_feo_caida_total,0.013743629604354823
fusion_carbon_total_kg,0.01287577729061341
F_feo_final,0.012261067736334086
F_irf_final,0.011505641823881984
fusion_o2_exceso_mean,0.011460184571753218
R_gn_rate_mean,0.011097329070534035
reduccion_o2_total_nm3,0.010249190278261943
delta_FR_ley_feo_escoria_pct,0.008232436327306757
delta_FR_presion_punta_lanza_kpa,0.008141379021023354
F_lanza_std,0.005336933849151215
F_cal_por_t_carga,0.0036397848152822875
R_tipp_mean,0.0036142013639608116
F_masa_escoria_final_t,0.0029523780630926087
F_gn_rate_mean,0.002483756821960259
R_C_por_t_Sn_escoria_inicio,0.001962185909236225
reduccion_carbon_decay_ratio,0.0019506165907942185
R_feo_extraido_frac,0.0015512474768713536
reduccion_carbon_rate_first,0.0013863440237779079
F_frac_conc,0.0012523688602980143
delta_FR_ley_sn_escoria_pct,0.001177070803409619
reduccion_carbon_total_kg,0.0011436535341208809
reduccion_aire_total_nm3,0.000955014720655567
F_o2_enriq_mean,0.0008192475357901574
F_frac_dross,0.0006998117603685516
F_sn_extraido_t,0.0005185652493688853
R_tgas_mean,0.00048079673563067304
F_tgas_mean,0.00033913050676060986
reduccion_frac_en_valle_lanza,0.0003149767451857355
fusion_cao_total_kg,0.00011648888240567423
R_sn_extraido_t,1.115151735711084e-05
F_feed_rate_mean,0.0
F_gn_por_t_carga,0.0
reduccion_ley_sn_inicio,0.0
reduccion_selectividad_media,0.0
reduccion_duracion_total_min,0.0
reduccion_o2_exceso_mean,0.0
delta_FR_temperatura_horno_celsius,0.0
fusion_carbon_rate_cv,0.0
fusion_frac_b2_optimo,0.0
ley_sn_dross_batch_pct,0.0
F_frac_Fe,0.0
F_frac_pellets,0.0
R_frac_sn_extraido_R0,0.0
R_desvio_duracion_total,0.0
F_b2_final,0.0
F_sn_escoria_final_t,0.0
R_temp_max,0.0
F_temp_max,0.0
espesor_ladrillo_norm_mm,0.0
fusion_temp_trend,0.0
R_sn_extraido_frac,-2.9949658076344754e-05
R_temp_mean,-4.159450716216817e-05
fusion_b2_mean,-6.25142789000055e-05
F_tipp_mean,-0.00018192232472127312
F_avance_reduccion_final,-0.00022029703266753797
F_frac_reciclo,-0.00041177583669648187
F_termocupla_mean,-0.0004766818454394528
R_selectividad_masa,-0.0007492433289927325
delta_FR_exceso_o2_combustion_pct,-0.0007979113653604375
fusion_temp_mean,-0.000854972540218557
R_o2_enriq_mean,-0.0010922448312650546
fusion_ley_sn_final,-0.0011567240261741718
fusion_ley_sn_pico,-0.0014189762587243804
F_tiro_mean,-0.0015779474746094868
reduccion_lanza_pos_mean,-0.0015838247094668966
ley_sn_carga_batch_pct,-0.001678648909499436
F_desvio_duracion_total,-0.0017165599551155152
reduccion_lanza_pos_std,-0.0017570545253470348
F_frac_secundaria,-0.0019320122638642133
reduccion_gn_total_nm3,-0.001955014693928103
fusion_duracion_total_min,-0.00216042778438047
feed_total_t,-0.0023888680122670534
ley_sn_conc_batch_pct,-0.0024091371841510113
fusion_interaccion_C_x_Sn_prev_mean,-0.0024450513478057267
reduccion_sn_caida_total,-0.0027313043273044734
fusion_carbon_rate_mean,-0.0029269105769653024
R_tiro_mean,-0.003197234482798861
fusion_o2_exceso_std,-0.0032285080145860955
F_feed_rate_cv,-0.004501753037480971
R_feo_extraido_t,-0.005516885044310793
