,0
F_irf_final,0.04498478849019447
F_b2_final,0.01579035227402379
fusion_o2_exceso_std,0.014778311294528024
F_C_por_t_Sn,0.012787348738981796
F_feo_final,0.01201654635844146
F_feo_escoria_final_t,0.006509623330034397
R_feo_extraido_frac,0.003961623654444501
fusion_temp_trend,0.003474937119426169
F_gn_por_t_carga,0.003305085832591326
R_C_por_t_Sn_escoria_inicio,0.003023211448396479
F_tipp_mean,0.00300981633701356
fusion_duracion_total_min,0.0030094459697022737
reduccion_carbon_total_kg,0.002639437460386307
fusion_b2_mean,0.002627535905038858
R_sn_extraido_frac,0.0019731456589454853
fusion_interaccion_C_x_Sn_prev_mean,0.0019654934210266094
fusion_carbon_total_kg,0.0019114315075539734
F_frac_conc,0.0015433866215478042
reduccion_ley_sn_inicio,0.0014907290487224279
F_sn_escoria_final_t,0.0014623908518053286
R_feo_extraido_t,0.0013997003091246185
reduccion_selectividad_media,0.0013913874622819788
F_feed_rate_cv,0.0012916583387965863
F_frac_dross,0.0011816919566599803
F_masa_escoria_final_t,0.0011070783108922955
feed_total_t,0.0010474149431210166
R_tipp_mean,0.0009383498094470921
R_gn_rate_mean,0.0008441310987114869
F_lanza_std,0.0007052685929887836
F_o2_enriq_mean,0.0006801951507386051
R_temp_mean,0.0005323232174183401
R_desvio_duracion_total,0.00027435239090494167
F_frac_pellets,0.00024214105525579565
reduccion_o2_exceso_mean,0.00020832771403598294
reduccion_sn_caida_total,0.0001862226620198859
F_desvio_duracion_total,0.00018022369472252552
reduccion_carbon_rate_first,3.983786832235658e-05
reduccion_duracion_total_min,0.0
reduccion_frac_en_valle_lanza,0.0
fusion_temp_mean,0.0
fusion_frac_b2_optimo,0.0
fusion_o2_exceso_mean,0.0
ley_sn_dross_batch_pct,0.0
F_frac_Fe,0.0
F_frac_secundaria,0.0
reduccion_o2_total_nm3,0.0
reduccion_gn_total_nm3,0.0
delta_FR_presion_punta_lanza_kpa,0.0
F_temp_max,0.0
espesor_ladrillo_norm_mm,0.0
F_termocupla_mean,0.0
fusion_carbon_rate_cv,0.0
R_frac_sn_extraido_R0,-5.1133935424552135e-05
delta_FR_ley_sn_escoria_pct,-6.817756755870264e-05
reduccion_aire_total_nm3,-8.401863355322892e-05
R_temp_max,-0.00013988114744012403
F_cal_por_t_carga,-0.0003467747616766381
F_frac_reciclo,-0.00039067587240597667
reduccion_carbon_decay_ratio,-0.0004163928731870881
F_tiro_mean,-0.000675375784386234
fusion_ley_sn_pico,-0.0008845119525897838
F_feed_rate_mean,-0.0009412467192253304
F_tgas_mean,-0.000991374450745619
delta_FR_ley_feo_escoria_pct,-0.001110386316569556
F_gn_rate_mean,-0.0011842151053290451
R_sn_extraido_t,-0.001225127693636252
ley_sn_carga_batch_pct,-0.0019214801900857338
delta_FR_temperatura_horno_celsius,-0.0020123052189393365
fusion_cao_total_kg,-0.0024178586939771485
reduccion_lanza_pos_std,-0.0027889463334294985
reduccion_feo_caida_total,-0.0029928197432856464
R_tgas_mean,-0.0037219270756269074
ley_sn_conc_batch_pct,-0.0045045005030501795
F_sn_extraido_t,-0.005071837345528773
R_selectividad_masa,-0.005169010909183158
fusion_ley_sn_final,-0.005216667588639146
F_lanza_mean,-0.005300726745380601
R_tiro_mean,-0.00651792281105823
delta_FR_exceso_o2_combustion_pct,-0.006817777866345809
fusion_carbon_rate_mean,-0.006979589978392609
reduccion_lanza_pos_mean,-0.009189933940503759
R_o2_enriq_mean,-0.012368173012275574
F_avance_reduccion_final,-0.013189783473281891
