,0
F_sn_extraido_t,0.007470157093632057
F_lanza_std,0.007217456922728527
ley_sn_conc_batch_pct,0.007019428453648202
F_b2_final,0.006329462337154301
fusion_b2_mean,0.004934655490863626
fusion_carbon_rate_cv,0.004701934225263526
F_irf_final,0.004248399098664701
reduccion_carbon_rate_first,0.0032697598927424742
fusion_duracion_total_min,0.0028624751669865224
R_frac_sn_extraido_R0,0.002819370513355657
reduccion_o2_exceso_mean,0.0018621032570755203
fusion_o2_exceso_mean,0.0017551331187744656
fusion_cao_total_kg,0.0017153543572929753
delta_FR_ley_feo_escoria_pct,0.0015288840614417153
F_temp_max,0.0014299942891067951
feed_total_t,0.0013111519452409625
delta_FR_presion_punta_lanza_kpa,0.0011544738631656727
F_C_por_t_Sn,0.0010525227843792395
F_cal_por_t_carga,0.0010014108942581813
fusion_ley_sn_final,0.0009211683383274049
delta_FR_exceso_o2_combustion_pct,0.0006028756119141665
F_o2_enriq_mean,0.0005523074894563385
reduccion_selectividad_media,0.0005408203545681278
F_frac_conc,0.00037117171456353405
F_frac_Fe,0.00033429618247888816
F_feo_final,0.00020559927619481221
F_termocupla_mean,0.00017177150600857782
ley_sn_dross_batch_pct,2.052478714955619e-05
R_sn_extraido_frac,0.0
F_frac_dross,0.0
F_frac_pellets,0.0
reduccion_duracion_total_min,0.0
reduccion_ley_sn_inicio,0.0
reduccion_gn_total_nm3,0.0
fusion_frac_b2_optimo,0.0
espesor_ladrillo_norm_mm,0.0
F_avance_reduccion_final,0.0
F_sn_escoria_final_t,0.0
R_temp_max,0.0
R_desvio_duracion_total,0.0
fusion_temp_mean,-1.4661042607100327e-05
R_C_por_t_Sn_escoria_inicio,-5.389110162969946e-05
reduccion_o2_total_nm3,-7.103788559865709e-05
R_temp_mean,-0.00011123657149065824
reduccion_frac_en_valle_lanza,-0.00020947386176697335
reduccion_carbon_total_kg,-0.000596595549210699
R_sn_extraido_t,-0.0006935113229975309
R_tgas_mean,-0.0007914516449941012
F_tiro_mean,-0.0008007638550423968
ley_sn_carga_batch_pct,-0.0009676903379641999
reduccion_sn_caida_total,-0.0010807619807712942
reduccion_carbon_decay_ratio,-0.0011949643575072332
F_frac_secundaria,-0.0012871434969919716
fusion_temp_trend,-0.0017284632207533734
reduccion_feo_caida_total,-0.001996457921625727
R_tipp_mean,-0.0019992404644577854
R_tiro_mean,-0.0022917358576911573
reduccion_lanza_pos_mean,-0.0023074296689215234
reduccion_aire_total_nm3,-0.002684975083495189
F_feo_escoria_final_t,-0.002933796201716765
reduccion_lanza_pos_std,-0.003875760773805603
fusion_o2_exceso_std,-0.004005843858092639
F_gn_por_t_carga,-0.004012432079922612
delta_FR_temperatura_horno_celsius,-0.004160023784110645
F_lanza_mean,-0.004171251826096167
F_tgas_mean,-0.004745209041180342
F_frac_reciclo,-0.005168223009879669
R_gn_rate_mean,-0.005486221357730891
F_feed_rate_cv,-0.005498974002545088
F_masa_escoria_final_t,-0.005500302354361275
fusion_carbon_total_kg,-0.00733931309973781
F_desvio_duracion_total,-0.008873878209948716
R_selectividad_masa,-0.009057407450532096
R_o2_enriq_mean,-0.010032672627786777
F_feed_rate_mean,-0.012428848296660178
delta_FR_ley_sn_escoria_pct,-0.013493069833409943
F_gn_rate_mean,-0.013602116685707367
fusion_interaccion_C_x_Sn_prev_mean,-0.025679314569886192
fusion_ley_sn_pico,-0.025798469357390254
F_tipp_mean,-0.027060755680071734
R_feo_extraido_t,-0.027932613453959764
fusion_carbon_rate_mean,-0.037487904329829555
R_feo_extraido_frac,-0.044570720899522874
