,0
F_irf_final,0.031177049705725178
F_feo_final,0.028567772585031737
fusion_carbon_total_kg,0.025499532375061595
F_feo_escoria_final_t,0.022370886601241712
F_C_por_t_Sn,0.015698104935328906
reduccion_feo_caida_total,0.011470632608030395
reduccion_o2_total_nm3,0.007937442358828761
delta_FR_ley_feo_escoria_pct,0.007121064788987608
reduccion_carbon_total_kg,0.0064029378486724076
F_frac_conc,0.00539541857612087
R_feo_extraido_t,0.003898961841778037
F_masa_escoria_final_t,0.0034893170691916555
F_frac_dross,0.0033280168728951785
F_gn_rate_mean,0.0030868302532442438
reduccion_carbon_rate_first,0.0029483029185764066
F_lanza_mean,0.002553639957957299
fusion_carbon_rate_cv,0.0024877828804037217
delta_FR_temperatura_horno_celsius,0.0021127611340786114
delta_FR_presion_punta_lanza_kpa,0.001896026726047162
feed_total_t,0.0018666255174299873
fusion_interaccion_C_x_Sn_prev_mean,0.0015857880936452462
fusion_temp_trend,0.0015583538390531615
fusion_o2_exceso_mean,0.0014824865709856417
R_tipp_mean,0.001269148934653841
F_sn_extraido_t,0.000937721771078126
fusion_o2_exceso_std,0.0009181421566238912
F_feed_rate_mean,0.0009171379346376351
reduccion_carbon_decay_ratio,0.0008140071018834738
ley_sn_carga_batch_pct,0.000745237718394498
F_b2_final,0.0007258252502261198
R_selectividad_masa,0.000654493797593092
reduccion_aire_total_nm3,0.0006380764906534608
ley_sn_conc_batch_pct,0.0006232177926739135
R_temp_max,0.0005513689548277024
F_avance_reduccion_final,0.0005160078043869754
reduccion_lanza_pos_std,0.00041608271660672493
delta_FR_exceso_o2_combustion_pct,0.0003457449487099251
F_tgas_mean,0.00019905444144514562
R_desvio_duracion_total,0.00016711464074249395
fusion_ley_sn_pico,0.00014207504879798494
R_sn_extraido_t,0.0001080952280288705
delta_FR_ley_sn_escoria_pct,0.00010771504343566329
fusion_b2_mean,2.6510287645620246e-05
F_frac_Fe,0.0
F_frac_secundaria,0.0
F_frac_reciclo,0.0
reduccion_o2_exceso_mean,0.0
fusion_frac_b2_optimo,0.0
R_C_por_t_Sn_escoria_inicio,0.0
ley_sn_dross_batch_pct,0.0
F_frac_pellets,0.0
reduccion_sn_caida_total,0.0
reduccion_gn_total_nm3,0.0
reduccion_duracion_total_min,0.0
reduccion_frac_en_valle_lanza,0.0
F_sn_escoria_final_t,0.0
fusion_temp_mean,0.0
fusion_ley_sn_final,0.0
fusion_cao_total_kg,0.0
reduccion_ley_sn_inicio,0.0
espesor_ladrillo_norm_mm,0.0
R_temp_mean,0.0
R_frac_sn_extraido_R0,0.0
F_o2_enriq_mean,-1.1345013095742651e-06
F_temp_max,-8.495110357618075e-05
F_lanza_std,-9.313061762824537e-05
F_termocupla_mean,-0.00017235846934288146
F_cal_por_t_carga,-0.00045115797152016633
reduccion_selectividad_media,-0.0004566211395636177
R_sn_extraido_frac,-0.0004629466079948408
F_tiro_mean,-0.00069670673439447
R_tgas_mean,-0.0008535567253031839
F_tipp_mean,-0.00105372130604664
F_gn_por_t_carga,-0.002132639882065623
fusion_duracion_total_min,-0.003239588414399841
R_o2_enriq_mean,-0.003332372299194386
F_feed_rate_cv,-0.0035169243577981126
reduccion_lanza_pos_mean,-0.0037965312222184577
R_tiro_mean,-0.004639006650161792
F_desvio_duracion_total,-0.0054704580883341404
R_feo_extraido_frac,-0.007070386350859536
fusion_carbon_rate_mean,-0.011019539109497333
R_gn_rate_mean,-0.01843817937527853
