target,modelo,n_dev,n_lockbox,r2_oof,r2_walkforward,r2_lockbox,mae_lockbox,rho_lockbox,features
rendimiento_ha_batch,XGB_chico,299,63,0.11369875784184391,-0.03919501569050521,0.0066234372961513355,0.034481811473483115,0.24167726766916403,
rendimiento_ha_batch,XGB_top8,299,63,0.13295250142016202,,-0.062054795132866714,0.03562317705608548,0.2608309531990074,R_feo_extraido_frac;F_irf_final;reduccion_feo_caida_total;fusion_carbon_total_kg;F_feo_escoria_final_t;R_gn_rate_mean;F_lanza_mean;F_feo_final
rendimiento_ha_batch,ElasticNet,299,63,-1.1366863543906333e+35,-0.028349249285102074,-0.0719349391870916,0.03536460763124716,0.16244629532077687,
frac_sn_dross,XGB_chico,299,63,0.1787745719269297,-0.03392077001150384,0.02476897229248254,0.03177599657465979,0.3970334101382489,
frac_sn_dross,XGB_top8,299,63,0.1825437717574806,,-0.00832499324860625,0.03243145553542691,0.3449980798771122,F_lanza_mean;reduccion_feo_caida_total;F_C_por_t_Sn;R_gn_rate_mean;fusion_carbon_total_kg;R_feo_extraido_frac;fusion_ley_sn_pico;R_tiro_mean
frac_sn_dross,ElasticNet,299,63,-2.9394705328053357e+36,-0.03009683510161354,0.006862673279404596,0.032457210772659596,0.36875960061443935,
frac_sn_polvo,XGB_chico,299,63,0.03527822288019811,-0.13243612239927605,-0.28192703805042263,0.031044403043095935,-0.22523041474654376,
frac_sn_polvo,XGB_top8,299,63,0.10687806677297074,,-0.2703559603512018,0.029591628349885223,-0.022129416282642093,reduccion_carbon_rate_first;R_feo_extraido_t;R_feo_extraido_frac;F_frac_reciclo;delta_FR_ley_sn_escoria_pct;F_frac_pellets;ley_sn_conc_batch_pct;delta_FR_presion_punta_lanza_kpa
frac_sn_polvo,ElasticNet,299,63,0.03656405794580542,-0.06816566648823863,-0.12507663323285656,0.02804805752713599,-0.04209869431643626,
frac_sn_metal,XGB_chico,299,63,0.17148045771602083,0.07928402476740515,-0.024285180571657294,0.034229428641001494,0.40764208909370203,
frac_sn_metal,XGB_top8,299,63,0.18102273589433981,,-0.04264090251177244,0.03495782356016578,0.3834005376344086,F_irf_final;F_sn_extraido_t;F_feo_final;reduccion_lanza_pos_std;delta_FR_ley_feo_escoria_pct;F_C_por_t_Sn;F_avance_reduccion_final;R_tiro_mean
frac_sn_metal,ElasticNet,299,63,0.12501375516287128,0.06327538361542973,0.07661292131901287,0.03186920950215386,0.47652649769585254,
