,perm_media,perm_frac_pos,boruta_frac,score
ley_feo_escoria_pct_prev,0.2885989813683655,1.0,0.85,1.0
ratio_sn_feo_prev,0.040671436372175324,1.0,0.4,0.9661016949152543
ley_sn_conc_batch_pct,0.009592221991616273,0.8,0.7,0.9661016949152543
basicidad_B4_prev,0.007832765051862086,0.8,0.7,0.9576271186440678
indice_irf_prev,0.016375605337592875,0.8,0.1,0.9300847457627119
basicidad_B2_prev,0.005581539086663042,0.8666666666666667,0.05,0.8580508474576272
cum_feed_reciclo_kg_prev,0.0029297808041728025,0.7333333333333333,0.1,0.8326271186440678
grad_posicion_vertical_lanza_mm,0.004204473854698374,0.8666666666666667,0.05,0.8326271186440678
interaccion_FeO_x_B2_prev,0.0023646392647329226,0.7333333333333333,0.15,0.826271186440678
carbon_sobre_inventario_sn_prev,0.0013244008424327961,0.7333333333333333,0.65,0.8177966101694916
feed_Carbon_kgh,0.0011380863445143304,0.6,0.1,0.7521186440677966
posicion_vertical_lanza_mm_prev,0.0011505086013877232,0.6,0.05,0.722457627118644
volumen_gas_natural_inyectado_lanza_escalon_nm3,0.0007743386936168445,0.6,0.05,0.6927966101694916
ley_fe_total_escoria_pct_prev,0.0,0.0,0.7,0.6864406779661018
ley_sio2_escoria_pct_prev,0.011011866761051594,0.8666666666666667,0.0,0.6779661016949152
interaccion_C_x_Sn_prev,0.010736373590478458,0.6,0.0,0.673728813559322
cum_feed_total_kg_prev,0.0005728554494736798,0.6666666666666666,0.05,0.6716101694915254
interaccion_C_x_temp_prev,0.009942625249274636,0.8,0.0,0.6694915254237288
tasa_feed_reciclo_kg_min,0.0001978098195209357,0.7333333333333333,0.1,0.663135593220339
interaccion_Sn_x_FeO_prev,0.009561814626568965,0.7333333333333333,0.0,0.6610169491525424
log_ratio_sn_feo_prev,0.0,0.0,0.3,0.6567796610169492
interaccion_lanza_x_gn,0.00752740816089122,0.7333333333333333,0.0,0.652542372881356
log_ratio_sn_sio2_prev,0.0,0.0,0.2,0.6504237288135594
indice_severidad_reductora,0.005607674086692876,0.6666666666666666,0.0,0.6483050847457628
posicion_vertical_lanza_mm,0.005317594325006832,0.8,0.0,0.6398305084745763
relacion_C_cum_Sn_cum_prev,0.005178736595971041,0.8,0.0,0.635593220338983
cum_feed_dross_Fe_kg_prev,0.0002029720317202043,0.6,0.05,0.6334745762711864
exceso_C_estequiometrico_pct,0.004999406325364528,0.6,0.0,0.6313559322033898
feed_Sn_kgf,0.004484204223384144,0.8666666666666667,0.0,0.6271186440677966
tasa_feed_Carbon_kg_min,0.004336591360910592,0.6666666666666666,0.0,0.6228813559322034
grad_presion_suministro_gn_lanza_kpa,0.0041046594528822014,0.7333333333333333,0.0,0.6144067796610169
ley_cao_escoria_pct_prev,0.0038330982785795458,0.6666666666666666,0.0,0.6101694915254237
avance_reduccion_sn_prev,0.0037612974319116825,0.6,0.0,0.6059322033898304
cum_aire_nm3_prev,-0.00016221457889035055,0.4666666666666667,0.2,0.603813559322034
ley_sn_dross_batch_pct,0.003356297259979657,0.6,0.0,0.6016949152542372
relacion_C_carga,0.0032958733997794144,0.8666666666666667,0.0,0.597457627118644
cum_feed_Carbon_kg_prev,0.003051080450340225,0.7333333333333333,0.0,0.5932203389830508
ratio_feo_sio2_prev,-0.00042979548532757025,0.3333333333333333,0.45,0.5911016949152542
tasa_feed_pellets_kg_min,0.0029438228738359684,0.9333333333333333,0.0,0.5889830508474576
cum_feed_Sn_kg_prev,0.0025500785760203624,0.8,0.0,0.5805084745762712
tasa_feed_CaO_kg_min,0.002507255959373898,0.7333333333333333,0.0,0.576271186440678
lanza_pos_x_gas_total,0.002493426070718625,0.8666666666666667,0.0,0.5720338983050848
feed_conc_t1_kgh,0.0022911183649905655,0.6,0.0,0.5635593220338984
grad_temperatura_horno_celsius_prev,0.002137265016901489,0.7333333333333333,0.0,0.5593220338983051
ley_sn_carga_batch_pct,-0.00015455231481314386,0.3333333333333333,0.05,0.5572033898305084
interaccion_B2_x_temp_prev,0.0018772485489685377,0.6666666666666666,0.0,0.5550847457627118
frac_reciclo_carga,0.0018450946904131676,0.6,0.0,0.5508474576271186
tasa_o2_nm3_min,0.0018180234293973074,0.7333333333333333,0.0,0.5466101694915254
tiro_horno_pct_prev,0.0016668320163007713,0.8,0.0,0.5423728813559322
volumen_aire_inyectado_lanza_escalon_nm3,0.0014642350258270897,0.7333333333333333,0.0,0.538135593220339
frac_pellets_carga,0.0014519688750038902,0.6,0.0,0.5338983050847457
relacion_CaO_carga,-0.00038640063275440607,0.4,0.05,0.5317796610169492
duracion_plan_min,0.0013972109919746759,0.9333333333333333,0.0,0.5296610169491525
ley_sn_escoria_pct_prev,-0.0009304881237326277,0.26666666666666666,0.35,0.521186440677966
masa_escoria_est_kg_prev,0.001265211380459526,0.4666666666666667,0.0,0.521186440677966
feed_Fe_kgh,0.0011806306073248948,0.8,0.0,0.5169491525423728
tasa_feed_Carbon_fusion_kg_min,0.0011584278372083004,0.3333333333333333,0.0,0.5127118644067796
ley_sn_Fe_batch_pct,-0.00059046013103267,0.26666666666666666,0.05,0.5063559322033898
cum_o2_nm3_prev,0.00112725603820929,0.8,0.0,0.5
feed_pellets_t7_kgh,0.0011172399775315257,0.7333333333333333,0.0,0.4957627118644068
tasa_feed_conc_kg_min,0.0010327417489067192,0.6,0.0,0.4915254237288135
feed_Carbon_fusion_kgh,-0.0006330396185748352,0.4,0.05,0.4894067796610169
cum_feed_Fe_kg_prev,0.0009361348511182038,0.6,0.0,0.4872881355932203
oxidante_sobre_carga_total,0.0008241915166546389,0.7333333333333333,0.0,0.4830508474576271
indice_estructural_molar_prev,-0.004103513811374515,0.4,0.45,0.4809322033898305
cum_feed_CaO_kg_prev,-0.0007315384953014093,0.4,0.05,0.4809322033898305
volumen_o2_inyectado_lanza_escalon_nm3,0.0007542981969333119,0.4666666666666667,0.0,0.4745762711864407
carga_termica_relativa,0.000753916110058624,0.9333333333333333,0.0,0.4703389830508474
cum_gn_nm3_prev,0.0007306370617427226,0.5333333333333333,0.0,0.4661016949152542
tasa_gn_nm3_min,0.0006949755824353249,0.6666666666666666,0.0,0.461864406779661
presion_suministro_o2_lanza_kpa,0.0004496277845146131,0.8,0.0,0.4533898305084746
margen_presion_gn,0.0003645057726077643,0.6,0.0,0.4491525423728813
cum_feed_carga_secundaria_kg_prev,0.00035641995596820376,0.5333333333333333,0.0,0.4449152542372881
ratio_sn_sio2_prev,-0.0012756676627327242,0.4666666666666667,0.05,0.4427966101694915
relacion_CaO_carga_Fe,0.0003548236569571596,0.6,0.0,0.4406779661016949
tasa_feed_total_kg_min,0.00033247032575644116,0.5333333333333333,0.0,0.4364406779661017
frac_dross_carga,0.0002756391007626134,0.6666666666666666,0.0,0.43220338983050843
grad_presion_suministro_o2_lanza_kpa,0.00026951154749141646,0.6,0.0,0.4279661016949152
total_process_gas_nm3_min,0.00022763919569830125,0.4666666666666667,0.0,0.423728813559322
d_presion_suministro_o2_lanza_kpa,6.698769144495789e-05,0.6,0.0,0.4110169491525424
frac_conc_carga,5.4079623190106454e-05,0.6666666666666666,0.0,0.4067796610169492
delta_tiempo,2.383086386204979e-05,0.2,0.0,0.4025423728813559
relacion_C_Sn_carga,0.0,0.0,0.0,0.385593220338983
tiempo_fase,0.0,0.0,0.0,0.385593220338983
orden_escalon_fase,0.0,0.0,0.0,0.385593220338983
escalon_idx,0.0,0.0,0.0,0.385593220338983
espesor_ladrillo_norm_mm,-1.0207040303066173e-05,0.13333333333333333,0.0,0.3686440677966102
ley_sn_carga_pct,-1.9469056543274125e-05,0.6,0.0,0.364406779661017
tiempo,-3.10595714553916e-05,0.06666666666666667,0.0,0.3601694915254237
frac_Fe_carga,-7.650740852318292e-05,0.3333333333333333,0.0,0.3559322033898305
feed_CaO_kgh,-9.904603103743824e-05,0.5333333333333333,0.0,0.35169491525423724
frac_carga_secundaria,-0.00012533628517319184,0.4,0.0,0.34745762711864403
tasa_feed_Fe_kg_min,-0.00023209174869644279,0.06666666666666667,0.0,0.3347457627118644
termocupla_media_celsius_prev,-0.00025241679533665926,0.3333333333333333,0.0,0.3305084745762712
presion_suministro_gn_lanza_kpa,-0.00026804088811585027,0.3333333333333333,0.0,0.326271186440678
cum_feed_pellets_kg_prev,-0.0003612546638807822,0.4,0.0,0.3220338983050848
ley_sn_pellets_batch_pct,-0.0004267200288770603,0.3333333333333333,0.0,0.3135593220338983
oxygen_enrichment_pct,-0.0004286505536146981,0.4,0.0,0.3093220338983051
feed_dross_Fe_kgh,-0.00048408606975974697,0.4666666666666667,0.0,0.3008474576271186
temperatura_horno_celsius_prev,-0.0005675263695401808,0.5333333333333333,0.0,0.2966101694915254
tasa_aire_nm3_min,-0.0005981918834481576,0.4,0.0,0.288135593220339
tasa_feed_dross_Fe_kg_min,-0.0006113657792713025,0.4,0.0,0.2838983050847458
cum_feed_conc_kg_prev,-0.0006140984767375336,0.26666666666666666,0.0,0.2796610169491525
interaccion_C_x_FeO_prev,-0.0006444671388189209,0.4666666666666667,0.0,0.2711864406779661
feed_total_kgh,-0.0007723868985665965,0.5333333333333333,0.0,0.2627118644067796
presion_punta_lanza_kpa_prev,-0.0007778179991593323,0.3333333333333333,0.0,0.2584745762711864
tasa_feed_Carbon_reduccion_kg_min,-0.0009283721878411989,0.13333333333333333,0.0,0.2542372881355932
