,perm_media,perm_frac_pos,boruta_frac,score
ley_sn_escoria_pct_prev,0.08376308857579733,1.0,1.0,0.972457627118644
interaccion_C_x_Sn_prev,0.02839694143666195,1.0,1.0,0.9682203389830508
interaccion_Sn_x_FeO_prev,0.02345727108560619,1.0,1.0,0.9639830508474576
ratio_sn_sio2_prev,0.015076437543544109,1.0,1.0,0.9597457627118644
sn_inventario_escoria_est_kg_prev,0.01362555012087473,0.8666666666666667,1.0,0.9555084745762712
cum_gn_nm3_prev,0.005950753663943972,0.8,1.0,0.9427966101694916
volumen_aire_inyectado_lanza_escalon_nm3,0.004954089297793193,1.0,1.0,0.9385593220338984
cum_feed_conc_kg_prev,0.004333265080212734,0.6666666666666666,1.0,0.9300847457627119
lanza_pos_x_gas_total,0.0030880172585313267,0.8,1.0,0.9173728813559322
ratio_sn_feo_prev,0.0020880444762024974,0.7333333333333333,1.0,0.9004237288135594
cum_feed_reciclo_kg_prev,0.007788553301995104,1.0,0.75,0.8855932203389831
cum_o2_nm3_prev,0.0014125383029783194,0.6666666666666666,1.0,0.875
avance_reduccion_sn_prev,0.0012789829410538955,0.6,1.0,0.8707627118644068
posicion_vertical_lanza_mm_prev,0.0025494983310985955,0.8,0.85,0.8622881355932204
oxidante_sobre_carga_total,0.008076789732464422,0.8666666666666667,0.45,0.8559322033898304
cum_aire_nm3_prev,0.0010965221303633065,0.6,0.9,0.8177966101694916
cum_feed_dross_Fe_kg_prev,0.0036087508462006234,0.8,0.25,0.8008474576271187
carbon_sobre_inventario_sn_prev,0.0010734150573701777,0.5333333333333333,0.65,0.7733050847457628
cum_feed_Carbon_kg_prev,0.0008574377742144435,0.5333333333333333,0.9,0.771186440677966
tiro_horno_pct_prev,0.0014586256446140141,0.8,0.15,0.7521186440677966
duracion_plan_min,0.004153362157169921,0.8666666666666667,0.05,0.7372881355932204
ratio_feo_sio2_prev,0.0014283912221183899,0.7333333333333333,0.1,0.728813559322034
carga_termica_relativa,0.0010364421837424562,0.4666666666666667,0.25,0.7203389830508475
cum_feed_CaO_kg_prev,0.0012315612827357972,0.5333333333333333,0.1,0.7161016949152542
tasa_feed_total_kg_min,0.0011338693081161448,0.8,0.1,0.7076271186440678
posicion_vertical_lanza_mm,0.0008941719312362231,0.6,0.35,0.7055084745762712
escalon_idx,0.0008989198959452431,0.4,0.3,0.7033898305084745
cum_feed_Fe_kg_prev,0.0015004511782069185,0.6,0.05,0.6991525423728814
feed_CaO_kgh,0.0006840997943807671,0.6666666666666666,0.15,0.6504237288135593
log_ratio_sn_sio2_prev,0.0,0.0,1.0,0.6483050847457628
cum_feed_pellets_kg_prev,0.001019245808935571,0.7333333333333333,0.05,0.6483050847457628
interaccion_lanza_x_gn,0.00019956959065737671,0.5333333333333333,0.65,0.6292372881355932
cum_feed_carga_secundaria_kg_prev,0.00023953264691694504,0.6,0.45,0.6186440677966102
masa_escoria_est_kg_prev,0.000225570212423793,0.4666666666666667,0.45,0.614406779661017
feo_inventario_escoria_est_kg_prev,0.0006852449274448168,0.8,0.05,0.597457627118644
feed_Carbon_fusion_kgh,0.00012983652030319358,0.4,0.55,0.597457627118644
grad_posicion_vertical_lanza_mm,0.004597643765755668,0.7333333333333333,0.0,0.5932203389830508
log_ratio_sn_feo_prev,0.0,0.0,0.7,0.5805084745762712
tiempo_fase,0.0,0.0,0.7,0.5805084745762712
volumen_gas_natural_inyectado_lanza_escalon_nm3,-0.00013084015059154665,0.4,0.9,0.576271186440678
volumen_o2_inyectado_lanza_escalon_nm3,-5.929945366796773e-05,0.6,0.8,0.5741525423728814
feed_Fe_kgh,0.003068480351291278,0.7333333333333333,0.0,0.5720338983050848
tasa_feed_reciclo_kg_min,0.002173506917398038,0.9333333333333333,0.0,0.5635593220338984
total_process_gas_nm3_min,0.0016119477151302934,0.8666666666666667,0.0,0.5550847457627118
feed_Sn_kgf,0.0015850292800912845,1.0,0.0,0.5508474576271186
oxygen_enrichment_pct,0.00016777810547003504,0.5333333333333333,0.1,0.5423728813559322
cum_feed_total_kg_prev,-0.0001255000557659949,0.4,0.5,0.5296610169491526
tiempo,-0.00036396979995416943,0.5333333333333333,0.85,0.5233050847457626
temperatura_gas_pre_bhf_celsius_prev,0.001211871062219662,0.6,0.0,0.5211864406779662
frac_pellets_carga,0.001051774773396135,0.6,0.0,0.5042372881355932
relacion_C_Sn_carga,0.0,0.0,0.1,0.4978813559322034
delta_tiempo,-0.0009317540569124397,0.06666666666666667,1.0,0.4936440677966102
basicidad_B4_prev,0.0009819444948696576,0.8,0.0,0.4915254237288136
tasa_feed_dross_Fe_kg_min,0.0009403981011181869,0.7333333333333333,0.0,0.4872881355932204
ley_sn_dross_batch_pct,0.0009375341818058758,0.6666666666666666,0.0,0.48305084745762716
ley_sn_conc_batch_pct,0.0009046023138628852,0.9333333333333333,0.0,0.47881355932203395
feed_total_kgh,-9.672600446205184e-05,0.4,0.1,0.47457627118644063
ley_cao_escoria_pct_prev,-0.0001245950406920364,0.5333333333333333,0.1,0.4703389830508474
d_presion_suministro_gn_lanza_kpa,0.0008175828823580601,0.6666666666666666,0.0,0.461864406779661
ley_fe_total_escoria_pct_prev,0.0,0.0,0.05,0.4597457627118644
frac_carga_secundaria,0.0007791309440049784,0.7333333333333333,0.0,0.4576271186440678
grad_presion_suministro_o2_lanza_kpa,0.0007298346850112116,0.6,0.0,0.4533898305084746
tasa_gn_nm3_min,0.0007243010018193642,0.6,0.0,0.4491525423728814
ley_sn_carga_batch_pct,-4.1452917302844634e-05,0.4666666666666667,0.05,0.44491525423728817
cum_feed_Sn_kg_prev,-0.0007501776120349056,0.3333333333333333,0.8,0.4427966101694915
grad_presion_suministro_gn_lanza_kpa,0.0006767966429326729,0.6,0.0,0.43644067796610175
tasa_aire_nm3_min,0.000636079568860157,0.7333333333333333,0.0,0.43220338983050843
interaccion_B2_x_temp_prev,0.0006078700322653082,0.6,0.0,0.4279661016949152
