,perm_media,perm_frac_pos,boruta_frac,score
sn_inventario_escoria_est_kg_prev,0.7311497637918196,1.0,1.0,0.9924999999999999
avance_reduccion_sn_prev,0.16890119179664836,1.0,1.0,0.9875
ratio_sn_sio2_prev,0.0007049504573913969,0.8,0.85,0.965
interaccion_C_x_Sn_prev,0.000469618977949033,1.0,0.8,0.9425
ley_sn_escoria_pct_prev,0.0003057784973021067,0.8,0.95,0.94
interaccion_Sn_x_FeO_prev,0.0001526482340550528,0.6,1.0,0.9275
cum_aire_nm3_prev,0.0006327559408617646,0.8,0.3,0.9225
cum_feed_CaO_kg_prev,8.197454255182516e-05,0.5333333333333333,1.0,0.9075
relacion_C_cum_Sn_cum_prev,0.00016580037611406943,0.6666666666666666,0.05,0.8300000000000001
feed_Carbon_fusion_kgh,0.00010509129250006035,0.6666666666666666,0.05,0.81
volumen_o2_inyectado_lanza_escalon_nm3,4.359307434783015e-05,0.4666666666666667,0.15,0.7949999999999999
cum_feed_Sn_kg_prev,5.913386047302133e-05,0.8666666666666667,0.05,0.78
masa_escoria_est_kg_prev,3.825577748978796e-06,0.6,0.7,0.77
lanza_pos_x_gas_total,5.493635419634558e-05,0.6666666666666666,0.05,0.77
tasa_feed_total_kg_min,4.526484267323285e-05,0.6,0.05,0.765
tasa_feed_Carbon_fusion_kg_min,1.7194887002797758e-05,0.4666666666666667,0.1,0.755
log_ratio_sn_sio2_prev,0.0,0.0,0.5,0.73
log_ratio_sn_feo_prev,0.0,0.0,0.35,0.7225
indice_severidad_reductora,7.255566548725055e-06,0.4666666666666667,0.05,0.7050000000000001
escalon_idx,0.0,0.0,0.05,0.66
duracion_plan_min,0.0,0.0,0.05,0.66
grad_temperatura_horno_celsius_prev,0.0006108666212390664,0.8,0.0,0.6599999999999999
posicion_vertical_lanza_mm,0.00045400451788604436,0.7333333333333333,0.0,0.6499999999999999
cum_o2_nm3_prev,0.00034882466493379256,0.8666666666666667,0.0,0.645
feed_Sn_kgf,0.0002392909733833795,0.8666666666666667,0.0,0.635
interaccion_C_x_exceso_o2,0.00018227341975403594,0.7333333333333333,0.0,0.63
feed_total_kgh,0.00015919013314022272,0.8666666666666667,0.0,0.62
tasa_feed_pellets_kg_min,0.00011060636344918014,1.0,0.0,0.61
cum_feed_Carbon_kg_prev,8.471452012452178e-05,0.8666666666666667,0.0,0.6
interaccion_C_x_FeO_prev,6.513635892312723e-05,0.6,0.0,0.59
volumen_aire_inyectado_lanza_escalon_nm3,6.201535002334533e-05,0.6,0.0,0.585
tiempo,-1.573871651266126e-05,0.4666666666666667,0.05,0.5800000000000001
grad_posicion_vertical_lanza_mm,6.128156075713155e-05,0.8666666666666667,0.0,0.5800000000000001
feo_inventario_escoria_est_kg_prev,-3.7745621866269734e-05,0.5333333333333333,0.3,0.5775
tasa_feed_Sn_kg_min,5.594116486549912e-05,0.8666666666666667,0.0,0.5700000000000001
cum_feed_carga_secundaria_kg_prev,-4.052566766378342e-05,0.4666666666666667,0.2,0.5525
volumen_gas_natural_inyectado_lanza_escalon_nm3,4.103407058914469e-05,0.5333333333333333,0.0,0.55
