r2_oof,mae_oof,r2_lockbox,mae_lockbox,n_dev,n_lb,fase,target,set,n_features,features
0.6847080770513568,1123.540594026973,0.713744797751968,1118.2414569082462,1749,374,Fusión,sn_extraido_est_kg,trivial_solo_Sn_cargado,1,feed_Sn_kgf
0.7155900793125501,1034.224625075424,0.7139689130647229,1050.6923354786575,1749,374,Fusión,sn_extraido_est_kg,trivial_Sn_cargado+inventario,3,feed_Sn_kgf;sn_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev
0.7177294793075687,1032.196900408047,0.6519078645363187,1169.0559479865117,1749,374,Fusión,sn_extraido_est_kg,curado_A_10,10,feed_Sn_kgf;sn_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev;ley_sn_escoria_pct_prev;tasa_feed_Carbon_kg_min;relacion_CaO_carga;tasa_gn_nm3_min;exceso_o2_combustion_pct;basicidad_B2_prev;temperatura_horno_celsius_prev
0.7220772975809956,1036.7970475099935,0.6802473882572309,1113.0941994691282,1749,374,Fusión,sn_extraido_est_kg,curado_B_13,13,feed_Sn_kgf;sn_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev;feo_inventario_escoria_est_kg_prev;ley_sn_escoria_pct_prev;interaccion_C_x_Sn_prev;tasa_feed_Carbon_kg_min;relacion_CaO_carga;tasa_gn_nm3_min;exceso_o2_combustion_pct;basicidad_B2_prev;temperatura_horno_celsius_prev;frac_carga_secundaria
0.7148356377636605,1029.4093713453517,0.6704105066598695,1162.1452758506891,1749,374,Fusión,sn_extraido_est_kg,curado_C_15,15,feed_Sn_kgf;duracion_plan_min;sn_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev;feo_inventario_escoria_est_kg_prev;ley_sn_escoria_pct_prev;interaccion_C_x_Sn_prev;relacion_CaO_carga;tasa_gn_nm3_min;exceso_o2_combustion_pct;oxygen_enrichment_pct;basicidad_B2_prev;temperatura_horno_celsius_prev;tasa_feed_pellets_kg_min;posicion_vertical_lanza_mm_prev
0.7396266412673335,1007.4679217539007,0.7007913184309336,1097.0334097312789,1749,374,Fusión,sn_extraido_est_kg,auto09_k8,8,feed_Sn_kgf;margen_presion_gn;basicidad_B4_prev;interaccion_C_x_Sn_prev;cum_feed_reciclo_kg_prev;posicion_vertical_lanza_mm_prev;carbon_sobre_inventario_sn_prev;sn_inventario_escoria_est_kg_prev
0.5124934735930884,1.9573012829995033,0.4379049415759624,2.1709770019051846,1779,375,Fusión,d_ley_sn_escoria_pct,v2_actual_7,7,basicidad_B2_prev;delta_tiempo;ley_sn_escoria_pct_prev;interaccion_C_x_Sn_prev;cum_feed_CaO_kg_prev;interaccion_Sn_x_FeO_prev;tasa_feed_Carbon_kg_min
0.5116501142424561,1.927461695712403,0.44469590023274286,2.136907367240135,1779,375,Fusión,d_ley_sn_escoria_pct,v2+masa_9,9,basicidad_B2_prev;delta_tiempo;ley_sn_escoria_pct_prev;interaccion_C_x_Sn_prev;cum_feed_CaO_kg_prev;interaccion_Sn_x_FeO_prev;tasa_feed_Carbon_kg_min;masa_escoria_est_kg_prev;feed_Sn_kgf
0.5167286828645781,1.953406015289192,0.44992397000462836,2.142523445419377,1779,375,Fusión,d_ley_sn_escoria_pct,v2_plan_7,7,basicidad_B2_prev;duracion_plan_min;ley_sn_escoria_pct_prev;interaccion_C_x_Sn_prev;cum_feed_CaO_kg_prev;interaccion_Sn_x_FeO_prev;tasa_feed_Carbon_kg_min
0.1251085587944587,0.6264187150610038,0.06952204550547048,0.7601453077512644,1774,375,Fusión,d_ley_feo_escoria_pct,v2_actual_7,7,basicidad_B2_prev;delta_tiempo;ley_sn_escoria_pct_prev;interaccion_C_x_Sn_prev;cum_feed_CaO_kg_prev;interaccion_Sn_x_FeO_prev;tasa_feed_Carbon_kg_min
0.20249477359327162,0.6140551393519466,0.042410203767137444,0.7801571112502039,1774,375,Fusión,d_ley_feo_escoria_pct,curado_feo_9,9,ley_feo_escoria_pct_prev;ley_sio2_escoria_pct_prev;ley_sn_escoria_pct_prev;tasa_feed_CaO_kg_min;tasa_feed_Carbon_kg_min;exceso_o2_combustion_pct;tasa_feed_Fe_kg_min;tasa_feed_dross_Fe_kg_min;duracion_plan_min
0.9727842341429289,356.5913807002183,0.9836755146518109,332.9248709096455,1076,238,Reducción,sn_extraido_est_kg,trivial_solo_inventario,1,sn_inventario_escoria_est_kg_prev
0.971739258158446,362.5353712906516,0.9809757244995497,344.53609323405374,1076,238,Reducción,sn_extraido_est_kg,trivial_inventario+avance,3,sn_inventario_escoria_est_kg_prev;avance_reduccion_sn_prev;masa_escoria_est_kg_prev
0.971498308217752,361.8258390605074,0.982742926388621,347.40699630831904,1076,238,Reducción,sn_extraido_est_kg,curado_A_10,10,sn_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev;ley_sn_escoria_pct_prev;ley_feo_escoria_pct_prev;tasa_feed_Carbon_kg_min;interaccion_C_x_Sn_prev;duracion_plan_min;tasa_gn_nm3_min;exceso_o2_combustion_pct;temperatura_horno_celsius_prev
0.9707083916160936,366.29625249408616,0.9811254618606265,356.98710585135274,1076,238,Reducción,sn_extraido_est_kg,curado_B_13,13,sn_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev;avance_reduccion_sn_prev;ley_sn_escoria_pct_prev;ley_feo_escoria_pct_prev;interaccion_Sn_x_FeO_prev;tasa_feed_Carbon_kg_min;interaccion_C_x_Sn_prev;duracion_plan_min;tasa_gn_nm3_min;exceso_o2_combustion_pct;interaccion_C_x_exceso_o2;temperatura_horno_celsius_prev
0.94701674658966,0.6583235768983248,0.9666742276866429,0.6721124116629792,1093,242,Reducción,d_ley_sn_escoria_pct,v2_configC_9,9,ley_sn_escoria_pct_prev;interaccion_Sn_x_FeO_prev;interaccion_C_x_Sn_prev;tasa_gn_nm3_min;interaccion_C_x_exceso_o2;posicion_vertical_lanza_mm_prev;tasa_feed_Carbon_kg_min;interaccion_C_x_FeO_prev;exceso_o2_combustion_pct
0.9475787990047826,0.6580754440428198,0.967684160816325,0.6546728824975672,1093,242,Reducción,d_ley_sn_escoria_pct,v2C+masa_11,11,ley_sn_escoria_pct_prev;interaccion_Sn_x_FeO_prev;interaccion_C_x_Sn_prev;tasa_gn_nm3_min;interaccion_C_x_exceso_o2;posicion_vertical_lanza_mm_prev;tasa_feed_Carbon_kg_min;interaccion_C_x_FeO_prev;exceso_o2_combustion_pct;sn_inventario_escoria_est_kg_prev;duracion_plan_min
0.9463717822738951,0.659695916087299,0.9689441492295268,0.6496117621292956,1093,242,Reducción,d_ley_sn_escoria_pct,v2C+ratio_10,10,ley_sn_escoria_pct_prev;interaccion_Sn_x_FeO_prev;interaccion_C_x_Sn_prev;tasa_gn_nm3_min;interaccion_C_x_exceso_o2;posicion_vertical_lanza_mm_prev;tasa_feed_Carbon_kg_min;interaccion_C_x_FeO_prev;exceso_o2_combustion_pct;ratio_sn_feo_prev
0.45044224380270037,0.6350981447816758,0.5083085700359955,0.6302323140938936,1087,242,Reducción,d_ley_feo_escoria_pct,v2_configC_9,9,ley_sn_escoria_pct_prev;interaccion_Sn_x_FeO_prev;interaccion_C_x_Sn_prev;tasa_gn_nm3_min;interaccion_C_x_exceso_o2;posicion_vertical_lanza_mm_prev;tasa_feed_Carbon_kg_min;interaccion_C_x_FeO_prev;exceso_o2_combustion_pct
0.46528253461796576,0.6354603812208777,0.5697182109763994,0.5819932249190409,1087,242,Reducción,d_ley_feo_escoria_pct,curado_feo_11,11,ley_feo_escoria_pct_prev;ley_sn_escoria_pct_prev;interaccion_Sn_x_FeO_prev;ratio_sn_sio2_prev;tasa_feed_Carbon_kg_min;interaccion_C_x_FeO_prev;cum_feed_Carbon_kg_prev;tasa_gn_nm3_min;exceso_o2_combustion_pct;duracion_plan_min;grad_temperatura_horno_celsius_prev
0.28591798126480517,571.1671674014838,0.2712329255208261,514.8559865737794,1071,242,Reducción,feo_extraido_est_kg,curado_feo_kg_11,11,feo_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev;ley_feo_escoria_pct_prev;ley_cao_escoria_pct_prev;ley_sn_escoria_pct_prev;sn_inventario_escoria_est_kg_prev;tasa_feed_Carbon_kg_min;interaccion_C_x_FeO_prev;tasa_gn_nm3_min;exceso_o2_combustion_pct;duracion_plan_min
0.3848903105446142,10.136983713789217,0.0968375856728857,7.4814807067846205,1794,378,Fusión,d_temperatura_horno_celsius,v3_dT,15,temperatura_horno_celsius_prev;termocupla_media_celsius_prev;espesor_ladrillo_norm_mm;tasa_gn_nm3_min;tasa_o2_nm3_min;tasa_aire_nm3_min;exceso_o2_combustion_pct;tasa_feed_total_kg_min;tasa_feed_Carbon_kg_min;tasa_feed_CaO_kg_min;duracion_plan_min;orden_escalon_fase;masa_escoria_est_kg_prev;grad_temperatura_horno_celsius_prev;tiro_horno_pct_prev
