analisis,subset,n,variable,coef,se,p,ci95_lo,ci95_hi,r2,metodo
correlacion,DEV,294,rendimiento_proxy_batch~dist_total,0.029962588378904524,,0.6088766169620821,,,,spearman
correlacion,DEV,294,rendimiento_proxy_batch~dist_total,0.03806098764041023,,0.5156499532039576,,,,pearson
correlacion,DEV,293,rendimiento_proxy_batch~dist_F,-0.016456122849877852,,0.7790951843250971,,,,spearman
correlacion,DEV,293,rendimiento_proxy_batch~dist_F,-0.03295704357659479,,0.5742012377788933,,,,pearson
correlacion,DEV,294,rendimiento_proxy_batch~dist_R,0.028747333875678148,,0.6234860457194309,,,,spearman
correlacion,DEV,294,rendimiento_proxy_batch~dist_R,0.05386359034987134,,0.3574149570552777,,,,pearson
correlacion,DEV,293,rendimiento_proxy_batch~dist_Fusión_tasa_feed_Carbon_kg_min,0.044384396977398564,,0.44913135599787457,,,,spearman
correlacion,DEV,293,rendimiento_proxy_batch~dist_Fusión_tasa_feed_Carbon_kg_min,0.030086392544942015,,0.6080137109959963,,,,pearson
correlacion,DEV,293,rendimiento_proxy_batch~dist_Fusión_tasa_feed_CaO_kg_min,-0.08536154546538367,,0.1449590940440891,,,,spearman
correlacion,DEV,293,rendimiento_proxy_batch~dist_Fusión_tasa_feed_CaO_kg_min,-0.08507880194377543,,0.14630026062594653,,,,pearson
correlacion,DEV,294,rendimiento_proxy_batch~dist_Reducción_tasa_feed_Carbon_kg_min,-0.012600717136826646,,0.8296539423600653,,,,spearman
correlacion,DEV,294,rendimiento_proxy_batch~dist_Reducción_tasa_feed_Carbon_kg_min,0.006616034198738326,,0.9100628015032413,,,,pearson
correlacion,DEV,294,rendimiento_proxy_batch~dist_Reducción_tasa_gn_nm3_min,0.06845706626303615,,0.24193377619355533,,,,spearman
correlacion,DEV,294,rendimiento_proxy_batch~dist_Reducción_tasa_gn_nm3_min,0.10959185936863078,,0.0605509275708315,,,,pearson
correlacion,DEV,294,rendimiento_proxy_batch~dist_Reducción_tasa_o2_nm3_min,0.03751174056988559,,0.521731992466645,,,,spearman
correlacion,DEV,294,rendimiento_proxy_batch~dist_Reducción_tasa_o2_nm3_min,0.0801582710458246,,0.1704436662854067,,,,pearson
correlacion,DEV,294,rendimiento_proxy_batch~dist_Reducción_tasa_aire_nm3_min,-0.005152158801997463,,0.9299042019680244,,,,spearman
correlacion,DEV,294,rendimiento_proxy_batch~dist_Reducción_tasa_aire_nm3_min,0.005001587788844451,,0.9319477168051696,,,,pearson
correlacion,DEV,294,rendimiento_proxy_batch~dist_Reducción_duracion_plan_min,0.0926968838973826,,0.11272430048830533,,,,spearman
correlacion,DEV,294,rendimiento_proxy_batch~dist_Reducción_duracion_plan_min,0.08058243923236656,,0.16818571956913195,,,,pearson
correlacion,DEV,294,frac_sn_dross~dist_total,-0.054913270913733686,,0.34810901637570835,,,,spearman
correlacion,DEV,294,frac_sn_dross~dist_total,-0.07675588170441792,,0.1893786246395006,,,,pearson
correlacion,DEV,293,frac_sn_dross~dist_F,-0.020095943957407946,,0.731936016089164,,,,spearman
correlacion,DEV,293,frac_sn_dross~dist_F,-0.023968640636731552,,0.6828464617517344,,,,pearson
correlacion,DEV,294,frac_sn_dross~dist_R,-0.024620603735566918,,0.6741781090506379,,,,spearman
correlacion,DEV,294,frac_sn_dross~dist_R,-0.08490479599420213,,0.1464360914701297,,,,pearson
correlacion,DEV,293,frac_sn_dross~dist_Fusión_tasa_feed_Carbon_kg_min,-0.08489043682868586,,0.14719898114337085,,,,spearman
correlacion,DEV,293,frac_sn_dross~dist_Fusión_tasa_feed_Carbon_kg_min,-0.057065776757046625,,0.330341250400474,,,,pearson
correlacion,DEV,293,frac_sn_dross~dist_Fusión_tasa_feed_CaO_kg_min,0.05001122311970981,,0.39369878459328683,,,,spearman
correlacion,DEV,293,frac_sn_dross~dist_Fusión_tasa_feed_CaO_kg_min,0.022218982630840572,,0.7048744621693882,,,,pearson
correlacion,DEV,294,frac_sn_dross~dist_Reducción_tasa_feed_Carbon_kg_min,0.03530930229620517,,0.5464838458676075,,,,spearman
correlacion,DEV,294,frac_sn_dross~dist_Reducción_tasa_feed_Carbon_kg_min,-0.05864751689941135,,0.31625935966750196,,,,pearson
correlacion,DEV,294,frac_sn_dross~dist_Reducción_tasa_gn_nm3_min,-0.03935531070148133,,0.501463517739213,,,,spearman
correlacion,DEV,294,frac_sn_dross~dist_Reducción_tasa_gn_nm3_min,-0.11324733554147447,,0.052408894424669825,,,,pearson
correlacion,DEV,294,frac_sn_dross~dist_Reducción_tasa_o2_nm3_min,-0.04286459044122941,,0.4640585904539868,,,,spearman
correlacion,DEV,294,frac_sn_dross~dist_Reducción_tasa_o2_nm3_min,-0.11690522831335384,,0.045194424603686084,,,,pearson
correlacion,DEV,294,frac_sn_dross~dist_Reducción_tasa_aire_nm3_min,-0.00694423456878912,,0.905621571822872,,,,spearman
correlacion,DEV,294,frac_sn_dross~dist_Reducción_tasa_aire_nm3_min,-0.04056481380368665,,0.488394982621128,,,,pearson
correlacion,DEV,294,frac_sn_dross~dist_Reducción_duracion_plan_min,-0.08580431838575903,,0.1421916973639435,,,,spearman
correlacion,DEV,294,frac_sn_dross~dist_Reducción_duracion_plan_min,-0.0842325824875656,,0.14967038257542709,,,,pearson
correlacion,DEV,294,frac_sn_polvo~dist_total,0.0702386953508771,,0.2298692811276987,,,,spearman
correlacion,DEV,294,frac_sn_polvo~dist_total,0.03218591367570453,,0.5825492428349087,,,,pearson
correlacion,DEV,293,frac_sn_polvo~dist_F,0.050055590819165906,,0.39327875025537956,,,,spearman
correlacion,DEV,293,frac_sn_polvo~dist_F,0.0723549587068644,,0.21688919234753976,,,,pearson
correlacion,DEV,294,frac_sn_polvo~dist_R,0.04670137247186753,,0.42499477613917064,,,,spearman
correlacion,DEV,294,frac_sn_polvo~dist_R,0.01910572598319292,,0.7442509717370279,,,,pearson
correlacion,DEV,293,frac_sn_polvo~dist_Fusión_tasa_feed_Carbon_kg_min,0.040360055807915615,,0.49133930583413155,,,,spearman
correlacion,DEV,293,frac_sn_polvo~dist_Fusión_tasa_feed_Carbon_kg_min,0.021095915075624215,,0.7191460249658437,,,,pearson
correlacion,DEV,293,frac_sn_polvo~dist_Fusión_tasa_feed_CaO_kg_min,0.06570737021438805,,0.2622311633615541,,,,spearman
correlacion,DEV,293,frac_sn_polvo~dist_Fusión_tasa_feed_CaO_kg_min,0.09395393084723315,,0.10851369533361703,,,,pearson
correlacion,DEV,294,frac_sn_polvo~dist_Reducción_tasa_feed_Carbon_kg_min,0.043469026916419386,,0.457775716848712,,,,spearman
correlacion,DEV,294,frac_sn_polvo~dist_Reducción_tasa_feed_Carbon_kg_min,0.056103053114795,,0.3377481025342316,,,,pearson
correlacion,DEV,294,frac_sn_polvo~dist_Reducción_tasa_gn_nm3_min,0.015440894961332203,,0.7920542170031862,,,,spearman
correlacion,DEV,294,frac_sn_polvo~dist_Reducción_tasa_gn_nm3_min,-0.027462028379504237,,0.6390995083388867,,,,pearson
correlacion,DEV,294,frac_sn_polvo~dist_Reducción_tasa_o2_nm3_min,0.040320032942068706,,0.49102497891792235,,,,spearman
correlacion,DEV,294,frac_sn_polvo~dist_Reducción_tasa_o2_nm3_min,0.017899910074694034,,0.7598814089272996,,,,pearson
correlacion,DEV,294,frac_sn_polvo~dist_Reducción_tasa_aire_nm3_min,0.06333512147394744,,0.2790606556415917,,,,spearman
correlacion,DEV,294,frac_sn_polvo~dist_Reducción_tasa_aire_nm3_min,0.03820811664690503,,0.5140269717062458,,,,pearson
correlacion,DEV,294,frac_sn_polvo~dist_Reducción_duracion_plan_min,0.019972903850155863,,0.7330741655568869,,,,spearman
correlacion,DEV,294,frac_sn_polvo~dist_Reducción_duracion_plan_min,-0.019119916410213655,,0.7440676360551152,,,,pearson
correlacion,DEV,294,metal_equivalente_kg_por_t_cargada~dist_total,0.5031391997997788,,2.8516000827118994e-20,,,,spearman
correlacion,DEV,294,metal_equivalente_kg_por_t_cargada~dist_total,0.5596720424934946,,1.235823048081557e-25,,,,pearson
correlacion,DEV,293,metal_equivalente_kg_por_t_cargada~dist_F,0.11353384193991291,,0.05221455431593606,,,,spearman
correlacion,DEV,293,metal_equivalente_kg_por_t_cargada~dist_F,0.10625049724239777,,0.06935729958017453,,,,pearson
correlacion,DEV,294,metal_equivalente_kg_por_t_cargada~dist_R,0.5120552440674749,,4.725975785002857e-21,,,,spearman
correlacion,DEV,294,metal_equivalente_kg_por_t_cargada~dist_R,0.5441024372601456,,4.689048890263859e-24,,,,pearson
correlacion,DEV,293,metal_equivalente_kg_por_t_cargada~dist_Fusión_tasa_feed_Carbon_kg_min,0.027058333267755173,,0.6446058494987024,,,,spearman
correlacion,DEV,293,metal_equivalente_kg_por_t_cargada~dist_Fusión_tasa_feed_Carbon_kg_min,0.029693511573625278,,0.6127092169487506,,,,pearson
