fase,target,forma,n_features,r2_oof,mae_oof,r2_lockbox,mae_lockbox,vs_A_oof,vs_A_lockbox,veredicto_vs_A,n_recortados_frac
Fusión,sn_extraido_est_kg,A_hgb_v3,13,0.7258368692501533,1017.6547791559091,0.6589956798967966,1163.7901850568917,,,,
Fusión,sn_extraido_est_kg,B_hgb_monotono_teorico,13,0.7249739522329266,1017.6031039197302,0.6439277235009682,1222.388532680969,-0.0008629170172267386,-0.015067956395828475,sin cambio,
Fusión,sn_extraido_est_kg,C_plm_completo,55,0.657088471270784,1194.0480737961166,0.43445130580957836,1477.8276702525354,-0.06874839797936938,-0.22454437408721828,,
Fusión,sn_extraido_est_kg,C_plm_parsimonioso,48,0.6600283824885301,1182.958752090794,0.4702364001835496,1430.3422751091357,-0.06580848676162321,-0.18875927971324702,,
Fusión,sn_extraido_est_kg,C_plm_relacion_C_Sn_carga,55,0.6586689877149801,1190.4151382911436,0.43261211249727205,1488.5934253685323,,,,
Fusión,sn_extraido_est_kg,D1_hgb_logk,13,0.7083889520239266,1023.5686324522767,0.6551529784959513,1135.894618843985,,,,78.0
Fusión,sn_extraido_est_kg,D2_ridge_logk,13,0.6577406831194237,1112.0747232568074,0.5820369686059028,1412.5106479932438,,,,78.0
Fusión,sn_extraido_est_kg,D3_plm_logk,53,0.6259947822885562,1268.1543121615434,0.5037669672985451,1455.1406334565643,,,,78.0
Fusión,sn_extraido_est_kg,E_hgb_fraccion,13,0.7318149540241572,1003.4871394129366,0.6791890963812688,1098.6012607699809,,,,
Reducción,sn_extraido_est_kg,A_hgb_v3,10,0.9715479265767343,368.49050455272106,0.9827924551713406,355.4403389471856,,,,
Reducción,sn_extraido_est_kg,B_hgb_monotono_teorico,10,0.9712188741534175,370.4170842180434,0.9842084678653137,333.22709864406687,-0.0003290524233168224,0.0014160126939730677,sin cambio,
Reducción,sn_extraido_est_kg,C_plm_completo,44,0.9744465777665934,350.02504293551726,0.9846540864972886,327.1977735097653,0.0028986511898591028,0.0018616313259479655,,
Reducción,sn_extraido_est_kg,C_plm_parsimonioso,42,0.9745866077217644,351.1887875202309,0.9845446911886175,328.9543017262385,0.003038681145030142,0.0017522360172769202,,
Reducción,sn_extraido_est_kg,D1_hgb_logk,10,0.970166280111515,376.8928499846915,0.9821438824484492,380.84370270328213,,,,90.0
Reducción,sn_extraido_est_kg,D2_ridge_logk,10,0.9590219196132451,458.90945960943503,0.97049612100053,434.9052178450196,,,,90.0
Reducción,sn_extraido_est_kg,D3_plm_logk,43,0.9719485430957248,371.0238095541784,0.9866213623621132,313.33122087372743,,,,90.0
Reducción,sn_extraido_est_kg,E_hgb_fraccion,10,0.9737674673705548,355.97018430131754,0.9831022861005443,366.3802369208843,,,,
Reducción,feo_extraido_est_kg,A_hgb_v3,11,0.27882202633360365,575.741298961985,0.28201292064999617,508.1607687600451,,,,
Reducción,feo_extraido_est_kg,B_hgb_monotono_teorico,11,0.28949032181110657,572.4421881558484,0.28707869686275356,499.04458262548144,0.01066829547750292,0.005065776212757389,mejora,
Reducción,feo_extraido_est_kg,C_plm_completo,44,0.35611612297733486,544.318536091351,0.37503710925351397,484.3555112865305,0.07729409664373121,0.0930241886035178,,
Reducción,feo_extraido_est_kg,C_plm_parsimonioso,42,0.35797768866077084,543.7907956602718,0.37855215637895534,484.2652607996102,0.0791556623271672,0.09653923572895917,,
Reducción,feo_extraido_est_kg,D1_hgb_logk,11,0.24270140872474,594.3843530554342,0.2642951697952499,516.2923821505618,,,,309.0
Reducción,feo_extraido_est_kg,D2_ridge_logk,11,-0.9921040965172558,627.9378399210501,0.3480949887497796,493.66248645677405,,,,309.0
Reducción,feo_extraido_est_kg,D3_plm_logk,43,0.2551116018074121,578.4721380016862,0.3679229738560168,487.83325103283494,,,,309.0
Reducción,feo_extraido_est_kg,E_hgb_fraccion,11,-0.9282313198513366,718.9938305445158,-6.398489207359006,1025.0844767912763,,,,
