fase,target,forma,palanca,theta_unidad,theta_1sd,ci_lo,ci_hi,significativo,signo
Fusión,sn_extraido_est_kg,A_hgb_v3,tasa_feed_Carbon_kg_min,,,,,,-1.0
Fusión,sn_extraido_est_kg,A_hgb_v3,relacion_CaO_carga,,,,,,-1.0
Fusión,sn_extraido_est_kg,A_hgb_v3,tasa_gn_nm3_min,,,,,,1.0
Fusión,sn_extraido_est_kg,A_hgb_v3,exceso_o2_combustion_pct,,,,,,-1.0
Fusión,sn_extraido_est_kg,B_hgb_monotono_teorico,tasa_feed_Carbon_kg_min,,,,,,1.0
Fusión,sn_extraido_est_kg,B_hgb_monotono_teorico,relacion_CaO_carga,,,,,,-1.0
Fusión,sn_extraido_est_kg,B_hgb_monotono_teorico,tasa_gn_nm3_min,,,,,,1.0
Fusión,sn_extraido_est_kg,B_hgb_monotono_teorico,exceso_o2_combustion_pct,,,,,,-1.0
Fusión,sn_extraido_est_kg,C_plm_completo,tasa_feed_Carbon_kg_min,-1.8519140277558235,-13.512924840756773,-491.8358551411653,478.2124118994011,False,-1.0
Fusión,sn_extraido_est_kg,C_plm_completo,tasa_feed_CaO_kg_min,-58.20935761393967,-272.48505177620893,-914.9530550548965,210.04798267262208,False,-1.0
Fusión,sn_extraido_est_kg,C_plm_completo,tasa_feed_total_kg_min,5.438125830870844,199.42945472470774,-70.94586565330277,351.60008146213136,False,1.0
Fusión,sn_extraido_est_kg,C_plm_completo,tasa_gn_nm3_min,301.93422377702956,315.5511364891842,7.450989154161268,672.0754391723887,True,1.0
Fusión,sn_extraido_est_kg,C_plm_completo,tasa_o2_nm3_min,62.50408815481363,134.45107322649616,-29.63927772649287,298.44484203969176,False,1.0
Fusión,sn_extraido_est_kg,C_plm_completo,tasa_aire_nm3_min,18.056882445322216,103.39581500528831,-69.95184711628015,285.72993224879565,False,1.0
Fusión,sn_extraido_est_kg,C_plm_completo,duracion_plan_min,-48.38610241585743,-420.34007435540605,-1422.5368159859393,468.5587011502412,False,-1.0
Fusión,sn_extraido_est_kg,C_plm_completo,interaccion_C_x_Sn_prev,0.22637573144584344,53.108338506368334,-670.6759816932774,729.5065553183391,False,1.0
