fase,target,n_features,r2_oof,r2_lockbox,features
Fusión,sn_extraido_est_kg,13,0.7258368692501533,0.6589956798967966,feed_Sn_kgf;sn_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev;feo_inventario_escoria_est_kg_prev;ley_sn_escoria_pct_prev;interaccion_C_x_Sn_prev;tasa_feed_Carbon_kg_min;relacion_CaO_carga;tasa_gn_nm3_min;exceso_o2_combustion_pct;basicidad_B2_prev;temperatura_horno_celsius_prev;frac_carga_secundaria
Fusión,sn_extraido_est_kg,12,0.7323575918204515,0.6715758952881811,feed_Sn_kgf;sn_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev;feo_inventario_escoria_est_kg_prev;ley_sn_escoria_pct_prev;interaccion_C_x_Sn_prev;tasa_feed_Carbon_kg_min;relacion_CaO_carga;tasa_gn_nm3_min;basicidad_B2_prev;temperatura_horno_celsius_prev;frac_carga_secundaria
Fusión,sn_extraido_est_kg,11,0.7305972872848359,0.6909823683047961,feed_Sn_kgf;sn_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev;feo_inventario_escoria_est_kg_prev;ley_sn_escoria_pct_prev;interaccion_C_x_Sn_prev;tasa_feed_Carbon_kg_min;relacion_CaO_carga;tasa_gn_nm3_min;basicidad_B2_prev;frac_carga_secundaria
Fusión,sn_extraido_est_kg,10,0.7312967727737653,0.6761644566347276,feed_Sn_kgf;sn_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev;feo_inventario_escoria_est_kg_prev;ley_sn_escoria_pct_prev;tasa_feed_Carbon_kg_min;relacion_CaO_carga;tasa_gn_nm3_min;basicidad_B2_prev;frac_carga_secundaria
Fusión,sn_extraido_est_kg,9,0.7300177259007934,0.67910787534833,feed_Sn_kgf;sn_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev;feo_inventario_escoria_est_kg_prev;ley_sn_escoria_pct_prev;tasa_feed_Carbon_kg_min;relacion_CaO_carga;tasa_gn_nm3_min;frac_carga_secundaria
Fusión,sn_extraido_est_kg,8,0.7282162091738744,0.6731250624388405,feed_Sn_kgf;sn_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev;feo_inventario_escoria_est_kg_prev;ley_sn_escoria_pct_prev;tasa_feed_Carbon_kg_min;relacion_CaO_carga;tasa_gn_nm3_min
Fusión,sn_extraido_est_kg,7,0.7307751744250699,0.6538480655899557,feed_Sn_kgf;sn_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev;feo_inventario_escoria_est_kg_prev;tasa_feed_Carbon_kg_min;relacion_CaO_carga;tasa_gn_nm3_min
Fusión,sn_extraido_est_kg,6,0.7256819382938355,0.6336040432707502,feed_Sn_kgf;sn_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev;feo_inventario_escoria_est_kg_prev;relacion_CaO_carga;tasa_gn_nm3_min
Fusión,sn_extraido_est_kg,5,0.7302323396055777,0.6344818864180675,feed_Sn_kgf;sn_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev;feo_inventario_escoria_est_kg_prev;tasa_gn_nm3_min
Fusión,sn_extraido_est_kg,4,0.7240905273432656,0.7042657268889101,feed_Sn_kgf;sn_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev;feo_inventario_escoria_est_kg_prev
