palanca,theta_por_unidad,ci95_lo,ci95_hi,sd_palanca,efecto_por_1sd,efecto_1sd_ci95_lo,efecto_1sd_ci95_hi,significativo_ci95,n,target,fase,periodo,clave_target,mismo_signo_3_periodos,estable
tasa_feed_Carbon_kg_min,-7.628432116733771,-31.273579493636863,21.537208864539895,7.968020064465148,-60.78350016654503,-249.18850889294433,171.60891236523054,False,888,sn_extraido_est_kg,Fusión,dev_primera_mitad,sn_kg,False,False
tasa_feed_CaO_kg_min,-18.168605199409527,-50.74316330329356,22.659700987380695,12.224011554596748,-222.0932398884886,-620.2850145362502,276.992446693449,False,888,sn_extraido_est_kg,Fusión,dev_primera_mitad,sn_kg,True,True
tasa_feed_total_kg_min,7.694920575076258,1.2651518807136162,11.966206505854911,37.8991416484235,291.63088484818354,47.94817033393473,453.50895535968215,True,888,sn_extraido_est_kg,Fusión,dev_primera_mitad,sn_kg,True,True
tasa_gn_nm3_min,69.61143609509081,-117.89566272830687,268.3312341911203,1.6627085912336717,115.7435328434212,-196.02613128754322,446.15664838591005,False,888,sn_extraido_est_kg,Fusión,dev_primera_mitad,sn_kg,False,False
tasa_o2_nm3_min,-2.988844909754352,-101.9492889390175,101.81027716931935,3.628164662558905,-10.8440214834398,-369.8888075015508,369.3844499110521,False,888,sn_extraido_est_kg,Fusión,dev_primera_mitad,sn_kg,False,False
tasa_aire_nm3_min,9.235956308276583,-25.80040962535383,55.37145452410232,3.987890421786928,36.83198169781874,-102.8892064231278,220.8152931370781,False,888,sn_extraido_est_kg,Fusión,dev_primera_mitad,sn_kg,True,True
duracion_plan_min,-2.333722964452864,-90.37297149634416,106.65732638765306,10.149866519582273,-23.68697658288042,-917.2735976659068,1082.5576261701988,False,888,sn_extraido_est_kg,Fusión,dev_primera_mitad,sn_kg,False,False
tasa_feed_Carbon_kg_min,23.029622488621307,-2.3228994761738635,54.93160182774471,9.12190435809194,210.07401374416688,-21.18926685511985,501.0808181094757,False,861,sn_extraido_est_kg,Fusión,dev_segunda_mitad,sn_kg,False,False
tasa_feed_CaO_kg_min,-94.04464449560321,-155.03902620470862,-35.92951733943834,4.387365263665811,-412.60820649380963,-680.212838083112,-157.63591631533023,True,861,sn_extraido_est_kg,Fusión,dev_segunda_mitad,sn_kg,True,True
tasa_feed_total_kg_min,10.06706791304994,4.358415727983679,18.71996606060651,38.8570051866385,391.17611011162353,169.35498254778864,727.4018183106839,True,861,sn_extraido_est_kg,Fusión,dev_segunda_mitad,sn_kg,True,True
tasa_gn_nm3_min,153.0771175747014,-0.2773096386521834,324.9054777125864,1.00722188870096,154.18262348048967,-0.2793123379982329,327.25190891095895,False,861,sn_extraido_est_kg,Fusión,dev_segunda_mitad,sn_kg,False,False
tasa_o2_nm3_min,89.67795868722409,20.617297099267585,172.769666857632,2.089312162342372,187.36524977925407,43.07596958412587,360.96976624949036,True,861,sn_extraido_est_kg,Fusión,dev_segunda_mitad,sn_kg,False,False
