palanca,theta_por_unidad,ci95_lo,ci95_hi,sd_palanca,efecto_por_1sd,efecto_1sd_ci95_lo,efecto_1sd_ci95_hi,significativo_ci95,n,target,fase,target_etiqueta
tasa_feed_Carbon_kg_min,-2.54195135886114,-22.97500035489996,15.740205325786627,8.55441374428923,-21.74490364155642,-196.53765881100617,134.64822877684367,False,1749,sn_extraido_est_kg,Fusión,sn_kg[t]
tasa_feed_CaO_kg_min,-42.63777733908701,-73.36038673535526,-11.492121801582613,9.451294162430663,-402.9821760639315,-693.3505949055191,-108.6154236972399,True,1749,sn_extraido_est_kg,Fusión,sn_kg[t]
tasa_feed_total_kg_min,9.244500443848988,5.741057142019773,13.39630203373688,39.51169574577436,365.26588885903726,226.8389030545902,529.3106100755099,True,1749,sn_extraido_est_kg,Fusión,sn_kg[t]
tasa_gn_nm3_min,89.33593928548787,0.45426938136345063,198.76387888772783,1.4760422515594789,131.8636209681324,0.6705208004822393,293.38388332213736,True,1749,sn_extraido_est_kg,Fusión,sn_kg[t]
tasa_o2_nm3_min,37.413722699016745,-9.611825718726283,88.31795274404058,3.3467956795955063,125.21608548665357,-32.168816788458095,295.5821426744751,False,1749,sn_extraido_est_kg,Fusión,sn_kg[t]
tasa_aire_nm3_min,3.972760422799669,-15.220386677391614,31.44403732259765,5.490481957599817,21.812369423248203,-83.56725843991128,172.64291959381768,False,1749,sn_extraido_est_kg,Fusión,sn_kg[t]
duracion_plan_min,-3.304502547276954,-113.24840489276221,103.20923655376149,9.883989315211931,-32.66166786937602,-1119.3460239248564,1020.1189913285592,False,1749,sn_extraido_est_kg,Fusión,sn_kg[t]
tasa_feed_Carbon_kg_min,-18.82864683827878,-48.4533266569782,7.0356320631532645,8.865271814369933,-166.92107211811842,-429.55191112456816,62.37279062575002,False,1456,sn_extraido_est_kg_tp1,Fusión,sn_kg[t+1]
tasa_feed_CaO_kg_min,-7.662834936884602,-46.834403889924616,31.737265829821986,9.349528994108322,-71.6438974194688,-437.8796170906298,296.72848706964396,False,1456,sn_extraido_est_kg_tp1,Fusión,sn_kg[t+1]
tasa_feed_total_kg_min,5.940962404497073,0.8274073899948896,10.243672109535035,40.560576177753845,240.96885817677517,33.56012047192421,415.48924293872824,True,1456,sn_extraido_est_kg_tp1,Fusión,sn_kg[t+1]
tasa_gn_nm3_min,-27.816527000052503,-176.51207249365694,120.1542097348616,1.4786390483981589,-41.130603013099325,-260.99764290280774,177.66470634338853,False,1456,sn_extraido_est_kg_tp1,Fusión,sn_kg[t+1]
tasa_o2_nm3_min,-52.562758986155885,-138.7594376298026,30.266298105580084,3.3970990380583532,-178.56089798956322,-471.37955209372046,102.81761218005346,False,1456,sn_extraido_est_kg_tp1,Fusión,sn_kg[t+1]
tasa_aire_nm3_min,13.746092148126344,-12.94039155615201,34.50846238198064,5.625372078278258,77.32688295550994,-72.79451734196526,194.12294074790952,False,1456,sn_extraido_est_kg_tp1,Fusión,sn_kg[t+1]
duracion_plan_min,8.529632162211584,-150.8725588542811,249.45887798175386,7.13158088529411,60.829761686618,-1075.9598568406016,1779.0361658815914,False,1456,sn_extraido_est_kg_tp1,Fusión,sn_kg[t+1]
