variable,vif,eliminada
C_por_Sn_F,2.5471272320520466,False
cal_por_carga_F,4.580737651878322,False
gn_por_t_carga_F,2.609869169575764,False
exceso_o2_F,1.183273998712751,False
enriq_o2_F,6.566901228380176,False
T_final_F,2.7206438644755915,False
dur_F,5.961770728429646,False
feed_rate_F,9.127008784054679,False
lanza_media_F,2.3885887926814244,False
lanza_std_F,2.5591267753688194,False
carbon_total_R,2.6528081050413963,False
carbon_por_Sn_inv_R,1.3036587259111516,False
gn_total_R,2.885602208758037,False
exceso_o2_R,2.2257684387565795,False
dur_R,4.929784848645248,False
carbon_rate_R0,1.484003004403512,False
lanza_media_R,2.061356534235127,False
feed_sn_total_t,9.711604866960425,False
ley_sn_conc_batch_pct,3.057803101410814,False
espesor_ladrillo_norm_mm,6.435743797460334,False
frac_carga_secundaria_F,7.335431166432574,False
feed_dross_Fe_total_t,5.93503044623181,False
perfil_carbon_R,166.12978105050553,True
T_media_R,14.429405782237312,True
T_media_F,11.223806785586515,True
