estado,avance_objetivo,n_rep,ventana,variable_barrida,valor,sn_kg_pred,feo_kg_pred,J
R0,0.75,87,0.03,tasa_feed_Carbon_kg_min,0.0,8785.986679310423,1565.1373634619779,8316.44547027183
R0,0.75,87,0.03,tasa_feed_Carbon_kg_min,5.0,8867.234192446524,1532.924207492682,8407.356930198719
R0,0.75,87,0.03,tasa_feed_Carbon_kg_min,10.0,8948.481705582624,1500.7110515233865,8498.268390125608
R0,0.75,87,0.03,tasa_feed_Carbon_kg_min,15.0,9029.729218718725,1468.497895554091,8589.179850052498
R0,0.75,87,0.03,tasa_feed_Carbon_kg_min,20.0,9110.976731854826,1436.2847395847948,8680.091309979387
R0,0.75,87,0.03,tasa_feed_Carbon_kg_min,25.0,9192.224244990926,1404.0715836154995,8771.002769906276
R0,0.75,87,0.03,tasa_feed_Carbon_kg_min,30.0,9273.471758127027,1371.8584276462034,8861.914229833166
R0,0.75,87,0.03,tasa_feed_Carbon_kg_min,35.0,9354.719271263128,1339.6452716769081,8952.825689760055
R0,0.75,87,0.03,tasa_feed_Carbon_kg_min,40.0,9435.966784399228,1307.432115707612,9043.737149686945
R0,0.75,87,0.03,tasa_feed_Carbon_kg_min,45.0,9517.214297535329,1275.2189597383167,9134.648609613834
R0,0.75,87,0.03,tasa_feed_Carbon_kg_min,50.0,9598.46181067143,1243.0058037690208,9225.560069540723
R0,0.75,87,0.03,tasa_feed_Carbon_kg_min,55.0,9679.70932380753,1210.792647799725,9316.471529467613
R0,0.75,87,0.03,tasa_feed_Carbon_kg_min,60.0,9760.956836943631,1178.5794918304293,9407.382989394502
R0,0.75,87,0.03,tasa_feed_Carbon_kg_min,65.0,9842.204350079732,1146.3663358611336,9498.29444932139
R0,0.75,87,0.03,tasa_feed_Carbon_kg_min,70.0,9923.451863215832,1114.153179891838,9589.205909248281
R0,0.75,87,0.03,tasa_gn_nm3_min,10.380907532254955,9518.620146568397,1297.2839775498692,9129.434953303436
R0,0.75,87,0.03,tasa_gn_nm3_min,11.753752936103767,9541.233321853453,1286.548009690522,9155.268918946296
R0,0.75,87,0.03,tasa_gn_nm3_min,13.12659833995258,9563.846497138511,1275.8120418311746,9181.102884589158
R0,0.75,87,0.03,tasa_gn_nm3_min,14.499443743801393,9586.459672423567,1265.076073971827,9206.93685023202
R0,0.75,87,0.03,tasa_gn_nm3_min,15.872289147650205,9609.072847708623,1254.3401061124798,9232.77081587488
R0,0.75,87,0.03,tasa_gn_nm3_min,17.245134551499017,9631.68602299368,1243.6041382531323,9258.604781517739
R0,0.75,87,0.03,tasa_gn_nm3_min,18.61797995534783,9654.299198278735,1232.868170393785,9284.4387471606
R0,0.75,87,0.03,tasa_gn_nm3_min,19.99082535919664,9676.912373563791,1222.1322025344375,9310.27271280346
R0,0.75,87,0.03,tasa_gn_nm3_min,21.363670763045455,9699.525548848847,1211.3962346750902,9336.10667844632
R0,0.75,87,0.03,tasa_gn_nm3_min,22.73651616689427,9722.138724133903,1200.6602668157427,9361.94064408918
R0,0.75,87,0.03,tasa_gn_nm3_min,24.10936157074308,9744.75189941896,1189.9242989563954,9387.774609732041
R0,0.75,87,0.03,tasa_gn_nm3_min,25.482206974591893,9767.365074704016,1179.188331097048,9413.608575374901
R0,0.75,87,0.03,tasa_gn_nm3_min,26.855052378440707,9789.978249989072,1168.4523632377004,9439.442541017761
R0,0.75,87,0.03,tasa_gn_nm3_min,28.227897782289517,9812.591425274128,1157.7163953783531,9465.276506660623
R0,0.75,87,0.03,tasa_gn_nm3_min,29.60074318613833,9835.204600559184,1146.9804275190058,9491.110472303482
R0,0.75,87,0.03,exceso_o2_combustion_pct,-14.189854185897381,9813.167236510277,1223.8670892556377,9446.007109733586
R0,0.75,87,0.03,exceso_o2_combustion_pct,-9.663934500168137,9810.33610792293,1191.4458334254828,9452.902357895286
R0,0.75,87,0.03,exceso_o2_combustion_pct,-5.138014814438893,9807.504979335583,1159.0245775953276,9459.797606056985
R0,0.75,87,0.03,exceso_o2_combustion_pct,-0.6120951287096492,9804.673850748235,1126.6033217651727,9466.692854218683
R0,0.75,87,0.03,exceso_o2_combustion_pct,3.913824557019595,9801.842722160887,1094.1820659350176,9473.588102380381
R0,0.75,87,0.03,exceso_o2_combustion_pct,8.439744242748837,9799.011593573541,1061.7608101048627,9480.483350542083
R0,0.75,87,0.03,exceso_o2_combustion_pct,12.965663928478083,9796.180464986193,1029.3395542747076,9487.37859870378
R0,0.75,87,0.03,exceso_o2_combustion_pct,17.49158361420733,9793.349336398845,996.9182984445528,9494.273846865479
R0,0.75,87,0.03,exceso_o2_combustion_pct,22.01750329993657,9790.518207811498,964.4970426143977,9501.169095027179
R0,0.75,87,0.03,exceso_o2_combustion_pct,26.543422985665813,9787.68707922415,932.0757867842427,9508.064343188877
R0,0.75,87,0.03,exceso_o2_combustion_pct,31.069342671395056,9784.855950636804,899.6545309540877,9514.959591350578
R0,0.75,87,0.03,exceso_o2_combustion_pct,35.595262357124305,9782.024822049456,867.2332751239327,9521.854839512276
R0,0.75,87,0.03,exceso_o2_combustion_pct,40.12118204285355,9779.193693462108,834.8120192937777,9528.750087673974
R0,0.75,87,0.03,exceso_o2_combustion_pct,44.64710172858279,9776.36256487476,802.3907634636226,9535.645335835674
R0,0.75,87,0.03,exceso_o2_combustion_pct,49.17302141431203,9773.531436287412,769.9695076334676,9542.540583997372
R1,0.93,120,0.03,tasa_feed_Carbon_kg_min,0.0,1575.306375987533,670.1001879285211,1374.2763196089768
R1,0.93,120,0.03,tasa_feed_Carbon_kg_min,5.0,1593.0177445048014,657.5269866370469,1395.7596485136874
R1,0.93,120,0.03,tasa_feed_Carbon_kg_min,10.0,1610.7291130220697,644.9537853455727,1417.242977418398
R1,0.93,120,0.03,tasa_feed_Carbon_kg_min,15.0,1628.4404815393377,632.3805840540986,1438.7263063231082
R1,0.93,120,0.03,tasa_feed_Carbon_kg_min,20.0,1646.151850056606,619.8073827626243,1460.2096352278188
R1,0.93,120,0.03,tasa_feed_Carbon_kg_min,25.0,1663.8632185738743,607.2341814711501,1481.6929641325291
R1,0.93,120,0.03,tasa_feed_Carbon_kg_min,30.0,1681.5745870911423,594.660980179676,1503.1762930372395
R1,0.93,120,0.03,tasa_feed_Carbon_kg_min,35.0,1699.2859556084106,582.0877788882018,1524.65962194195
R1,0.93,120,0.03,tasa_feed_Carbon_kg_min,40.0,1716.997324125679,569.5145775967276,1546.1429508466606
R1,0.93,120,0.03,tasa_feed_Carbon_kg_min,45.0,1734.708692642947,556.9413763052534,1567.626279751371
