fase,target,variante,n_estado,n_palancas,n_dev,n_lockbox,r2_oof,mae_oof,r2_lockbox,mae_lockbox,r2_oof_kg,r2_lockbox_kg
Reducción,sn_extraido_est_kg,HGB_v3_baseline,10,0,1074,238,0.9719694334890402,365.4882887417212,0.9834317760317544,343.15970932149247,0.9719694334890402,0.9834317760317544
Reducción,sn_extraido_est_kg,v1_Cx,7,4,1074,238,0.9732142870284854,357.207546411137,0.9824101070110675,344.6534578877236,0.9732142870284854,0.9824101070110675
Reducción,sn_extraido_est_kg,v2_Cx_y_Carbon,7,5,1074,238,0.9731978359780589,357.6186228121497,0.9825637396035183,342.5665781816673,0.9731978359780589,0.9825637396035183
Reducción,sn_extraido_est_kg,v3_solo_Carbon,7,4,1074,238,0.9732480072749351,358.05502342728744,0.9820608816846661,349.8599953655218,0.9732480072749351,0.9820608816846661
Reducción,feo_extraido_est_kg,HGB_v3_baseline,11,0,1070,242,0.2917301012526099,570.0391557634425,0.3019889883278277,498.4833540192809,0.2917301012526099,0.3019889883278277
Reducción,feo_extraido_est_kg,v1,7,6,1070,242,0.29597472092760635,567.1601134964976,0.29902238362437794,502.1539629132375,0.29597472092760635,0.29902238362437794
Reducción,d_temperatura_horno_celsius,v1,5,5,1183,252,0.429654663036782,9.50349700676404,0.4667378457433867,6.4598121552393355,0.429654663036782,0.4667378457433867
Fusión,sn_extraido_est_kg,HGB_v3_baseline,13,0,1743,374,0.7349431941347844,1004.5203633590795,0.6932236250952704,1084.055678963085,0.7349431941347844,0.6932236250952704
Fusión,sn_extraido_est_kg,HGB_E_fraccion,13,0,1743,374,0.7362163036415477,993.5743182887355,0.6861229501253009,1085.7625097033297,0.7362163036415477,0.6861229501253009
Fusión,frac_sn_extraido_escalon,A_frac_a_kg,7,8,1749,374,0.5687881110077915,0.07328959245812584,-0.014105984530025761,0.07079840727082834,0.7265491259556722,0.6882273629861357
Fusión,sn_extraido_est_kg,B_kg_directo,7,9,1749,374,0.724508960301055,1016.324807591858,0.6849728303268066,1110.1798176197578,0.724508960301055,0.6849728303268066
