subset,kpi,variable,n,coef_por_sd,ci_lo,ci_hi,p_hc3,p_perm,spearman,p_spearman,r2_adj
DEV,rendimiento_proxy_batch,dist_total,298,0.2568422268762368,-0.1901978803981733,0.7038823341506469,0.2601329932834775,0.36,0.005051984517105899,0.9307948741836944,-0.0005932239613621881
DEV,rendimiento_proxy_batch,dist_F,297,-0.11173755061544265,-0.6102435821492863,0.38676848091840105,0.6604327288839205,0.692,0.015430531973748616,0.7911486262631545,-0.0027536951294677703
DEV,rendimiento_proxy_batch,dist_R,298,0.33169396537828355,-0.03174272395493449,0.6951306547115016,0.07365027755475806,0.242,0.008632731736438078,0.8820266978168692,0.0015829612064655052
DEV,rendimiento_proxy_batch,uplift_fisico_total_kg,298,0.3964361509527176,-0.11669465837491716,0.9095669602803524,0.12996627387313714,0.122,0.0860914209222817,0.13816041039187382,0.0031455341294654993
DEV,rendimiento_proxy_batch,dir_Fusión_tasa_feed_Carbon_kg_min,297,0.36277317715376534,-0.15462028250920534,0.880166636816736,0.1693674421423903,0.18,0.0762067742592857,0.19030044393643875,0.0024383967283179153
DEV,rendimiento_proxy_batch,dir_Fusión_tasa_gn_nm3_min,297,-0.007168877834669878,-0.5731094964738342,0.5587717408044944,0.9801927650642104,0.976,-0.011779367715644595,0.8397971801186868,-0.0032986418885767588
DEV,rendimiento_proxy_batch,dir_Fusión_tasa_o2_nm3_min,297,0.3583838804986446,-0.1733618406519865,0.8901296016492757,0.18651177304939637,0.166,0.08542148651374293,0.14193998320497458,0.002142523453259604
DEV,rendimiento_proxy_batch,dir_Fusión_tasa_aire_nm3_min,297,0.24242546362220832,-0.4278104686074784,0.912661395851895,0.4783727151655317,0.348,0.10733396873418959,0.06470370159450911,-0.001435791115999896
DEV,rendimiento_proxy_batch,dir_Reducción_tasa_feed_Carbon_kg_min,298,-0.20911565814069571,-0.7280535706055149,0.3098222543241234,0.4296423332302599,0.45,-0.11559743605063018,0.04617137462834072,-0.0016795173268751018
DEV,rendimiento_proxy_batch,dir_Reducción_tasa_gn_nm3_min,298,0.6610975856768573,0.23963046350002587,1.0825647078536886,0.0021097853923280944,0.012,0.12954765846112426,0.025327375938815788,0.01699601973821807
DEV,rendimiento_proxy_batch,dir_Reducción_tasa_o2_nm3_min,298,0.4788096787174366,0.026321613963803447,0.9312977434710699,0.03808147023839724,0.094,0.10704248472184016,0.06498240046717552,0.007014995751296049
DEV,rendimiento_proxy_batch,dir_Reducción_tasa_aire_nm3_min,298,0.3555507614904688,0.0292139014679334,0.6818876215130043,0.03272661102399685,0.178,0.05535083127042465,0.34098646499763086,0.002354106684338886
DEV,f_dross,dist_total,298,-0.003154327460981875,-0.007179705356240644,0.0008710504342768943,0.1245756867001442,0.12,-0.012096240282385639,0.835273083032868,0.08746081836457797
DEV,f_dross,dist_F,297,0.0007803061146107938,-0.003338637051323529,0.004899249280545116,0.7104126001382673,0.702,-0.014700161705332247,0.8008220763727371,0.0838275458937694
DEV,f_dross,dist_R,298,-0.003845441505642403,-0.0074438028751715075,-0.0002470801361132988,0.036211531976872116,0.06,-0.013362765866065685,0.8183109972989311,0.09131583856110004
DEV,f_dross,uplift_fisico_total_kg,298,-0.0012673684261495916,-0.005629525977102158,0.003094789124802974,0.5690561043077662,0.552,-0.053253068102290996,0.3596264412845171,0.08133236398051058
DEV,f_dross,dir_Fusión_tasa_feed_Carbon_kg_min,297,-0.0003468354175421527,-0.0046780774270745885,0.0039844065919902825,0.8752848918630104,0.856,-0.02787660017586547,0.6323059375060851,0.08348630430545323
DEV,f_dross,dir_Fusión_tasa_gn_nm3_min,297,0.0011471609000508946,-0.0029258606177948463,0.005220182417896635,0.5809338583805166,0.578,-0.0038071323210678194,0.9479076816152725,0.08434510264523287
DEV,f_dross,dir_Fusión_tasa_o2_nm3_min,297,-0.0031002031194926182,-0.007864254140810656,0.0016638479018254186,0.202151675329726,0.148,-0.07924116613330529,0.17319744133214396,0.08988540287657365
DEV,f_dross,dir_Fusión_tasa_aire_nm3_min,297,-0.0007648239448476504,-0.005862111833380225,0.004332463943684924,0.7686942301608126,0.724,-0.12368359004226083,0.033111916972958004,0.08369825731600344
DEV,f_dross,dir_Reducción_tasa_feed_Carbon_kg_min,298,0.0016891066573718372,-0.002899585153386297,0.006277798468129972,0.470622438205861,0.396,0.18526783234477698,0.0013152373052622017,0.08223681300891283
DEV,f_dross,dir_Reducción_tasa_gn_nm3_min,298,-0.005202853626801902,-0.00863094980460256,-0.0017747574490012438,0.002933175897728731,0.016,-0.08961194992290418,0.12269795784878502,0.10049151058296568
DEV,f_dross,dir_Reducción_tasa_o2_nm3_min,298,-0.0038562027376903723,-0.007524329891514177,-0.0001880755838665673,0.03935486704791225,0.056,-0.08041058931942324,0.16620203509726592,0.09117451611653626
DEV,f_dross,dir_Reducción_tasa_aire_nm3_min,298,-0.004185244921300598,-0.008107883058695167,-0.00026260678390602893,0.036512230901783356,0.044,-0.033744401761413405,0.5617556232191463,0.09335393972130346
