Batch,fase,orden_escalon_fase,avance_reduccion_sn_prev,ley_sn_escoria_pct_prev,sn_extraido_real_kg,feo_extraido_real_kg,temperatura_real,pred_sn_kg_historico,pred_sn_kg_recomendado,pred_feo_reducido_kg_historico,pred_feo_reducido_kg_recomendado,pred_T_historico,pred_T_recomendado,support_historico,support_recomendado,J_historico,J_recomendado,uplift_J_kgSn,J_sn_hist,J_sn_rec,J_feo_hist,J_feo_rec,J_costo_hist,J_costo_rec,J_temperatura_hist,J_temperatura_rec,J_soporte_hist,J_soporte_rec,hist__duracion_plan_min,rec__duracion_plan_min,hist__tasa_feed_conc_kg_min,rec__tasa_feed_conc_kg_min,hist__tasa_feed_reciclo_kg_min,rec__tasa_feed_reciclo_kg_min,hist__tasa_feed_Fe_kg_min,rec__tasa_feed_Fe_kg_min,hist__tasa_feed_dross_Fe_kg_min,rec__tasa_feed_dross_Fe_kg_min,hist__tasa_feed_pellets_kg_min,rec__tasa_feed_pellets_kg_min,hist__tasa_feed_CaO_kg_min,rec__tasa_feed_CaO_kg_min,hist__tasa_feed_Carbon_kg_min,rec__tasa_feed_Carbon_kg_min,hist__tasa_gn_nm3_min,rec__tasa_gn_nm3_min,hist__tasa_o2_nm3_min,rec__tasa_o2_nm3_min,hist__tasa_aire_nm3_min,rec__tasa_aire_nm3_min,hist_derivada__exceso_o2_combustion_pct,rec_derivada__exceso_o2_combustion_pct,hist_derivada__relacion_C_Sn_carga,rec_derivada__relacion_C_Sn_carga,fold,es_lockbox
AP0001,Fusión,1,0.4919618516072251,27.9049,2918.17913431452,-1266.2644848273333,1180.1166727325062,2182.7892292609786,2182.7892292609786,,,1139.570480307466,1139.570480307466,0.1080596390870913,0.1080596390870913,-922.897996264366,-922.897996264366,0.0,-290.5729053732227,-290.5729053732227,-90.00767318484573,-90.00767318484573,-87.34767071544829,-87.34767071544829,-0.0,-0.0,-445.97018045645433,-445.97018045645433,35.0,35.0,281.3955697495145,281.3955697495145,1.4398610499979896e-18,1.4398610499979896e-18,52.79106810893172,52.79106810893172,3.8229928387160846e-26,3.8229928387160846e-26,0.0049450944630296,0.0049450944630296,42.152676250144005,42.152676250144005,28.051410117638472,28.051410117638472,25.18483443971664,25.18483443971664,33.75321956536709,33.75321956536709,122.91431625124008,122.91431625124008,18.256139663544435,18.256139663544435,0.1898868829222852,0.1898868829222852,0,False
AP0001,Fusión,2,0.5378642419023774,26.4467,3563.0781638393983,-1593.0206608305746,1228.978505608069,3156.2524692373854,3156.2524692373854,,,1190.3347369825722,1190.3347369825722,0.1934088047229444,0.1934088047229444,-850.1468159908113,-850.1468159908113,0.0,-174.11474119141792,-174.11474119141792,-153.8492543039814,-153.8492543039814,-109.88765632248924,-109.88765632248924,-0.0,-0.0,-403.2955976385278,-403.2955976385278,40.0,40.0,280.1401912702671,280.1401912702671,1.4398610499979896e-18,1.4398610499979896e-18,52.62579798170225,52.62579798170225,5.619336425831323e-25,5.619336425831323e-25,0.004260957723021,0.004260957723021,42.10558144158913,42.10558144158913,32.7754950873107,32.7754950873107,25.4588714006212,25.4588714006212,34.46505116780598,34.46505116780598,122.89922441270616,122.89922441270616,18.37502013738831,18.37502013738831,0.222796843532114,0.222796843532114,0,False
AP0001,Fusión,3,0.5662109737480954,25.1503,4753.790433426637,-1701.2954232192528,1220.8329049313163,4943.125217427854,4943.125217427854,,,1233.4438133292529,1233.4438133292529,0.277584425842376,0.277584425842376,-726.7493954723508,-726.7493954723508,0.0,54.124049063894006,54.124049063894006,-208.06361249249056,-208.06361249249056,-150.74087878108372,-150.74087878108372,-51.86159964946364,-51.86159964946364,-361.207787078812,-361.207787078812,45.0,45.0,296.02618815104165,296.02618815104165,1.4398610499979896e-18,1.4398610499979896e-18,55.56462057362423,55.56462057362423,1.2413309048907944e-24,1.2413309048907944e-24,0.003374278039226,0.003374278039226,44.49559538468071,44.49559538468071,44.65273057135983,44.65273057135983,25.593401655032316,25.593401655032316,34.93587280273437,34.93587280273437,122.74050350236304,122.74050350236304,18.60748203100468,18.60748203100468,0.2872949373300827,0.2872949373300827,0,False
AP0001,Fusión,4,0.6039363521428848,24.8466,6090.487007346102,-2104.011662638025,1208.1428044582235,5598.940341416241,5598.940341416241,,,1210.699455296353,1210.699455296353,0.1136822960658501,0.1136822960658501,-681.0028478367402,-681.0028478367402,0.0,104.43970672025236,104.43970672025236,-179.46010535058295,-179.46010535058295,-147.45114712127562,-147.45114712127562,-6.372883583664134,-6.372883583664134,-443.15885196707495,-443.15885196707495,50.0,50.0,250.5160085981025,250.5160085981025,1.4398610499979896e-18,1.4398610499979896e-18,42.6254441446392,42.6254441446392,0.0787161973913272,0.0787161973913272,0.0001759758566133,0.0001759758566133,37.42071487081683,37.42071487081683,38.876226895927786,38.876226895927786,23.490653489854605,23.490653489854605,30.04919929334853,30.04919929334853,123.16724500868057,123.16724500868057,19.01397457784716,19.01397457784716,0.3015136597628299,0.3015136597628299,0,False
AP0001,Fusión,5,0.6838729141987163,20.0003,6197.822652775436,-1459.6608115925835,1204.8229530896529,6276.157237557298,6276.157237557298,,,1196.7311739829092,1196.7311739829092,0.2351592989112777,0.2351592989112777,-588.4634707923657,-588.4634707923657,0.0,164.76787704257424,164.76787704257424,-161.8934704193473,-161.8934704193473,-199.9179603368366,-199.9179603368366,-0.0,-0.0,-382.4203505443612,-382.4203505443612,55.0,55.0,296.2493361700149,296.2493361700149,1.4398610499979896e-18,1.4398610499979896e-18,55.58101726713636,55.58101726713636,2.169643796107137e-27,2.169643796107137e-27,0.0023786948158106,0.0023786948158106,44.48128683907646,44.48128683907646,49.54491083054316,49.54491083054316,26.34371137522688,26.34371137522688,36.731512334033695,36.731512334033695,123.13378639914774,123.13378639914774,18.79420971927437,18.79420971927437,0.3185618222761185,0.3185618222761185,0,False
AP0001,Fusión,6,0.6935290344438897,20.9911,11871.047369050317,-2928.743384114987,1218.2317549476704,7669.745858166618,7669.745858166618,,,1193.8186147183185,1193.8186147183185,0.2002620508119967,0.2002620508119967,-555.7292102063363,-555.7292102063363,0.0,232.57779386316832,232.57779386316832,-158.23060995938428,-158.23060995938428,-221.20785298172385,-221.20785298172385,-0.0,-0.0,-399.8689745940016,-399.8689745940016,59.0,59.0,293.9505168090373,293.9505168090373,1.4398610499979896e-18,1.4398610499979896e-18,53.89619707938956,53.89619707938956,0.0499245758434809,0.0499245758434809,0.0084000205528214,0.0084000205528214,42.45147891875101,42.45147891875101,51.86790663890349,51.86790663890349,26.31291045765818,26.31291045765818,36.65029980831111,36.65029980831111,122.91776210455248,122.91776210455248,18.69274201115165,18.69274201115165,0.3377242546156641,0.3377242546156641,0,False
AP0001,Reducción,0,0.7393550287071186,17.9512,10449.158205489215,1042.960046369326,1228.5968346129157,11947.961997221526,11932.5190124645,1549.313251804793,1541.2990912002772,1225.162911700785,1224.653967676022,0.2637738478065095,0.2794982385737773,10184.414766171642,10187.136428148431,2.721661976789619,11947.961997221526,11932.5190124645,-929.5879510828756,-924.7794547201664,-124.9709119919817,-120.49484505403852,-110.42338410192816,-109.40549605240312,-368.11307609674526,-360.2508807131113,30.0,30.0,,,,,,,7.712614798515001e-21,7.712614798515001e-21,2.845300332410261e-06,2.845300332410261e-06,,,63.27719600282865,59.46515409180777,25.67613748055917,26.50339860045093,23.1553141841182,24.81351725307013,118.90712917751736,120.51577683083602,-6.283000416562713,-5.442635597132588,,,0,False
AP0001,Reducción,1,0.9480381542908518,4.2169,1661.5422931767675,270.1009378336548,1229.411981736617,1460.9790306962632,1442.5579837584685,1176.6080524656206,1149.612508417553,1223.297241171113,1222.8663795446498,0.2822073954646995,0.2832995838616078,-11.528108722826175,-9.70847056594232,1.8196381568838549,1460.9790306962632,1442.5579837584685,-705.9648314793724,-689.7675050505318,-70.5020548531296,-67.8665136386722,-106.69204304258484,-105.83031978965846,-358.89630226765024,-358.350208069196,25.0,25.0,,,,,,,1.2368056081289562e-08,1.2368056081289562e-08,3.246143692322738e-23,3.246143692322738e-23,,,37.86293647961739,36.38849212392532,24.165946777343752,23.17717219518127,20.195696682400172,19.9920773495184,119.80885416666668,119.78617460598966,-6.158123090955667,-2.6042227313591417,,,0,False
AP0001,Reducción,2,0.9813261293455022,1.5704,178.003453798802,629.9620069465891,1230.795367123941,381.82447614651215,372.8925590094392,829.9924521639338,786.0073007872959,1225.675228779303,1224.1682772675426,0.2961010743845136,0.2983484197830096,-843.2090464691624,-817.8490970978231,25.35994937133933,381.82447614651215,372.8925590094392,-497.99547129836026,-471.6043804723775,-33.18866247425382,-29.42546251459312,-111.44801825896502,-108.4341152354441,-351.9494628077432,-350.82579010849526,20.0,20.0,,,,,,,8.080525657587182e-24,8.080525657587182e-24,3.246143692322738e-23,3.246143692322738e-23,,,18.906451900421622,15.424363315090996,19.694319746229382,18.695862745700417,12.328093630472818,13.917907760409374,116.94646470811632,121.57874807465092,-6.3515478206869895,5.50314096940634,,,0,False
AP0001,Reducción,3,0.984892039715342,1.3076,,,1235.7334422125457,240.8072516361869,242.0763442178004,716.6945114932233,652.2310488432929,1230.374370881055,1228.780706698969,0.348666944196339,0.3280682819169916,-878.1206309675665,-848.541871568714,29.57875939885253,240.8072516361869,242.0763442178004,-430.016706895934,-391.33862930597576,-11.946437567167813,-15.202845564385385,-120.84630246246888,-117.65897409829677,-325.6665279018305,-335.96585904150425,15.0,15.0,,,,,,,8.080525657587182e-24,8.080525657587182e-24,3.246143692322738e-23,3.246143692322738e-23,,,4.354313337802887,8.643723596382584,17.021396597403065,16.078297945668893,6.807160633228444,9.89879194364963,118.99402542679398,120.56139098981632,-6.600184682535845,9.516206785425254,,,0,False
