fase,target,columna,forma,n_estado,n_palancas,n_dev,n_lockbox,r2_oof,mae_oof,r2_lockbox,mae_lockbox,std_target_lockbox
Fusión,sn_kg,sn_extraido_est_kg,PLM_v4,9,4,1743,374,0.7265947565390286,1002.8021773466174,0.7261117512416023,1049.5896230302335,2941.4128489334917
Fusión,sn_kg,sn_extraido_est_kg,HGB_v3_ref,13,0,1743,374,0.7239634216472339,1023.1842131570187,0.6652218328883345,1144.9597434504483,2941.4128489334917
Fusión,dT,d_temperatura_horno_celsius,PLM_v4,8,4,1479,314,0.47810355380923664,9.08537368269486,0.05866393844881035,6.973872084949808,9.183425574197875
Fusión,dT,d_temperatura_horno_celsius,HGB_v3_ref,15,0,1479,314,0.4689600930959953,9.230988622292331,0.01460007703528865,7.196618363714533,9.183425574197875
Reducción,sn_kg,sn_extraido_est_kg,PLM_v4,37,3,1049,238,0.9754994369129,343.66322228775743,0.983669052383787,333.37573254299036,4386.335899978652
Reducción,sn_kg,sn_extraido_est_kg,HGB_v3_ref,10,0,1049,238,0.9713215099641486,372.1914192944255,0.9827829830964875,358.63256993331083,4386.335899978652
Reducción,feo_kg,feo_extraido_est_kg,PLM_v4,37,5,1045,242,0.3574831088668692,544.0048385230765,0.37832840370409837,490.1916049775411,813.9698051758336
Reducción,feo_kg,feo_extraido_est_kg,HGB_v3_ref,11,0,1045,242,0.2883857135301756,565.6612076811014,0.32059238306493143,495.6161929577813,813.9698051758336
Reducción,dT,d_temperatura_horno_celsius,PLM_v4,6,4,1181,252,0.47374451395035133,9.15518885600671,0.42687169630811506,6.587372006049402,11.29939684249102
Reducción,dT,d_temperatura_horno_celsius,HGB_v3_ref,14,0,1181,252,0.4520760238513486,9.301665197293236,0.2942232956448185,7.2051674407782125,11.29939684249102
