target,version,columna,kpi,muestra,n,rho,p_rho,ci_low,ci_high,p_bh
sdi,multi,b6_sdi_multi,rendimiento_proxy_batch,dev,285,0.229612714935176,9.166310923106757e-05,0.11692315169765292,0.32913367316973663,0.00018332621846213514
sdi,multi,b6_sdi_multi,rendimiento_proxy_batch,lockbox,63,-0.053043394777265745,0.6796953500202638,-0.2814433714299311,0.1644406836193717,
sdi,multi,b6_sdi_multi,rendimiento_proxy_batch,total,348,0.1846179954538556,0.0005373472986863358,0.07902635168441219,0.27215632940110035,
sdi,multi,b6_sdi_multi,f_metal,dev,285,0.229612714935176,9.166310923106757e-05,0.11409101930013191,0.336619699135006,
sdi,multi,b6_sdi_multi,f_metal,lockbox,63,-0.053043394777265745,0.6796953500202638,-0.2774737384411169,0.17802972513173762,
sdi,multi,b6_sdi_multi,f_metal,total,348,0.1846179954538556,0.0005373472986863358,0.0890210252033374,0.2838204400087719,
sdi,multi,b6_sdi_multi,f_dross,dev,285,-0.1365362584043088,0.02112879267294884,-0.24523789576219804,-0.015353994443824468,
sdi,multi,b6_sdi_multi,f_dross,lockbox,63,-0.10359062980030723,0.4191268074362109,-0.3360547742926565,0.11647165776512386,
sdi,multi,b6_sdi_multi,f_dross,total,348,-0.12093040207722863,0.024064580744487352,-0.21408728106170657,-0.014456351065061462,
sdi,multi,b6_sdi_multi,f_polvo,dev,285,-0.13717594488535925,0.020526595680819822,-0.23720673382655824,-0.02199333868184166,
sdi,multi,b6_sdi_multi,f_polvo,lockbox,63,0.14732142857142858,0.24923403262600752,-0.15316359007241634,0.3980290630792003,
sdi,multi,b6_sdi_multi,f_polvo,total,348,-0.09116463130415915,0.08949399229163056,-0.1956131957077855,0.01258763888636006,
sdi,multi,b6_sdi_multi,recuperacion_real_pct,dev,285,0.12595343870362402,0.033547796641607786,0.021864761673577517,0.23878134182977145,
sdi,multi,b6_sdi_multi,recuperacion_real_pct,lockbox,63,0.1876920122887865,0.14073664962082022,-0.006063813592850921,0.40716164122651044,
sdi,multi,b6_sdi_multi,recuperacion_real_pct,total,348,0.13358249902405672,0.01262516180763322,0.019413217222300206,0.23016238514970877,
sdi,single,st_R22_sdi,rendimiento_proxy_batch,dev,286,0.31902295393951363,3.461131920085165e-08,0.20098258972965263,0.4092848338488308,2.0106861514941997e-07
sdi,single,st_R22_sdi,rendimiento_proxy_batch,lockbox,63,0.09379800307219663,0.4646543359147226,-0.12503005870748743,0.29206979330178684,
sdi,single,st_R22_sdi,rendimiento_proxy_batch,total,349,0.27981481220094007,1.065610557184924e-07,0.18082269980466675,0.37104667538551733,
sdi,single,st_R22_sdi,f_metal,dev,286,0.31902295393951363,3.461131920085165e-08,0.2080929676018884,0.427617084279362,
sdi,single,st_R22_sdi,f_metal,lockbox,63,0.09379800307219663,0.4646543359147226,-0.15621965199462587,0.309692232792012,
sdi,single,st_R22_sdi,f_metal,total,349,0.27981481220094007,1.065610557184924e-07,0.1727696640886989,0.37428726883947994,
sdi,single,st_R22_sdi,f_dross,dev,286,-0.19620097489160387,0.0008498989474957023,-0.29922862950276435,-0.08252453005151504,
sdi,single,st_R22_sdi,f_dross,lockbox,63,-0.11880760368663595,0.353712233947324,-0.32537335475720014,0.11357490976486259,
sdi,single,st_R22_sdi,f_dross,total,349,-0.1765545471226728,0.0009245378815717761,-0.274872453407231,-0.07056322798285278,
sdi,single,st_R22_sdi,f_polvo,dev,286,-0.18231601517865959,0.001963309914991223,-0.29260215780048665,-0.0744536270369005,
sdi,single,st_R22_sdi,f_polvo,lockbox,63,-0.04085061443932411,0.7505748251422777,-0.31501206470289334,0.19937325610426926,
sdi,single,st_R22_sdi,f_polvo,total,349,-0.1567462277866388,0.0033255514383424773,-0.2527371825177587,-0.06408373384198052,
sdi,single,st_R22_sdi,recuperacion_real_pct,dev,286,0.12307153693546505,0.037513830791437545,0.0009629562602252184,0.23560385659101316,
sdi,single,st_R22_sdi,recuperacion_real_pct,lockbox,63,0.2728494623655914,0.030499537268235375,0.045793472971167336,0.5103428938031225,
sdi,single,st_R22_sdi,recuperacion_real_pct,total,349,0.1447719734074837,0.006745640102325103,0.044172322537972035,0.26627897084708124,
ln_feo_ret,multi,b6_ln_feo_ret_multi,rendimiento_proxy_batch,dev,285,0.19362387056975638,0.0010179138450196466,0.08902441364367553,0.30086051888138177,0.0016286621520314344
ln_feo_ret,multi,b6_ln_feo_ret_multi,rendimiento_proxy_batch,lockbox,63,-0.1671466973886329,0.19041517493435195,-0.3902435797035664,0.0438045325476664,
ln_feo_ret,multi,b6_ln_feo_ret_multi,rendimiento_proxy_batch,total,348,0.13299024170647555,0.013027616022071645,0.040102995629371536,0.23065982648198777,
ln_feo_ret,multi,b6_ln_feo_ret_multi,f_metal,dev,285,0.19362387056975638,0.0010179138450196466,0.08537181148629269,0.2893775719089993,
ln_feo_ret,multi,b6_ln_feo_ret_multi,f_metal,lockbox,63,-0.1671466973886329,0.19041517493435195,-0.3903806482255724,0.04584104496617684,
ln_feo_ret,multi,b6_ln_feo_ret_multi,f_metal,total,348,0.13299024170647555,0.013027616022071645,0.03721855500119117,0.22523999826506078,
ln_feo_ret,multi,b6_ln_feo_ret_multi,f_dross,dev,285,-0.0994313321963433,0.09386144769388172,-0.20551506387499313,0.02379142219150331,
ln_feo_ret,multi,b6_ln_feo_ret_multi,f_dross,lockbox,63,0.018001152073732717,0.888636402129875,-0.2088675144572944,0.26972524119135943,
ln_feo_ret,multi,b6_ln_feo_ret_multi,f_dross,total,348,-0.07096438568821581,0.18659271415017092,-0.17826608695856533,0.032547165121386425,
ln_feo_ret,multi,b6_ln_feo_ret_multi,f_polvo,dev,285,-0.1369618520841649,0.02072646243227531,-0.2500665570052502,-0.024433056316664942,
ln_feo_ret,multi,b6_ln_feo_ret_multi,f_polvo,lockbox,63,0.1341205837173579,0.2946499195355556,-0.07809937123227502,0.3772560804919005,
ln_feo_ret,multi,b6_ln_feo_ret_multi,f_polvo,total,348,-0.09119652208279812,0.08938148089895644,-0.19322109030343285,0.009862770025219214,
ln_feo_ret,multi,b6_ln_feo_ret_multi,recuperacion_real_pct,dev,285,0.07458879149019994,0.20932662075172917,-0.03670463335425802,0.19882976405600528,
ln_feo_ret,multi,b6_ln_feo_ret_multi,recuperacion_real_pct,lockbox,63,0.0636520737327189,0.6201705260103487,-0.1857795174604973,0.2655154260911186,
ln_feo_ret,multi,b6_ln_feo_ret_multi,recuperacion_real_pct,total,348,0.07214434449785832,0.17935508701212072,-0.023476734373866274,0.17291870379460964,
