fase,target,n_estado,n_palancas,n_dev,n_lockbox,r2_oof_dev,r2_lockbox,mae_lockbox,std_target_lockbox,variante,rol
Reducción,feo_extraido_est_kg,37,5,1045,242,0.3671148635258227,0.37832840370409837,490.1916049775411,813.9698051758336,a,feo
Reducción,feo_extraido_est_kg,37,4,1045,242,0.36801426452661357,0.376817267384714,492.0280414611441,813.9698051758336,b,feo
Reducción,feo_extraido_est_kg,37,6,1045,242,0.3672160297292366,0.3785976802769929,490.64676430849886,813.9698051758336,c,feo
Reducción,feo_extraido_est_kg,39,5,1045,242,0.3665903458858564,0.35833948445118813,500.57454357233814,813.9698051758336,d,feo
Reducción,feo_extraido_est_kg,39,4,1045,242,0.36759495125216035,0.35796754716386503,502.1319250386878,813.9698051758336,e,feo
Reducción,b6_feo_extraido_multi_kg,37,5,758,179,-0.03401183525564244,-1.0435337394201434,638.8114093654596,634.1367702497197,a,feo
Reducción,b6_feo_extraido_multi_kg,37,4,758,179,-0.03519670581447798,-1.034686042340113,638.1590707713099,634.1367702497197,b,feo
Reducción,b6_feo_extraido_multi_kg,37,6,758,179,-0.03381734622559218,-1.046112943764765,638.568529964698,634.1367702497197,c,feo
Reducción,b6_feo_extraido_multi_kg,39,5,758,179,-0.031370835395008845,-1.1186923686245134,642.7034399155249,634.1367702497197,d,feo
Reducción,b6_feo_extraido_multi_kg,39,4,758,179,-0.0319426265126137,-1.1030228640857107,640.8463277658733,634.1367702497197,e,feo
Reducción,sn_extraido_est_kg,37,3,1049,238,0.9756791643977614,0.983669052383787,333.37573254299036,4386.335899978652,a,sn
Reducción,sn_extraido_est_kg,37,3,1049,238,0.9753509559723723,0.9837667821795868,332.9643484666862,4386.335899978652,b,sn
Reducción,sn_extraido_est_kg,37,4,1049,238,0.9756983043432924,0.9836816725536269,333.13942874651434,4386.335899978652,c,sn
Reducción,sn_extraido_est_kg,39,3,1049,238,0.9765151803399978,0.9827721587311127,340.8942283621785,4386.335899978652,d,sn
Reducción,sn_extraido_est_kg,39,3,1049,238,0.976160005552899,0.9828439389984662,341.41385340318976,4386.335899978652,e,sn
Reducción,st_R22_sdi,37,5,1015,242,0.13140568949613185,0.14309591413031608,0.4654311043287781,0.6692777110269599,a,sdi
Reducción,st_R22_sdi,37,4,1015,242,0.1310115614187396,0.16542686392290296,0.460315271480883,0.6692777110269599,b,sdi
Reducción,st_R22_sdi,37,6,1015,242,0.1319620708017013,0.13247329557714205,0.4668956995817083,0.6692777110269599,c,sdi
Reducción,st_R22_sdi,39,5,1015,242,0.13197966522184557,0.07693499375823687,0.48842257971394104,0.6692777110269599,d,sdi
Reducción,st_R22_sdi,39,4,1015,242,0.13060351782834467,0.09657670937908991,0.4841378595314917,0.6692777110269599,e,sdi
Reducción,b6_sdi_multi,37,5,727,179,0.02159157051928029,-0.3979117097659226,0.5404370314848854,0.5985193011071275,a,sdi
Reducción,b6_sdi_multi,37,4,727,179,0.02144557154496074,-0.4030225936038654,0.5423928614069765,0.5985193011071275,b,sdi
Reducción,b6_sdi_multi,37,6,727,179,0.021719113646817,-0.39771775817880517,0.5404993095438262,0.5985193011071275,c,sdi
Reducción,b6_sdi_multi,39,5,727,179,0.023665381633127813,-0.3701092281999949,0.5370724904892048,0.5985193011071275,d,sdi
Reducción,b6_sdi_multi,39,4,727,179,0.02384403895298748,-0.3785953984368704,0.5383450863583428,0.5985193011071275,e,sdi
