fase,orden_escalon_fase,aparente,variable,n,spearman,p_spearman,pearson,p_pearson
Fusión,todos,raw,b6_q_reaccion_trazador_MJ,1749,-0.25326786352113406,5.302008788115398e-27,-0.16405016255664684,5.1038166023615465e-12
Fusión,1,raw,b6_q_reaccion_trazador_MJ,293,-0.15093539402763773,0.009670509828632686,,
Fusión,2,raw,b6_q_reaccion_trazador_MJ,295,-0.13033271943683566,0.025182549505857372,,
Fusión,3,raw,b6_q_reaccion_trazador_MJ,294,-0.1502488008566069,0.009882410328422393,,
Fusión,4,raw,b6_q_reaccion_trazador_MJ,296,-0.1244983041593211,0.032255968302959556,,
Fusión,5,raw,b6_q_reaccion_trazador_MJ,290,-0.04054408781768286,0.49161537649085035,,
Fusión,6,raw,b6_q_reaccion_trazador_MJ,281,0.02561898992958279,0.6689362306693171,,
Fusión,todos,raw,sn_extraido_est_kg,1749,-0.26992719175820074,1.4045407862864698e-30,-0.16868258293739696,1.2441871108401285e-12
Fusión,1,raw,sn_extraido_est_kg,293,-0.24369287665508022,2.4727805855383775e-05,,
Fusión,2,raw,sn_extraido_est_kg,295,-0.19065552927538404,0.0009984903972195952,,
Fusión,3,raw,sn_extraido_est_kg,294,-0.2027195143690611,0.00046965588342036597,,
Fusión,4,raw,sn_extraido_est_kg,296,-0.17245473516659954,0.002912703279053603,,
Fusión,5,raw,sn_extraido_est_kg,290,-0.05822325166029691,0.32312206321688164,,
Fusión,6,raw,sn_extraido_est_kg,281,0.010569070514553969,0.8599914153887639,,
Fusión,todos,raw,feo_extraido_est_kg,1749,0.04576695149761943,0.05566409799004963,-0.021695744977398547,0.36451425031372253
Fusión,1,raw,feo_extraido_est_kg,292,-0.2768915325490075,1.5435444694795892e-06,,
Fusión,2,raw,feo_extraido_est_kg,293,-0.03546167637189057,0.5454437383694878,,
Fusión,3,raw,feo_extraido_est_kg,291,-0.040911326570862286,0.48694106947679,,
Fusión,4,raw,feo_extraido_est_kg,296,-0.0015019642138286203,0.9794715416084012,,
Fusión,5,raw,feo_extraido_est_kg,291,0.10245922794851692,0.08100303719429236,,
Fusión,6,raw,feo_extraido_est_kg,286,-0.11625627261057297,0.04951542193952708,,
Fusión,todos,raw,b6_feo_extraido_multi_kg,0,,,,
Reducción,todos,raw,b6_q_reaccion_trazador_MJ,1076,0.20557252510028334,9.876919514560543e-12,0.09835310932738041,0.0012365751327504675
Reducción,0,raw,b6_q_reaccion_trazador_MJ,292,0.07413291252416576,0.20655725127636596,,
Reducción,1,raw,b6_q_reaccion_trazador_MJ,293,0.18903669242077834,0.0011487102683256187,,
Reducción,2,raw,b6_q_reaccion_trazador_MJ,290,0.0709634056862055,0.22829465008037217,,
Reducción,3,raw,b6_q_reaccion_trazador_MJ,201,0.04444419815168921,0.5309968030999976,,
Reducción,todos,raw,sn_extraido_est_kg,1076,0.2477296545041087,1.644010064172766e-16,0.08489311088659963,0.005328131150815614
Reducción,0,raw,sn_extraido_est_kg,292,0.031134126656297462,0.5962043675558727,,
Reducción,1,raw,sn_extraido_est_kg,293,0.09910062486820902,0.0904081212503127,,
Reducción,2,raw,sn_extraido_est_kg,290,0.046497170207034325,0.43021416384835653,,
Reducción,3,raw,sn_extraido_est_kg,201,0.0068893157972513665,0.9226748582939874,,
Reducción,todos,raw,feo_extraido_est_kg,1071,0.12800692602330374,2.650632122598528e-05,0.11402077038192568,0.00018453148416422194
Reducción,0,raw,feo_extraido_est_kg,289,0.2919510400509088,4.3686158611460874e-07,,
Reducción,1,raw,feo_extraido_est_kg,292,0.2571232057329787,8.590298132562848e-06,,
