fase,variante,palanca,theta_unidad,ci_lo,ci_hi,sd_palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda
Fusión,a_PLM_v4,tasa_gn_nm3_min,-0.04300322733886589,-1.154070746613619,0.8239301834321122,1.4912350039331133,-0.06412791788981025,-1.7209906943654512,1.2286735303309966,False,1,False
Fusión,a_PLM_v4,tasa_o2_nm3_min,-0.33651036667815315,-0.7589661980576878,0.19842502515953778,3.333177422863195,-1.1216487567710354,-2.5297689960822014,0.6613858139928328,False,0,
Fusión,a_PLM_v4,tasa_aire_nm3_min,0.13512522873810476,-0.13715093525458688,0.41396665790457066,5.436636278274587,0.7346267206677322,-0.7456397502043761,2.2505861503600744,False,-1,False
Fusión,a_PLM_v4,tasa_feed_Carbon_kg_min,-0.0154681698879343,-0.16325919470720068,0.12953641543115416,7.185600688580564,-0.11114809219782185,-1.1731153819051696,0.9307969559183593,False,0,
Fusión,b_PLM_v4_termicas,tasa_gn_nm3_min,0.21143954901043044,-0.9411630373068898,1.2199958927420211,1.4245055862399763,0.3011968187174194,-1.3406920042062476,1.737890964400836,False,1,True
Fusión,b_PLM_v4_termicas,tasa_o2_nm3_min,-0.3686801244024155,-1.0557766207693196,0.16385381960149878,3.0833572689319855,-1.1367725414869365,-3.2553365180175295,0.5052198657105516,False,0,
Fusión,b_PLM_v4_termicas,tasa_aire_nm3_min,-0.04329562606429017,-0.3207973036216711,0.239906304983207,5.480102346837876,-0.23726446200273166,-1.7580020564363825,1.314711104959676,False,-1,True
Fusión,b_PLM_v4_termicas,tasa_feed_Carbon_kg_min,-0.08138987196053603,-0.2747167279601208,0.20129944562596833,7.155671342898332,-0.5823991743901721,-1.9657826176790334,1.4404326744070626,False,0,
Fusión,b_PLM_v4_termicas,b6_dT_teorico_sin_reaccion,-0.02356573986247353,-0.03903804875495664,-0.006959036940695393,142.5221259472079,-3.3586393447185903,-5.5637857013871725,-0.9918167393330612,True,1,False
Fusión,b_PLM_v4_termicas,b6_q_neto_por_min_MJ,0.016772306413080515,-0.025908477351750978,0.09536870593579105,73.81838373131141,1.238104550859913,-1.9125219230455446,7.039963730726821,False,1,True
Fusión,b_PLM_v4_termicas,b6_q_gases_MJ,-0.0001651631649372265,-0.00048431892090163427,0.00030972034115065095,5589.287882297752,-0.9231444763855849,-2.7069978757630277,1.7311161496944591,False,-1,True
Fusión,b_PLM_v4_termicas,b6_margen_termico_MJ,-2.0879744207003004e-05,-0.0001683587457545134,0.0001450979738820621,15513.122194384558,-0.3239100232707307,-2.6117697953830885,2.2509225989900488,False,1,False
Reducción,a_PLM_v4,tasa_gn_nm3_min,0.45585976684752655,0.05849127528399303,0.8698182697735466,5.000946414336985,2.279730266456632,0.29251173340148245,4.349914557348818,True,1,True
Reducción,a_PLM_v4,tasa_o2_nm3_min,-0.4186467188917882,-0.7319191899613463,-0.09100797690558679,8.78522632200191,-3.677906174427872,-6.430075733226735,-0.799525674223103,True,0,
Reducción,a_PLM_v4,tasa_aire_nm3_min,-0.04074432718594212,-0.12300507861497195,0.04474569324928274,10.132722009522976,-0.412850940840201,-1.2463762673650303,0.4533956708183709,False,-1,True
Reducción,a_PLM_v4,tasa_feed_Carbon_kg_min,0.08558716510699724,-0.027820664534698676,0.22375179516284105,21.999766137066832,1.8828976166884657,-0.6120481135411601,4.9224871663313845,False,0,
Reducción,b_PLM_v4_termicas,tasa_gn_nm3_min,0.7945635079419514,0.2538373245943212,1.2492434048743215,5.01827705618867,3.9873398215898788,1.273826022015998,6.269049516275821,True,1,True
Reducción,b_PLM_v4_termicas,tasa_o2_nm3_min,-0.0346897930908984,-0.38330019061205406,0.35982292544483907,8.825939725147746,-0.30617002289811607,-3.3829843789796312,3.175775451702481,False,0,
Reducción,b_PLM_v4_termicas,tasa_aire_nm3_min,-0.001739055884871012,-0.08124149325685816,0.07674463263077179,10.336515281702164,-0.017975777729703296,-0.8397539365578177,0.7932720679765911,False,-1,True
Reducción,b_PLM_v4_termicas,tasa_feed_Carbon_kg_min,-0.09495851111750538,-0.2625800454531677,0.06488712665374205,22.076540088312438,-2.0963553774120696,-5.796858899837759,1.4324832527867428,False,0,
Reducción,b_PLM_v4_termicas,b6_dT_teorico_sin_reaccion,-0.0743638477576629,-0.17064961399217937,0.0024112273927555136,38.864728914842004,-2.8901307841661503,-6.63225098722848,0.0937116989714843,False,1,False
Reducción,b_PLM_v4_termicas,b6_q_neto_por_min_MJ,-0.016390266454175233,-0.05027160452980675,0.025595953253257232,95.16004190567877,-1.5596984426245561,-4.783847993722121,2.435711984195753,False,1,False
Reducción,b_PLM_v4_termicas,b6_q_gases_MJ,0.00037613346984275223,-0.0007943287392083936,0.0012569670969668422,3578.4323028532162,1.3459681586695706,-2.8424516194679836,4.497971663409779,False,-1,False
Reducción,b_PLM_v4_termicas,b6_margen_termico_MJ,8.718471018358959e-05,-0.00015812137626155997,0.00033305992117831746,13523.756029434873,1.1790647500198517,-2.138394915599812,4.504221117198375,False,1,True
