columna,n,mediana,p5,p25,p75,p95,media,sd
carga_solida_kg,362,141754.16537567077,124859.74871333096,137851.98201615544,144662.83354348334,148369.30208346655,140096.63036064245,7628.60918396327
feed_sn_kg,362,51246.884992879364,45126.1658182789,49654.91103686599,53128.26134714993,55388.186872971964,51061.02622244777,3088.863842098511
carbon_kg,362,16520.883921212237,15404.721705995906,16071.100456378645,17161.638971078115,18254.451831401853,16655.41145146939,860.4036542512505
cal_kg,362,12298.128332255415,10230.303736200725,11658.573676139145,12834.877189157614,13538.259676958367,11894.300239793427,2405.337527421916
dross_fe_in_kg,362,19613.899666318423,16354.694278576751,18435.283034863794,22702.266324087796,25602.227675603906,19935.684556521308,4469.042930321221
mineral_fe_kg,362,14421.779318313675,7.181268408282419,12404.754672615838,16892.145694167943,21551.586863269844,13943.736333581135,5235.525885322254
pellets_kg,362,30202.965795510536,23409.049998566898,25491.222845050514,32945.59671314677,37148.82944347904,29265.10163126744,6279.541884000744
sn_metal_kg,362,35458.36,30470.944,33349.89,37398.270000000004,40471.452,35460.83165745856,3101.3223752554086
sn_dross_kg,362,6301.56,3426.248,5007.179999999999,7891.74,10022.112,6475.608066298343,2055.0906706829524
sn_polvo_kg,362,9048.544524,6550.218732600001,7942.491472000001,10361.907628,13066.524895999999,9309.532539596687,2003.5644189149386
masa_escoria_balance_kg,362,57917.39331859289,46338.624783778934,53538.881799203526,62583.47429611549,67727.96181530927,57740.83246039986,7285.434273722914
masa_escoria_trazador_kg,362,53494.619717113244,44167.151770810466,51566.9957712756,56019.98351851101,60680.84868699917,52726.01478469211,13406.754138110571
factor_escala_trazador,350,1.0828914835910668,0.852481053507411,1.0049518697879272,1.1486919168394976,1.2728791558076789,1.0726038047214363,0.14044897601914172
ley_sn_escoria_final_pct,362,1.18905,0.6386850000000001,0.9490999999999999,1.51295,2.2193249999999995,1.3207309392265194,0.7375225844205838
ley_feo_escoria_final_pct,362,17.653078764437282,15.322378098307816,16.413803534783774,18.68236676336288,20.221149587966693,17.64394824360441,1.710695278636107
sn_escoria_final_balance_kg,362,688.6772281100997,355.55404258611065,536.0432162424156,884.5602452312463,1380.721262773867,761.8781269138411,418.6595103537227
sn_escoria_final_trazador_kg,362,637.8200752630557,273.51443145805223,505.1877832084165,812.333993226205,1250.6162889276363,701.0522275574178,444.91168756491834
cierre_sn_kg,362,-645.5526072519563,-6433.054233488464,-3039.4971282295487,1267.4035277171981,3760.523462506848,-946.8241678196657,3370.976439911108
cierre_sn_frac,362,-0.012807218625544098,-0.13282803255261771,-0.05628006221194866,0.024597500710606526,0.07755856971937665,-0.019423663319506644,0.06598865878197321
rendimiento_proxy_batch,362,69.59401179280351,61.28654173646408,66.70575332370245,72.34183518255955,76.9240168764821,69.3017087262218,4.5845502493381325
f_metal,362,0.6959401179280351,0.6128654173646408,0.6670575332370245,0.7234183518255954,0.769240168764821,0.6930170872622179,0.045845502493381325
f_dross,362,0.12281636484628425,0.0697652145082523,0.09898466042334177,0.15084266278032124,0.1905040989286547,0.1259356754665347,0.037375835693871
f_polvo,362,0.17847619799128217,0.13412839299483095,0.15870315077914504,0.1996911210052941,0.23900715256997968,0.18104723727124739,0.032282591770814675
recuperacion_real_pct,362,69.59568720768243,60.7988101905934,66.5742795472703,72.66126792899314,77.56131819752817,69.50394733650309,5.18679339710984
recuperacion_refinada_pct,362,68.39797090174935,60.21073942300875,65.7130913970409,71.31215939764216,75.57645808913028,68.2799285835411,4.497700999883155
sn_perdido_escoria_frac,362,0.013416658461220879,0.0068732349358937815,0.010276782381465205,0.017317205959047843,0.02766866095717893,0.01469771088508246,0.007501184408464863
duracion_reduccion_min,362,86.0,85.0,85.0,90.0,98.0,88.62707182320442,8.084158219425868
