oxido,tolva,columna_tolva,a_kg_por_kg,en_cota_inf,en_cota_sup
cao,t1_conc,feed_conc_t1_kgh,0.47150202167456595,False,False
sio2,t1_conc,feed_conc_t1_kgh,0.9999999999999999,False,True
al2o3,t1_conc,feed_conc_t1_kgh,0.2793019828138417,False,False
mgo,t1_conc,feed_conc_t1_kgh,0.056337094288616454,False,False
cao,t3_reciclo,feed_reciclo_t3_kgh,0.6669008439158272,False,False
sio2,t3_reciclo,feed_reciclo_t3_kgh,0.9999999999999999,False,True
al2o3,t3_reciclo,feed_reciclo_t3_kgh,0.4403879865235108,False,False
mgo,t3_reciclo,feed_reciclo_t3_kgh,0.05200062481512803,False,False
cao,t4_fe,feed_Fe_kgh,6.801583168273047e-24,True,False
sio2,t4_fe,feed_Fe_kgh,0.5720242968476617,False,False
al2o3,t4_fe,feed_Fe_kgh,0.2284851491031385,False,False
mgo,t4_fe,feed_Fe_kgh,0.020156372345138972,False,False
cao,t5_dross,feed_dross_Fe_kgh,0.6561737247441978,False,False
sio2,t5_dross,feed_dross_Fe_kgh,0.9999999999999999,False,True
al2o3,t5_dross,feed_dross_Fe_kgh,0.39299750438505315,False,False
mgo,t5_dross,feed_dross_Fe_kgh,0.10273659925172844,False,False
cao,t7_pellets,feed_pellets_t7_kgh,0.39006838835763613,False,False
sio2,t7_pellets,feed_pellets_t7_kgh,0.9999999999999999,False,True
al2o3,t7_pellets,feed_pellets_t7_kgh,0.3008487665003272,False,False
mgo,t7_pellets,feed_pellets_t7_kgh,0.026207715561670564,False,False
cao,t6_cal,feed_CaO_kgh,0.7000000000000001,True,False
sio2,carbon,feed_Carbon_kgh,1.0596720078555966e-17,True,False
al2o3,carbon,feed_Carbon_kgh,1.1962749882184412e-20,True,False
