fold,par,n,r2_modelo,r2_trivial,rho,p
0,sio2/cao,776,-0.033262911810132634,0.0,0.06102281065940111,0.08936783275688996
0,al2o3/cao,776,0.014990166755610157,0.0,0.16452629046550882,4.08097632602489e-06
0,mgo/cao,776,-0.0013774337691212502,0.0,0.35778990603725336,7.539180234334788e-25
1,sio2/cao,770,-0.02876312505387868,0.0,0.046779993389951716,0.19473676724472014
1,al2o3/cao,770,0.03303660646007334,0.0,0.19742464525153827,3.3161718022116e-08
1,mgo/cao,770,-0.003327948663610636,0.0,0.3754200722204463,3.517275897342896e-27
2,sio2/cao,768,-0.07661345116987839,0.0,-0.07982879289372594,0.026952272576188985
2,al2o3/cao,768,-0.10344772011641878,0.0,0.01143820529767463,0.7516390503721385
2,mgo/cao,768,-0.0023712845735195387,0.0,0.25436282461552345,8.327914446385058e-13
3,sio2/cao,768,-0.0549126335706378,0.0,0.05049900962076256,0.1620883823734526
3,al2o3/cao,768,-0.018996691341178762,0.0,0.17256610562853847,1.5045018602959969e-06
3,mgo/cao,768,0.027100866183898065,0.0,0.2871091693972344,4.853635214290121e-16
4,sio2/cao,768,-0.03321382290871244,0.0,-0.0019275780883405186,0.9574676622575801
4,al2o3/cao,768,0.00924176614426564,0.0,0.1353992801520197,0.00016753344087228327
4,mgo/cao,768,0.0049768303705164385,0.0,0.26080844010769777,2.0819530167632844e-13
