,media,sd,min,max,lower_bound,upper_bound,en_cota_inf,en_cota_sup
a_cao_t1_conc,0.4715020316252982,9.63855857021082e-09,0.47150202167456595,0.47150204347154573,0.0,1.0,False,False
a_sio2_t1_conc,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,0.0,1.0,False,True
a_al2o3_t1_conc,0.2793019901541856,7.576962955034514e-09,0.2793019828138417,0.27930200215674583,0.0,1.0,False,False
a_mgo_t1_conc,0.056337095018970856,6.32230596390884e-10,0.056337094288616454,0.05633709581339435,0.0,1.0,False,False
a_cao_t3_reciclo,0.6669009046655839,6.445228754125568e-08,0.6669008281211578,0.6669010017509408,0.0,1.0,False,False
a_sio2_t3_reciclo,0.9999999999999999,9.930136612989092e-17,0.9999999999999997,0.9999999999999999,0.0,1.0,False,True
a_al2o3_t3_reciclo,0.4403880221629728,3.64905689100205e-08,0.4403879775692494,0.44038807289777454,0.0,1.0,False,False
a_mgo_t3_reciclo,0.052000627968845026,3.4565411801910126e-09,0.05200062355734898,0.052000632275706005,0.0,1.0,False,False
a_cao_t4_fe,8.828226291290389e-13,2.162464629300606e-12,8.579584513264877e-27,5.29693506963172e-12,0.0,1.0,True,False
a_sio2_t4_fe,0.5720244093893926,1.3862245518246807e-07,0.5720242608032838,0.572024629456782,0.0,1.0,False,False
a_al2o3_t4_fe,0.22848514073748447,9.42443413359004e-09,0.22848512449707004,0.2284851499895315,0.0,1.0,False,False
a_mgo_t4_fe,0.02015637232962748,8.126526581921225e-10,0.02015637153513592,0.020156373887407368,0.0,1.0,False,False
a_cao_t5_dross,0.6561736361237371,9.04877650261826e-08,0.6561734906383481,0.6561737320270518,0.0,1.0,False,False
a_sio2_t5_dross,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,0.0,1.0,False,True
a_al2o3_t5_dross,0.39299744745496756,5.5383062062224027e-08,0.3929973674110189,0.3929975119784377,0.0,1.0,False,False
a_mgo_t5_dross,0.10273658606177664,1.768850719902817e-08,0.10273655239801455,0.10273660116017307,0.0,1.0,False,False
a_cao_t7_pellets,0.39006845387357786,7.119429435348681e-08,0.3900683769422102,0.390068570857487,0.0,1.0,False,False
a_sio2_t7_pellets,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,0.0,1.0,False,True
a_al2o3_t7_pellets,0.30084882570024,6.265648737443538e-08,0.3008487542085779,0.3008489238893927,0.0,1.0,False,False
a_mgo_t7_pellets,0.026207725958316646,1.4185810213365726e-08,0.026207713268185998,0.026207752778044286,0.0,1.0,False,False
a_cao_t6_cal,0.7000000000000001,0.0,0.7000000000000001,0.7000000000000001,0.7,1.0,True,False
a_sio2_carbon,2.8156270581449314e-15,4.481259028930311e-15,4.791176904436059e-18,1.0289905036403354e-14,0.0,1.0,True,False
a_al2o3_carbon,2.801274722028796e-16,6.855221046721767e-16,3.182288458512094e-25,1.6794432039207757e-15,0.0,1.0,True,False
H_cao,5524.436892448527,0.00012693300055700152,5524.436746031991,5524.437045495404,0.0,10000.0,False,False
H_sio2,9999.999990017985,1.5644155227561458e-05,9999.99995956788,9999.999999981606,0.0,10000.0,False,True
H_al2o3,3303.864688056698,0.0003014958927652391,3303.864201464176,3303.8649873303707,0.0,10000.0,False,False
H_mgo,456.7884980436789,9.333005244071287e-06,456.7884823503053,456.7885090530979,0.0,10000.0,False,False
