target,rho_dev_refinado,rho_dev_proxy,delta
st_R22_sdi,0.3166597202540719,0.31902295393951363,-0.0023632336854417235
st_R23_lnirf_R,0.2971681892662342,0.3042149446701533,-0.007046755403919136
st_F10_irf_next,0.20701935291955717,0.1946100134019597,0.012409339517597456
st_F01_sn_ext,0.03900806906351114,0.0632000687442765,-0.02419199968076536
st_R21_ln_feo_ret,0.28576789064593944,0.3154044928114248,-0.02963660216548536
st_R02_feo_ret,0.2556478076612305,0.2740171532117841,-0.018369345550553584
st_F16_sn_ret_frac,0.027291160352146637,0.06253938001822448,-0.03524821966607784
st_F05_ley_feo_next,0.14423513812796424,0.12069044481547726,0.023544693312486972
b6_sdi_multi_batch,0.2296353041156486,0.23414003461605407,-0.004504730500405479
b6_feo_extraido_multi_neg,0.13034815496264532,0.15095510212510502,-0.0206069471624597
