target,kpi,muestra,n,rho,p_rho,r,p_r,ci_low,ci_high,signo_esperado,signo_ok,p_bh,significativo_bh
st_R22_sdi,recuperacion_refinada_pct,dev,286,0.3166597202540719,4.418834965238516e-08,0.31712696822869785,4.2111917794346085e-08,0.20548853175753606,0.4270305372926358,1,True,4.4188349652385156e-07,True
st_R22_sdi,recuperacion_refinada_pct,lockbox,63,0.0865015360983103,0.5002470828007702,0.1928550030400317,0.12993920149854016,-0.15175674764138816,0.28916070792262594,1,True,,
st_R22_sdi,recuperacion_refinada_pct,total,349,0.2771883071971996,1.4155901103037274e-07,0.29415301989858805,2.1448983234264802e-08,0.17962962179249342,0.37432764546156205,1,True,,
st_R22_sdi,sn_perdido_escoria_frac,dev,286,0.06878282179950986,0.24625141200105394,0.05290540813717205,0.3727050976731841,-0.05838101438623081,0.1698252845475941,-1,False,0.27361268000117106,False
st_R22_sdi,sn_perdido_escoria_frac,lockbox,63,0.05798771121351767,0.6516820958245279,-0.19825895746595543,0.11932194963824796,-0.20120663400695424,0.33631537875969997,-1,False,,
st_R22_sdi,sn_perdido_escoria_frac,total,349,0.06752353663528449,0.20826345782665062,-0.00346433993579736,0.9485822836035142,-0.034574072742483884,0.16738529734778657,-1,False,,
st_R22_sdi,rendimiento_proxy_batch,dev,286,0.31902295393951363,3.461131920085165e-08,0.31802639203606836,3.837669170897609e-08,0.19822983173632272,0.42345156475707474,1,True,2.5133576893677495e-07,True
st_R22_sdi,rendimiento_proxy_batch,lockbox,63,0.09379800307219663,0.4646543359147226,0.1701976163687967,0.18233388148001853,-0.12817663473709587,0.3124897209098516,1,True,,
st_R22_sdi,rendimiento_proxy_batch,total,349,0.27981481220094007,1.065610557184924e-07,0.29269980093156495,2.53365121155251e-08,0.18687489142885885,0.3720263045221125,1,True,,
st_R22_sdi,recuperacion_real_pct,dev,286,0.12307153693546505,0.037513830791437545,0.13256701196180856,0.02496154259694522,0.012240646445661231,0.24401006547143192,1,True,0.05359118684491078,False
st_R22_sdi,recuperacion_real_pct,lockbox,63,0.2728494623655914,0.030499537268235375,0.29634573954183147,0.018358312724776147,0.049465619345188755,0.49340884453399,1,True,,
st_R22_sdi,recuperacion_real_pct,total,349,0.1447719734074837,0.006745640102325103,0.1509751624991657,0.004705250857017023,0.03621281897137092,0.25565161758046995,1,True,,
st_R23_lnirf_R,recuperacion_refinada_pct,dev,299,0.2971681892662342,1.6432013271407583e-07,0.2858580618810872,4.968110033501808e-07,0.18159189639323456,0.41145011605858955,1,True,8.216006635703791e-07,True
st_R23_lnirf_R,recuperacion_refinada_pct,lockbox,63,0.37788018433179726,0.002263042658774484,0.41304705615753595,0.0007671355852093565,0.13127284043153095,0.5796759857896557,1,True,,
st_R23_lnirf_R,recuperacion_refinada_pct,total,362,0.32675736356287755,1.875454382824795e-10,0.3165961359236938,7.181378633625852e-10,0.22543585740058433,0.42914317072075947,1,True,,
st_R23_lnirf_R,sn_perdido_escoria_frac,dev,299,0.18811878521245312,0.0010812608124992637,0.13944265766396963,0.015826637692796894,0.0778893736026239,0.29077195124483335,-1,False,0.0018021013541654396,True
st_R23_lnirf_R,sn_perdido_escoria_frac,lockbox,63,0.06725230414746546,0.6004852303425608,-0.1132688653588639,0.3767557625967973,-0.17120192191635575,0.3071256901777912,-1,False,,
st_R23_lnirf_R,sn_perdido_escoria_frac,total,362,0.16109220274918826,0.002108614673760675,0.08335715262266485,0.11336464767641803,0.05909618067501604,0.2677274250340057,-1,False,,
st_R23_lnirf_R,rendimiento_proxy_batch,dev,299,0.3042149446701533,8.047930565717584e-08,0.29625723418162736,1.7995597468977023e-07,0.1914156737128213,0.4169022700922464,1,True,2.682643521905862e-07,True
st_R23_lnirf_R,rendimiento_proxy_batch,lockbox,63,0.3801363287250384,0.0021186647295910123,0.4138791931852595,0.0007466648321636726,0.1104193745396452,0.5898412986938144,1,True,,
st_R23_lnirf_R,rendimiento_proxy_batch,total,362,0.3307640615456535,1.089315639699554e-10,0.32471466959874884,2.4664929239425217e-10,0.23173503423156583,0.42480878381013165,1,True,,
st_R23_lnirf_R,recuperacion_real_pct,dev,299,0.26176561693340217,4.483013575407319e-06,0.26183478921344644,4.456119832984956e-06,0.15842095197979378,0.3695107908835181,1,True,2.2415067877036597e-05,True
st_R23_lnirf_R,recuperacion_real_pct,lockbox,63,0.49692780337941633,3.432089445497029e-05,0.4344366889800017,0.00037426562829358327,0.3144341658880402,0.6505012512788705,1,True,,
st_R23_lnirf_R,recuperacion_real_pct,total,362,0.3170764284154039,6.747381186930367e-10,0.29916623847780177,6.4043774852330784e-09,0.22892733296047954,0.410609414848049,1,True,,
st_F10_irf_next,recuperacion_refinada_pct,dev,298,0.20701935291955717,0.00032099423798798913,0.19803297134396752,0.0005853237916584157,0.09943662852349419,0.3129963665697366,1,True,0.0005349903966466486,True
st_F10_irf_next,recuperacion_refinada_pct,lockbox,63,0.3408698156682028,0.006261057203537976,0.33717941129962536,0.0068858453651307085,0.10365231916543151,0.5565309149330444,1,True,,
st_F10_irf_next,recuperacion_refinada_pct,total,361,0.23734816832718608,5.132699566202151e-06,0.23308321833007054,7.64084403945602e-06,0.12496014870093501,0.34098986621910665,1,True,,
st_F10_irf_next,sn_perdido_escoria_frac,dev,298,-0.009519676575410451,0.8700081404760698,-0.031187885816022446,0.5917829110182856,-0.1184786125900063,0.09714771714318723,-1,True,0.8700081404760698,False
st_F10_irf_next,sn_perdido_escoria_frac,lockbox,63,-0.034514208909370195,0.7882819671574245,-0.06755134952931735,0.5988625760399434,-0.28278175758392055,0.21583435516334537,-1,True,,
st_F10_irf_next,sn_perdido_escoria_frac,total,361,-0.010102130872397625,0.8483064703635244,-0.03568024930210121,0.499174736764616,-0.10215078809567603,0.08666762830017595,-1,True,,
st_F10_irf_next,rendimiento_proxy_batch,dev,298,0.1946100134019597,0.0007308906527144725,0.19206993851191767,0.0008597983001702607,0.09804320345020681,0.30812466319263476,1,True,0.0012181510878574542,True
st_F10_irf_next,rendimiento_proxy_batch,lockbox,63,0.3309331797235023,0.00806827788661696,0.34105581959666204,0.006230928264709366,0.09451601006191487,0.5552533204544525,1,True,,
st_F10_irf_next,rendimiento_proxy_batch,total,361,0.22511210419185498,1.575617355042247e-05,0.22761608145157614,1.2587009694937271e-05,0.12609114590814607,0.31944297864768545,1,True,,
st_F10_irf_next,recuperacion_real_pct,dev,298,0.27763369140667066,1.123890266805925e-06,0.2526094571340962,1.013912821789234e-05,0.1839929538468064,0.3844187227226675,1,True,1.1238902668059248e-05,True
