,hits,n_iter,frac_confirmada,veredicto
ley_sn_escoria_pct_prev,25,25,1.0,CONFIRMADA
log_ratio_sn_sio2_prev,25,25,1.0,CONFIRMADA
interaccion_Sn_x_FeO_prev,25,25,1.0,CONFIRMADA
interaccion_C_x_Sn_prev,24,25,0.96,CONFIRMADA
tasa_gn_nm3_min,24,25,0.96,CONFIRMADA
interaccion_lanza_x_gn,24,25,0.96,CONFIRMADA
ratio_sn_sio2_prev,21,25,0.84,CONFIRMADA
log_ratio_sn_feo_prev,18,25,0.72,CONFIRMADA
ratio_sn_feo_prev,17,25,0.68,CONFIRMADA
interaccion_C_x_exceso_o2,16,25,0.64,CONFIRMADA
posicion_vertical_lanza_mm_prev,15,25,0.6,TENTATIVA
tasa_feed_Carbon_kg_min,14,25,0.56,TENTATIVA
interaccion_C_x_FeO_prev,11,25,0.44,TENTATIVA
oxidante_sobre_carga_total,11,25,0.44,TENTATIVA
tasa_feed_dross_Fe_kg_min,6,25,0.24,RECHAZADA
grad_posicion_vertical_lanza_mm,5,25,0.2,RECHAZADA
d_posicion_vertical_lanza_mm,4,25,0.16,RECHAZADA
relacion_C_carga,3,25,0.12,RECHAZADA
carga_termica_relativa,3,25,0.12,RECHAZADA
exceso_o2_combustion_pct,3,25,0.12,RECHAZADA
exceso_C_estequiometrico_pct,2,25,0.08,RECHAZADA
volumen_gas_natural_inyectado_lanza_escalon_nm3,2,25,0.08,RECHAZADA
o2_teorico_combustion_nm3,2,25,0.08,RECHAZADA
volumen_o2_inyectado_lanza_escalon_nm3,2,25,0.08,RECHAZADA
tasa_feed_total_kg_min,1,25,0.04,RECHAZADA
delta_tiempo,1,25,0.04,RECHAZADA
total_process_gas_nm3_min,1,25,0.04,RECHAZADA
posicion_vertical_lanza_mm,1,25,0.04,RECHAZADA
tiro_horno_pct_prev,1,25,0.04,RECHAZADA
tasa_feed_Sn_kg_min,1,25,0.04,RECHAZADA
feed_Sn_kgf,1,25,0.04,RECHAZADA
interaccion_C_x_temp_prev,1,25,0.04,RECHAZADA
ley_feo_escoria_pct_prev,1,25,0.04,RECHAZADA
volumen_aire_inyectado_lanza_escalon_nm3,1,25,0.04,RECHAZADA
d_presion_suministro_gn_lanza_kpa,0,25,0.0,RECHAZADA
cum_o2_nm3_prev,0,25,0.0,RECHAZADA
cum_gn_nm3_prev,0,25,0.0,RECHAZADA
cum_feed_dross_Fe_kg_prev,0,25,0.0,RECHAZADA
basicidad_B2_prev,0,25,0.0,RECHAZADA
cum_aire_nm3_prev,0,25,0.0,RECHAZADA
carbon_sobre_inventario_sn_prev,0,25,0.0,RECHAZADA
basicidad_B4_prev,0,25,0.0,RECHAZADA
cum_feed_Fe_kg_prev,0,25,0.0,RECHAZADA
cum_feed_Sn_kg_prev,0,25,0.0,RECHAZADA
cum_feed_Carbon_kg_prev,0,25,0.0,RECHAZADA
cum_feed_CaO_kg_prev,0,25,0.0,RECHAZADA
ley_sio2_escoria_pct_prev,0,25,0.0,RECHAZADA
lanza_pos_x_gas_total,0,25,0.0,RECHAZADA
ley_cao_escoria_pct_prev,0,25,0.0,RECHAZADA
ley_fe_total_escoria_pct_prev,0,25,0.0,RECHAZADA
interaccion_B2_x_temp_prev,0,25,0.0,RECHAZADA
interaccion_FeO_x_B2_prev,0,25,0.0,RECHAZADA
feed_Carbon_kgh,0,25,0.0,RECHAZADA
feed_CaO_kgh,0,25,0.0,RECHAZADA
feed_Fe_kgh,0,25,0.0,RECHAZADA
feed_dross_Fe_kgh,0,25,0.0,RECHAZADA
feed_total_kgh,0,25,0.0,RECHAZADA
grad_presion_suministro_gn_lanza_kpa,0,25,0.0,RECHAZADA
grad_presion_suministro_o2_lanza_kpa,0,25,0.0,RECHAZADA
grad_temperatura_horno_celsius_prev,0,25,0.0,RECHAZADA
indice_estructural_molar_prev,0,25,0.0,RECHAZADA
indice_severidad_reductora,0,25,0.0,RECHAZADA
d_presion_suministro_o2_lanza_kpa,0,25,0.0,RECHAZADA
relacion_C_cum_Sn_cum_prev,0,25,0.0,RECHAZADA
presion_suministro_o2_lanza_kpa,0,25,0.0,RECHAZADA
ratio_feo_sio2_prev,0,25,0.0,RECHAZADA
presion_punta_lanza_kpa_prev,0,25,0.0,RECHAZADA
o2_disponible_nm3,0,25,0.0,RECHAZADA
margen_presion_gn,0,25,0.0,RECHAZADA
oxygen_enrichment_pct,0,25,0.0,RECHAZADA
orden_escalon_fase,0,25,0.0,RECHAZADA
presion_suministro_gn_lanza_kpa,0,25,0.0,RECHAZADA
tasa_feed_Fe_kg_min,0,25,0.0,RECHAZADA
tasa_aire_nm3_min,0,25,0.0,RECHAZADA
tasa_feed_CaO_kg_min,0,25,0.0,RECHAZADA
temperatura_horno_celsius_prev,0,25,0.0,RECHAZADA
tasa_o2_nm3_min,0,25,0.0,RECHAZADA
temperatura_gas_pre_bhf_celsius_prev,0,25,0.0,RECHAZADA
