,0
cum_o2_nm3_prev,3
feed_Sn_kgf,3
cum_gn_nm3_prev,2
volumen_o2_inyectado_lanza_escalon_nm3,2
o2_teorico_combustion_nm3,2
oxidante_sobre_carga_total,2
cum_aire_nm3_prev,2
o2_disponible_nm3,2
interaccion_C_x_Sn_prev,2
lanza_pos_x_gas_total,2
log_ratio_sn_sio2_prev,2
ley_sn_escoria_pct_prev,2
interaccion_Sn_x_FeO_prev,2
feed_total_kgh,2
volumen_aire_inyectado_lanza_escalon_nm3,2
orden_escalon_fase,1
posicion_vertical_lanza_mm,1
relacion_CaO_carga_Fe,1
delta_tiempo,1
volumen_gas_natural_inyectado_lanza_escalon_nm3,1
ratio_sn_sio2_prev,1
cum_feed_Fe_kg_prev,1
cum_feed_dross_Fe_kg_prev,1
carbon_sobre_inventario_sn_prev,1
cum_feed_CaO_kg_prev,1
cum_feed_Sn_kg_prev,1
cum_feed_Carbon_kg_prev,1
feed_CaO_kgh,1
interaccion_lanza_x_gn,1
log_ratio_sn_feo_prev,1
feed_Carbon_kgh,1
d_presion_suministro_o2_lanza_kpa,0
d_presion_suministro_gn_lanza_kpa,0
d_posicion_vertical_lanza_mm,0
carga_termica_relativa,0
basicidad_B4_prev,0
basicidad_B2_prev,0
grad_presion_suministro_o2_lanza_kpa,0
grad_presion_suministro_gn_lanza_kpa,0
interaccion_B2_x_temp_prev,0
indice_severidad_reductora,0
indice_estructural_molar_prev,0
grad_temperatura_horno_celsius_prev,0
feed_dross_Fe_kgh,0
exceso_o2_combustion_pct,0
feed_Fe_kgh,0
exceso_C_estequiometrico_pct,0
margen_presion_gn,0
ley_fe_total_escoria_pct_prev,0
ley_feo_escoria_pct_prev,0
ley_sio2_escoria_pct_prev,0
ley_cao_escoria_pct_prev,0
interaccion_C_x_exceso_o2,0
interaccion_C_x_FeO_prev,0
interaccion_FeO_x_B2_prev,0
interaccion_C_x_temp_prev,0
grad_posicion_vertical_lanza_mm,0
presion_punta_lanza_kpa_prev,0
presion_suministro_o2_lanza_kpa,0
ratio_sn_feo_prev,0
posicion_vertical_lanza_mm_prev,0
presion_suministro_gn_lanza_kpa,0
oxygen_enrichment_pct,0
relacion_C_cum_Sn_cum_prev,0
relacion_C_carga,0
ratio_feo_sio2_prev,0
tasa_aire_nm3_min,0
tasa_feed_Sn_kg_min,0
tasa_feed_CaO_kg_min,0
tasa_feed_Carbon_kg_min,0
tasa_feed_Fe_kg_min,0
tasa_gn_nm3_min,0
tasa_feed_total_kg_min,0
tasa_feed_dross_Fe_kg_min,0
tasa_o2_nm3_min,0
tiro_horno_pct_prev,0
temperatura_horno_celsius_prev,0
temperatura_gas_pre_bhf_celsius_prev,0
total_process_gas_nm3_min,0
