,0
reduccion_ley_feo_final,0.05671701
reduccion_lanza_pos_std,0.045928936
delta_FR_ley_feo_escoria_pct,0.03908306
fusion_duracion_total_min,0.038800094
reduccion_ley_sn_inicio,0.0382035
reduccion_ley_sn_final,0.036400177
fusion_carbon_rate_mean,0.03257645
fusion_interaccion_C_x_Sn_prev_mean,0.030537464
reduccion_sn_caida_total,0.03024411
fusion_temp_trend,0.029959267
fusion_temp_mean,0.028963892
fusion_ley_sn_final,0.028905138
reduccion_carbon_rate_first,0.028677093
fusion_o2_exceso_std,0.027668558
reduccion_aire_total_nm3,0.027568819
delta_FR_ley_sn_escoria_pct,0.027233602
fusion_cao_total_kg,0.027013397
reduccion_o2_total_nm3,0.02606724
reduccion_feo_caida_total,0.025769662
fusion_carbon_total_kg,0.02567407
suma_pred_delta_sn_reduccion_modelo,0.025404502
reduccion_carbon_total_kg,0.023839885
delta_FR_exceso_o2_combustion_pct,0.023546454
delta_FR_temperatura_horno_celsius,0.02349139
reduccion_gn_total_nm3,0.022796394
fusion_b2_mean,0.022211667
delta_FR_presion_punta_lanza_kpa,0.02202238
fusion_o2_exceso_mean,0.021810887
reduccion_lanza_pos_mean,0.0215728
reduccion_o2_exceso_mean,0.021425627
reduccion_selectividad_media,0.021245843
fusion_carbon_rate_cv,0.020635283
fusion_ley_sn_pico,0.020563105
reduccion_duracion_total_min,0.020504737
reduccion_frac_en_valle_lanza,0.019225713
reduccion_carbon_decay_ratio,0.017711814
fusion_frac_b2_optimo,0.0
n_escalones_reduccion,0.0
