,0
reduccion_feo_caida_total,0.06894967
reduccion_ley_feo_final,0.054332156
reduccion_carbon_total_kg,0.03790999
fusion_carbon_total_kg,0.034768417
fusion_temp_mean,0.031968027
reduccion_o2_total_nm3,0.0310043
reduccion_gn_total_nm3,0.03082993
reduccion_aire_total_nm3,0.03054551
reduccion_lanza_pos_mean,0.029364778
fusion_o2_exceso_mean,0.027930675
fusion_carbon_rate_cv,0.027191758
reduccion_sn_caida_total,0.027146043
delta_FR_ley_feo_escoria_pct,0.026887652
reduccion_ley_sn_final,0.026708141
delta_FR_presion_punta_lanza_kpa,0.026679117
fusion_ley_sn_pico,0.026447875
reduccion_carbon_decay_ratio,0.026403118
reduccion_frac_en_valle_lanza,0.026396777
reduccion_duracion_total_min,0.025795257
fusion_temp_trend,0.025779355
fusion_cao_total_kg,0.02514211
fusion_interaccion_C_x_Sn_prev_mean,0.025117699
reduccion_selectividad_media,0.025055552
fusion_duracion_total_min,0.02498847
fusion_carbon_rate_mean,0.024745986
reduccion_carbon_rate_first,0.02431492
fusion_o2_exceso_std,0.024008758
delta_FR_temperatura_horno_celsius,0.023836402
reduccion_o2_exceso_mean,0.023478488
delta_FR_ley_sn_escoria_pct,0.022575364
fusion_b2_mean,0.021874018
suma_pred_delta_sn_reduccion_modelo,0.021299612
fusion_ley_sn_final,0.020208025
delta_FR_exceso_o2_combustion_pct,0.01926522
reduccion_ley_sn_inicio,0.015856858
reduccion_lanza_pos_std,0.015194066
fusion_frac_b2_optimo,0.0
n_escalones_reduccion,0.0
