,media,std,frac_positiva
interaccion_Sn_x_FeO_prev,0.090350764366887,0.01909633055176664,1.0
ley_sn_escoria_pct_prev,0.03766417945008209,0.018717597215145033,0.96
log_ratio_sn_sio2_prev,0.017853176732962342,0.011044787601574419,0.96
oxidante_sobre_carga_total,0.008757507524819286,0.011972668850725942,0.8
cum_o2_nm3_prev,0.008085938881330702,0.014863424897411449,0.76
interaccion_C_x_Sn_prev,0.006610673785419299,0.008374853541168788,0.76
volumen_aire_inyectado_lanza_escalon_nm3,0.006532951521562755,0.011682435565929593,0.68
feed_Sn_kgf,0.005487424766261596,0.004401573062586934,0.88
lanza_pos_x_gas_total,0.004325129704485388,0.007300729187679865,0.72
relacion_CaO_carga_Fe,0.004062842369941182,0.0028001880256605166,0.92
cum_feed_Fe_kg_prev,0.0037299841622384423,0.007653173663684011,0.72
feed_Carbon_kgh,0.003638107646406676,0.010527997220791228,0.72
cum_feed_dross_Fe_kg_prev,0.0031502599727862347,0.00738515544581016,0.56
cum_feed_CaO_kg_prev,0.0025130667513832226,0.012008554873275571,0.6
tasa_feed_total_kg_min,0.0021268550644570226,0.006012766943607398,0.76
d_presion_suministro_gn_lanza_kpa,0.0020856888987920647,0.003393196723427599,0.72
grad_presion_suministro_gn_lanza_kpa,0.0020339089479508555,0.0029337560074109677,0.76
temperatura_gas_pre_bhf_celsius_prev,0.002002636377816004,0.0023383576573501384,0.8
carbon_sobre_inventario_sn_prev,0.0017294508747859839,0.007362603424682851,0.64
posicion_vertical_lanza_mm,0.001544690875289849,0.00251618547406527,0.72
basicidad_B4_prev,0.0015375724187961016,0.0030239066351217155,0.72
temperatura_horno_celsius_prev,0.0013051697647852522,0.0032197065443219076,0.72
feed_dross_Fe_kgh,0.0012658975237147302,0.0031996534790303343,0.52
grad_temperatura_horno_celsius_prev,0.0012322857653718471,0.002243090945374139,0.76
tasa_feed_CaO_kg_min,0.0009786124522684835,0.004297730559606495,0.64
feed_total_kgh,0.0009592346485319591,0.0031071123862247215,0.6
exceso_o2_combustion_pct,0.0009316989073534493,0.003624122760646217,0.56
ratio_sn_sio2_prev,0.0009144362578356335,0.0037732614816240245,0.64
tasa_aire_nm3_min,0.0008978725729151482,0.001850616683642089,0.68
grad_posicion_vertical_lanza_mm,0.0007472146269311902,0.004340100432837366,0.48
cum_aire_nm3_prev,0.0006863618485915329,0.003306516141048913,0.56
feed_Fe_kgh,0.000669228863072569,0.0025794210617551276,0.56
total_process_gas_nm3_min,0.0006137122298723086,0.001855933291464531,0.68
cum_feed_Sn_kg_prev,0.0004449942417855668,0.0033864489113145002,0.56
tasa_gn_nm3_min,0.00036980037189161043,0.0022290349268024984,0.52
margen_presion_gn,0.00033263405124880517,0.0032687188900277545,0.56
tiro_horno_pct_prev,0.00028830125114102603,0.0033591931048919535,0.44
interaccion_B2_x_temp_prev,0.0002636878877309096,0.0019159534032204089,0.6
ratio_feo_sio2_prev,0.00017525254103130107,0.005080068359572031,0.68
ley_sio2_escoria_pct_prev,0.00015582734240648767,0.00293500332986474,0.52
tasa_o2_nm3_min,6.331450257990868e-05,0.0037618221967658703,0.6
indice_severidad_reductora,5.839148595663424e-05,0.002365035327638961,0.48
interaccion_FeO_x_B2_prev,5.525941459232464e-05,0.0020966466715172773,0.56
volumen_gas_natural_inyectado_lanza_escalon_nm3,4.694314651665199e-05,0.0007778020073313987,0.56
interaccion_lanza_x_gn,1.363894266719734e-05,0.005053764149784367,0.48
orden_escalon_fase,0.0,0.0,0.0
cum_feed_Carbon_kg_prev,-9.68000577181588e-05,0.0016512450228105215,0.56
presion_suministro_gn_lanza_kpa,-0.00011177678310243855,0.0016670517991752933,0.44
ley_feo_escoria_pct_prev,-0.0001457083706979706,0.0009899192611539857,0.48
delta_tiempo,-0.0002856556553841688,0.0023966834681988093,0.52
ratio_sn_feo_prev,-0.00039250932473747224,0.0010917935908310514,0.36
tasa_feed_Carbon_kg_min,-0.0004489177233843772,0.0015024857506600866,0.48
cum_gn_nm3_prev,-0.00046020074743169273,0.003954925104701886,0.48
presion_suministro_o2_lanza_kpa,-0.0004940507393304266,0.002779348145520899,0.44
d_presion_suministro_o2_lanza_kpa,-0.000501580767069793,0.00410473709862789,0.52
ley_fe_total_escoria_pct_prev,-0.0005132186346602536,0.0021912783958938685,0.56
o2_teorico_combustion_nm3,-0.0005229397034749472,0.002266604088500868,0.52
indice_estructural_molar_prev,-0.0005418770698228842,0.002422472961588366,0.48
tasa_feed_dross_Fe_kg_min,-0.0006392072243107438,0.00382515736775169,0.44
tasa_feed_Sn_kg_min,-0.00066658729337438,0.0039772585103604345,0.48
interaccion_C_x_FeO_prev,-0.0007238896698961638,0.001971715269886493,0.4
grad_presion_suministro_o2_lanza_kpa,-0.0007321669069747399,0.0036785700413747703,0.32
basicidad_B2_prev,-0.0007385465890935405,0.001910293233745372,0.32
posicion_vertical_lanza_mm_prev,-0.0007786381678152638,0.0028487636487472007,0.36
tasa_feed_Fe_kg_min,-0.0007807800407651782,0.0012231233731871897,0.32
interaccion_C_x_exceso_o2,-0.0008093819101815986,0.0017281949197924585,0.24
interaccion_C_x_temp_prev,-0.0008447707421595902,0.0027376927831534786,0.44
log_ratio_sn_feo_prev,-0.0009679978168103615,0.005537103585544912,0.28
relacion_C_carga,-0.0011242146000150404,0.002197833010255208,0.2
volumen_o2_inyectado_lanza_escalon_nm3,-0.0012055386526231271,0.005672258143599816,0.52
presion_punta_lanza_kpa_prev,-0.0012287623783487046,0.0021148537791918073,0.28
d_posicion_vertical_lanza_mm,-0.0012359182943281395,0.003144715125412102,0.32
feed_CaO_kgh,-0.0014103089703325971,0.00630923166601682,0.56
o2_disponible_nm3,-0.00145781304115024,0.0027638123115070433,0.24
relacion_C_cum_Sn_cum_prev,-0.0018241222963182285,0.0021938547202485035,0.2
ley_cao_escoria_pct_prev,-0.0018352951122337163,0.002435378450578952,0.28
exceso_C_estequiometrico_pct,-0.0019645397638961147,0.00312751533077572,0.32
carga_termica_relativa,-0.002404851211484018,0.0059833916653799155,0.44
oxygen_enrichment_pct,-0.0025744701314765234,0.0026980926474665483,0.12
