fase,parametro,valor,muestra,n,rho,p,es_optimo_dev
Reducción,lambda,0.0,dev,297,0.017107406369151337,0.7690620922786786,False
Reducción,lambda,0.0,lockbox,63,0.044450844854070665,0.7294001737744276,False
Reducción,lambda,0.1,dev,297,0.028370957901159247,0.6262778420816694,False
Reducción,lambda,0.1,lockbox,63,0.03720238095238096,0.772220286901268,False
Reducción,lambda,0.2,dev,297,0.03633972593704137,0.5327374869568346,False
Reducción,lambda,0.2,lockbox,63,0.03456221198156682,0.7879943583616194,False
Reducción,lambda,0.3,dev,297,0.047429674946453476,0.4154159582304505,False
Reducción,lambda,0.3,lockbox,63,0.03297811059907835,0.7975001116431023,False
Reducción,lambda,0.4,dev,297,0.056239430400504234,0.3340990469263763,False
Reducción,lambda,0.4,lockbox,63,0.036146313364055306,0.7785192977899967,False
Reducción,lambda,0.5,dev,297,0.06584299369534269,0.25798756005330375,False
Reducción,lambda,0.5,lockbox,63,0.031634024577572965,0.8055886882301889,False
Reducción,lambda,0.6,dev,297,0.07580246506421004,0.19266960093421379,False
Reducción,lambda,0.6,lockbox,63,0.02740975422427035,0.8311385148450876,False
Reducción,lambda,0.7,dev,297,0.08346708514493752,0.1513199276367568,False
Reducción,lambda,0.7,lockbox,63,0.024193548387096777,0.8507101208477265,False
Reducción,lambda,0.8,dev,297,0.09114040825450223,0.11703862719300862,False
Reducción,lambda,0.8,lockbox,63,0.02131336405529954,0.8683137522318976,False
Reducción,lambda,0.9,dev,297,0.09929239795011607,0.08760259667869617,False
Reducción,lambda,0.9,lockbox,63,0.024577572964669742,0.8483682484712437,False
Reducción,lambda,1.0,dev,297,0.1071874192679562,0.06507203206258548,False
Reducción,lambda,1.0,lockbox,63,0.032402073732718896,0.8009641020457445,False
Reducción,lambda,1.1,dev,297,0.1165807357082525,0.044697100974912876,False
Reducción,lambda,1.1,lockbox,63,0.02942588325652842,0.8189208333734626,False
Reducción,lambda,1.2,dev,297,0.12356743564797257,0.03327849854527373,False
Reducción,lambda,1.2,lockbox,63,0.021457373271889398,0.8674319831450041,False
Reducción,lambda,1.3,dev,297,0.13115556068576203,0.023788017010351385,False
Reducción,lambda,1.3,lockbox,63,0.021121351766513058,0.8694896926916882,False
Reducción,lambda,1.4,dev,297,0.13600406385641287,0.01903354907277082,False
Reducción,lambda,1.4,lockbox,63,0.02380952380952381,0.853053278057936,False
Reducción,lambda,1.5,dev,297,0.14387709857508518,0.013064587064054336,False
Reducción,lambda,1.5,lockbox,63,0.018385176651305683,0.8862762349285074,False
Reducción,lambda,1.6,dev,297,0.14713752801001126,0.011121361190401776,False
Reducción,lambda,1.6,lockbox,63,0.012864823348694316,0.9202881990166079,False
Reducción,lambda,1.7,dev,297,0.15111985078428034,0.009097546579616,False
Reducción,lambda,1.7,lockbox,63,0.0073444700460829505,0.954442979488454,False
Reducción,lambda,1.8,dev,297,0.1557878806200954,0.007146897594017751,False
Reducción,lambda,1.8,lockbox,63,0.011088709677419355,0.9312644670002136,False
Reducción,lambda,1.9,dev,297,0.16141965638609937,0.005296348212006211,False
Reducción,lambda,1.9,lockbox,63,0.00993663594470046,0.9383911600092107,False
Reducción,lambda,2.0,dev,297,0.16783333058500846,0.0037221862246212415,True
Reducción,lambda,2.0,lockbox,63,0.010752688172043012,0.9333425557077757,True
Fusión,w,0.0,dev,298,0.06239610804325199,0.2829825272334606,True
Fusión,w,0.0,lockbox,63,0.17497119815668205,0.17019191873363934,True
Fusión,w,0.1,dev,298,0.05915023277147583,0.3088247010637012,False
Fusión,w,0.1,lockbox,63,0.17890745007680492,0.16063303330522277,False
Fusión,w,0.2,dev,298,0.05791002435297737,0.3190961661031213,False
Fusión,w,0.2,lockbox,63,0.1912442396313364,0.13323827124617624,False
Fusión,w,0.3,dev,298,0.05421025817874373,0.3510435360897332,False
Fusión,w,0.3,lockbox,63,0.20674923195084488,0.1039967737478718,False
Fusión,w,0.4,dev,298,0.04847990578950601,0.40435643639419705,False
Fusión,w,0.4,lockbox,63,0.2100614439324117,0.09844962584217345,False
Fusión,w,0.5,dev,298,0.040289542186244844,0.48839510386688295,False
Fusión,w,0.5,lockbox,63,0.2158698156682028,0.08928132800485916,False
Fusión,w,0.6,dev,298,0.03546338562387585,0.5419864075338194,False
Fusión,w,0.6,lockbox,63,0.23411098310291859,0.06478433764373101,False
Fusión,w,0.7,dev,298,0.03364093676320113,0.5629565015043503,False
Fusión,w,0.7,lockbox,63,0.24467165898617513,0.05328335290772547,False
Fusión,w,0.8,dev,298,0.032071971085685706,0.5813162493857232,False
Fusión,w,0.8,lockbox,63,0.2490879416282642,0.04899526183267142,False
Fusión,w,0.9,dev,298,0.031542785263240475,0.5875709243303003,False
Fusión,w,0.9,lockbox,63,0.2620487711213518,0.03801398447379667,False
Fusión,w,1.0,dev,298,0.030283985054921733,0.6025723159178232,False
Fusión,w,1.0,lockbox,63,0.273665514592934,0.029986319579159114,False
Fusión,w,1.1,dev,298,0.029482270801208642,0.6122150538591274,False
Fusión,w,1.1,lockbox,63,0.28096198156682034,0.02571102314441008,False
Fusión,w,1.2,dev,298,0.028405307366497906,0.6252740684321815,False
Fusión,w,1.2,lockbox,63,0.28336213517665126,0.024422222580724896,False
Fusión,w,1.3,dev,298,0.028945829646150622,0.6187048455450577,False
Fusión,w,1.3,lockbox,63,0.29579493087557607,0.018586601068813456,False
Fusión,w,1.4,dev,298,0.02819354234586216,0.6278558821344871,False
Fusión,w,1.4,lockbox,63,0.30006720430107525,0.01687773766691403,False
Fusión,w,1.5,dev,298,0.029488165758956533,0.6121439040969056,False
Fusión,w,1.5,lockbox,63,0.2943548387096775,0.019194936671502065,False
Fusión,w,1.6,dev,298,0.02759361703044224,0.6351946586128401,False
Fusión,w,1.6,lockbox,63,0.2959869431643626,0.01850674612720134,False
Fusión,w,1.7,dev,298,0.027592710113865642,0.6352057800340568,False
Fusión,w,1.7,lockbox,63,0.30376344086021506,0.015509566253001124,False
Fusión,w,1.8,dev,298,0.028794828036146972,0.6205370205798636,False
Fusión,w,1.8,lockbox,63,0.31038786482334874,0.013294781221399913,False
Fusión,w,1.9,dev,298,0.028657883633080597,0.6222006612222205,False
Fusión,w,1.9,lockbox,63,0.31605222734254995,0.01162273015920682,False
Fusión,w,2.0,dev,298,0.028432514863795864,0.6249426883155421,False
Fusión,w,2.0,lockbox,63,0.32306067588325654,0.009808220154868236,False
