id,fase,familia,agg,n_dev,rho_dev,p_bh_dev,ci_dev,rho_lockbox,p_lockbox,rho_f_dross_dev,rho_f_polvo_dev,coef_ols_dev,p_ols_dev,coef_ols_lockbox,monotonia,dir_ok
F10_irf_next,Fusión,matriz,last,298,0.1946100134019597,0.01169425044343156,"[0.083, 0.303]",0.3309331797235023,0.00806827788661696,-0.05259730704726327,-0.2107821497958644,1.1098325700405365,2.4559547524517427e-05,1.5926751485323565,3,True
F05_ley_feo_next,Fusión,matriz,last,298,0.12069044481547726,0.29851963366867157,"[0.012, 0.229]",0.18284370199692782,0.15147573459643587,0.03980684486372316,-0.20209076060390294,0.7487531613354733,0.014570890910296248,0.8920908928435272,4,True
F04_feo_ret_por_fe,Fusión,matriz,ratio,298,0.10875312801195497,0.32419490617479557,"[0.002, 0.217]",0.2460637480798771,0.051899878451963116,-0.08802464273721933,-0.05730012295521487,-0.20175223840474818,0.6716551185412174,4.648370223343726,3,True
F06_B2_ventana,Fusión,matriz,last,298,0.0893188126920254,0.49572704085147984,"[-0.022, 0.202]",-0.0016321044546850998,0.9898711127275848,0.06858715320927168,-0.19750897223905686,0.3639690421500379,0.1396404361080054,-0.5510880888447495,3,True
F09_T_gas_bhf,Fusión,polvo,twmean,299,0.07680545891225787,0.5536869929726496,"[-0.030, 0.187]",0.138536866359447,0.27889082349697564,-0.14994366007497026,0.05254382617674126,0.27673751278249425,0.3900517844019431,0.11500027320497441,2,True
F01_sn_ext,Fusión,conservacion,sum,298,0.0632000687442765,0.5536869929726496,"[-0.059, 0.174]",0.18663594470046085,0.14302578212438646,-0.1795919283517766,0.13414407140698356,0.04543544698169587,0.8904563954758031,1.7008807403060886,2,True
F16_sn_ret_frac,Fusión,conservacion,ratio,298,0.06253938001822448,0.5536869929726496,"[-0.052, 0.175]",0.17497119815668205,0.17019191873363934,-0.1408525333240828,0.07599711509836983,0.0003037422289457715,0.9991177360679075,1.1551278668374234,3,True
F03_feo_formado,Fusión,matriz,sum,298,0.058068281295593806,0.5536869929726496,"[-0.049, 0.173]",0.1261520737327189,0.32452925234837954,-0.023426335360972064,-0.06811555658944045,-0.3135646060609359,0.29718273224068514,0.6435731543845369,2,True
F12_d_log_sn_feo,Fusión,conservacion,sum,298,0.05477345337281141,0.5536869929726496,"[-0.065, 0.164]",0.07200460829493087,0.5749318584687826,-0.06065390045547618,-0.04136378487122577,0.28862094282603845,0.26574722774333204,0.2086568848510717,2,True
F11_log_sn_feo_next,Fusión,conservacion,last,298,0.04129485921140429,0.650914780562589,"[-0.060, 0.155]",0.08808563748079878,0.49240185585645674,-0.1477804690527188,0.11873147764598012,0.09434806635146555,0.7279454829121292,0.43667366477057135,2,True
F13_masa_por_carga,Fusión,matriz,ratio,298,0.03801726270357726,0.650914780562589,"[-0.075, 0.152]",0.17189900153609833,0.1779364501307203,-0.13244768395045606,0.07541396773961699,-0.16891754940652665,0.5822375901775876,5.175017831566542,3,True
F02_frac_sn_ext,Fusión,conservacion,ratio,298,0.014256331691655516,0.9084278624670835,"[-0.092, 0.123]",0.22849462365591397,0.07166933829233917,-0.0958997798798919,0.10118644431028617,-0.311084726216876,0.3401837591445913,1.6278431305421082,2,True
F07_T_media,Fusión,termico,twmean,299,0.010860362281430272,0.9084278624670835,"[-0.101, 0.126]",0.22206221198156684,0.08025981358338462,0.10312810037934053,-0.14944580368566363,0.05310898181146584,0.9152267295850549,2.325659254257099,2,True
F14_sn_ret_por_c,Fusión,conservacion,ratio,298,-0.0037913797917851007,0.9480350404082577,"[-0.110, 0.111]",0.14813748079877112,0.24659256670853197,-0.061937433164721827,0.07588881294751772,-0.2835180246797043,0.36699541753619336,1.4812802508611767,2,False
F08_T_ventana,Fusión,termico,twmean,299,-0.036559448721689744,0.650914780562589,"[-0.149, 0.078]",-0.22206221198156684,0.08025981358338462,0.14018271194810442,-0.1041018158963884,-0.4407877673807152,0.1657565773001508,-1.3046396909360158,2,False
F15_dT,Fusión,termico,sum,299,-0.0653520684159727,0.5536869929726496,"[-0.175, 0.045]",0.1900441628264209,0.13573700401495248,0.19503400597068526,-0.12603577921932166,-0.3307155547426968,0.261004267876244,1.242576823952664,2,False
R08_feo_ret_frac,Reducción,sobre-reduccion,product,286,0.3116152140542384,1.47820750842652e-06,"[0.197, 0.415]",-0.061011904761904774,0.6347780690262769,-0.18191128512052773,-0.18578981993616137,1.2144888352495549,0.0026224541363808252,-0.30484912222506866,3,True
R02_feo_ret,Reducción,sobre-reduccion,sum,297,0.2740171532117841,1.630877218518332e-05,"[0.169, 0.378]",-0.13628072196620586,0.2868704033684845,-0.2007949071707461,-0.1220631858215751,1.453278987820188,8.800913816996373e-07,-0.5861156316016461,4,True
R20_fe_metalizado_por_sn,Reducción,sobre-reduccion,sum,297,0.21610172742545852,0.001165032737930529,"[0.101, 0.329]",-0.05318740399385561,0.6788730705779166,-0.1695441822478586,-0.10787588700764827,1.2832863217449557,5.0883369603934556e-05,-0.3914155357422593,3,True
R19_T_gas_bhf,Reducción,polvo,twmean,299,0.11114542883436959,0.23468653951842208,"[-0.008, 0.219]",-0.002112135176651306,0.9868922598971888,-0.16361697829453886,0.0658791048461314,0.6323477117995662,0.005834790391348838,-0.4994708261968547,4,True
R16_feo_por_sn_disp,Reducción,sobre-reduccion,ratio,288,0.09151867346651718,0.34637750823098407,"[-0.027, 0.204]",0.04478686635944701,0.7274338245202169,-0.17385232428696015,0.04328374104304563,0.14909333912369538,0.546364078362098,0.7402037075084102,3,True
R15_d_log_sn_feo,Reducción,selectividad,sum,298,0.07412977386715348,0.44874565973685326,"[-0.046, 0.185]",0.32642089093702,0.009029266872291752,-0.08852798143723152,-0.017998893108318263,0.5313594638423762,0.049713766103679384,1.305636251297063,3,True
R05_sn_net_l10,Reducción,metal-equivalente,sum,297,0.05716149340310415,0.6524439111494565,"[-0.049, 0.163]",0.046610983102918585,0.7167901678063662,-0.11969504586954251,0.0580075194169154,0.17491081455247937,0.5611610748921714,0.05178468687978066,3,True
R14_log_sn_feo_next,Reducción,selectividad,last,299,0.04892819465331867,0.7258609582777623,"[-0.066, 0.160]",0.3169162826420891,0.011384380182147396,0.02111422863684317,-0.11082444838499697,0.36612672260263146,0.17238085022471217,1.1603566724743226,3,True
R04_sn_net_l06,Reducción,metal-equivalente,sum,297,0.03496235711000812,0.7845171484030239,"[-0.072, 0.147]",0.0424347158218126,0.7412343377675514,-0.10459437472860292,0.07284297720539333,-0.01674989798785642,0.9547293113551274,0.04799246157465742,2,True
R12_d_avance,Reducción,extraccion,sum,298,0.03147385960341898,0.7845171484030239,"[-0.080, 0.138]",0.03129800307219662,0.8076140418414667,-0.12829037836332843,0.09859158122945691,-0.10477289427913981,0.7126202414842792,0.025531726697897827,2,True
R01_sn_ext,Reducción,extraccion,sum,298,0.021351763692002968,0.8211947124655549,"[-0.092, 0.139]",0.044450844854070665,0.7294001737744276,-0.1036721278915618,0.08032900212649265,-0.0699819220964427,0.8074146299122824,0.037523717327216044,3,True
R09_selectividad,Reducción,selectividad,ratio,284,0.019421793921423274,0.8211947124655549,"[-0.093, 0.134]",-0.026881720430107527,0.8343450964609209,-0.11669892892785388,0.08377256284592434,0.39815129631978013,0.18018219785481837,-0.15156926733493026,2,True
R10_log_selectividad,Reducción,selectividad,ratio_log,284,0.019421793921423274,0.8211947124655549,"[-0.100, 0.132]",-0.026881720430107527,0.8343450964609209,-0.11669892892785388,0.08377256284592434,-0.061140199407318796,0.7815445991076135,-0.11709284683821908,2,True
R03_sn_net_l03,Reducción,metal-equivalente,sum,297,0.016265044788534723,0.8211947124655549,"[-0.093, 0.137]",0.041474654377880185,0.7468908972628707,-0.09092878723751208,0.08253082246370838,-0.14942343137763636,0.607520128382105,0.044049179825820683,2,True
R11_util_carbon,Reducción,selectividad,ratio,297,0.0118118423487551,0.839361493493122,"[-0.099, 0.124]",0.16306643625192013,0.20162055379862165,-0.0748707829244742,0.06421598535692497,-0.10000682397470761,0.7007618319867728,0.9008128745817854,1,True
R06_frac_sn,Reducción,extraccion,survival,292,-0.03181084023823789,0.7845171484030239,"[-0.149, 0.083]",0.3080837173579109,0.014032046840071321,0.001365958896879743,0.023834874174170847,0.510505808526274,0.010559710719106484,4.376272258291745,2,False
R17_dT,Reducción,termico,sum,299,-0.0413746043859846,0.7845171484030239,"[-0.156, 0.079]",-0.21471774193548387,0.09104437949927781,-0.09266997373796323,0.1811285941954165,-0.21055887354151662,0.4678294847108925,-1.961915881397073,2,False
R18_T_ventana,Reducción,termico,twmean,299,-0.0775964624812013,0.44874565973685326,"[-0.191, 0.041]",-0.221150153609831,0.08154126547369407,0.05414468811025566,0.04794101142510831,-0.4425271504008903,0.132543147278428,-1.2782670023654488,2,False
R13_sn_residual,Reducción,extraccion,last,299,-0.10478462885232655,0.23468653951842208,"[-0.213, 0.005]",0.23223886328725038,0.06701758620830242,0.09393189827388836,0.028618886220286858,0.014333575585454561,0.9637037095016535,0.5864359225541853,2,False
R07_kapp_sn,Reducción,extraccion,kapp,286,-0.11052080140655238,0.23468653951842208,"[-0.220, -0.003]",0.3509024577572965,0.00480699613579811,0.061305318558206874,0.036886092085065124,-0.1046876990314937,0.7301787020274744,1.3310029603734073,1,False
