,R01_sn_ext,R02_feo_ret,R03_sn_net_l03,R04_sn_net_l06,R05_sn_net_l10,R06_frac_sn,R07_kapp_sn,R08_feo_ret_frac,R09_selectividad,R10_log_selectividad,R11_util_carbon,R12_d_avance,R13_sn_residual,R14_log_sn_feo_next,R15_d_log_sn_feo,R16_feo_por_sn_disp,R17_dT,R18_T_ventana,R19_T_gas_bhf,R20_fe_metalizado_por_sn,F01_sn_ext,F02_frac_sn_ext,F03_feo_formado,F04_feo_ret_por_fe,F05_ley_feo_next,F06_B2_ventana,F07_T_media,F08_T_ventana,F09_T_gas_bhf,F10_irf_next,F11_log_sn_feo_next,F12_d_log_sn_feo,F13_masa_por_carga,F14_sn_ret_por_c,F15_dT,F16_sn_ret_frac
R01_sn_ext,1.0,-0.15270642520389818,0.9359174582108402,0.9209325174834168,0.8892681785096078,0.32556266948481977,0.1709046254604994,-0.09034990895874208,0.5632905757312745,0.5632905757312745,0.9241447336270598,0.9776419093677783,-0.3293095708156696,-0.24224835861097932,0.3466072858797182,0.4102150627150627,-0.013427505955933743,0.009382062309014758,0.044436367160996415,-0.1486336152692549,0.5601002579752415,0.7357119364312708,0.2275346774795073,0.21835713752935337,-0.3132700959504818,-0.3237195760255352,0.12171964514368212,0.03866102447161813,0.013797870658035026,0.06760340228962672,0.7032700869605475,0.3247707672641507,0.3913116613554117,0.7472424011446507,-0.04009172393035511,0.8542002638909251
R02_feo_ret,-0.15270642520389818,1.0,-0.12203823589173785,-0.05163594369298117,0.03864330228885511,-0.3037128808284479,-0.33099866258047084,0.8871442291785249,0.19980021816314444,0.19980021816314444,-0.16348044174019494,-0.14704228684892115,-0.16416176050741133,-0.15471698598497416,-0.08978078534556594,0.2710153735153735,0.1958217270194986,-0.2065149679652878,0.08835716324971643,0.8801399496485298,-0.16846194944574988,-0.23246202570896632,-0.4806660857025775,-0.33834466732025126,-0.1325036697680195,0.4398668451056369,-0.18386047217442522,-0.24119630552704882,0.16024480641568736,-0.2321599933604104,0.04054844047452317,-0.05110746279495599,-0.40308922467229996,-0.23024035174402405,-0.17282437878893098,-0.20955841542044681
R03_sn_net_l03,0.9359174582108402,-0.12203823589173785,1.0,0.9947872540168777,0.97489975488494,0.30002968789836054,0.16185025741837883,0.024277994195308808,0.6459941099397495,0.6459941099397495,0.8557875953792606,0.9122552385949481,-0.3249675280416258,-0.2686844291494019,0.33084283057739644,0.49822205572205575,-0.0009174453506585699,0.009218949734694455,0.020438172105237438,-0.10100785892174208,0.5132044837978452,0.6890553184774794,0.12751798654445673,0.1365776546687208,-0.33850060790512665,-0.22074923618783815,0.07516776106811524,0.016254755052122316,0.04447385139288626,0.01931809340035169,0.6965593439255536,0.3100205931020889,0.2947287883267716,0.7049465378921393,-0.02256781816732125,0.7882554478351307
R04_sn_net_l06,0.9209325174834168,-0.05163594369298117,0.9947872540168777,1.0,0.9917206151282032,0.2813589077558451,0.15285193253847465,0.09533634378487164,0.673304999313573,0.673304999313573,0.8379657438674571,0.8977260627011011,-0.33207663639379936,-0.2732215011947109,0.33009745445566707,0.5352331002331002,0.011190158360275414,-0.010538404360115947,0.012876899770317158,-0.022751334420747532,0.497866253767189,0.6696876435612918,0.08808504899290913,0.11013678591992032,-0.3445016568826784,-0.178539601520881,0.06551799525202098,-0.0009727441312561568,0.05223599976337266,0.0018559727776826795,0.6981907118366246,0.3029403526244534,0.25824398416872857,0.6856387750336101,-0.031234808910562583,0.7709320842605416
R05_sn_net_l10,0.8892681785096078,0.03864330228885511,0.97489975488494,0.9917206151282032,1.0,0.2517767767598533,0.13865427178403564,0.1862145275594699,0.7034540774622767,0.7034540774622767,0.8044020997702079,0.8660442338804054,-0.33860677937329764,-0.27608777845508065,0.3233242540451701,0.5788433788433789,0.028180258592530292,-0.038401530876009844,0.006702983819319593,0.07957585060943456,0.4696007946758791,0.6331259861758208,0.03592277327357703,0.07548409351446964,-0.3483488588884055,-0.12580829222493684,0.04782007062811699,-0.02612957404506722,0.061266676440404635,-0.022406021277809766,0.6892334905048682,0.2924643251739002,0.20718735573157385,0.6493458141491524,-0.03695424604613719,0.7374991570833528
R06_frac_sn,0.32556266948481977,-0.3037128808284479,0.30002968789836054,0.2813589077558451,0.2517767767598533,1.0,0.7886727737236581,-0.3856462517820091,0.07239276948289361,0.07239276948289361,0.3118621074891274,0.3148899874202365,0.6607291434763599,0.5572153929097342,0.8910605893981294,0.06989992519090435,0.006148258815892881,-0.01792200546643027,-0.01795660652162834,-0.1908123184363421,0.15637001535790823,0.2478119883655899,9.886949294557377e-05,0.003232937742651231,-0.2199565339324339,-0.13365221337145647,-0.0297233793160793,0.007295458142111093,0.09417897596970128,-0.0048673275549006335,0.41481919799393663,0.1798828308594545,0.04104761086807009,0.2547255492430262,0.017429007486166284,0.310824451196544
R07_kapp_sn,0.1709046254604994,-0.33099866258047084,0.16185025741837883,0.15285193253847465,0.13865427178403564,0.7886727737236581,1.0,-0.3430109955255692,0.00659644690822785,0.00659644690822785,0.1752999085702766,0.1642443575592474,0.675804197778311,0.6243815546176973,0.7901237878809265,-0.035080151117325015,-0.03714680932149562,0.004566177819808884,-0.2181314663994241,-0.16607806350080453,0.04664538906322831,0.10966014395839165,0.02276118903629199,0.08988102746393993,-0.11859158047672012,-0.04742585892259852,-0.056211272178073875,0.04585007128036473,0.010378703403108105,-0.01019707646981609,0.2204378888646228,0.04769579158464994,0.035746715463354506,0.11732047983093331,0.10933504594407667,0.1660256715073262
R08_feo_ret_frac,-0.09034990895874208,0.8871442291785249,0.024277994195308808,0.09533634378487164,0.1862145275594699,-0.3856462517820091,-0.3430109955255692,1.0,0.23015369595274326,0.23015369595274326,-0.09558520575389373,-0.08848419834290795,-0.34248817875139387,-0.1552023374313662,-0.13156576848702134,0.29260858901062037,0.09628805736304995,-0.11479695682244838,0.04432142504269764,0.766597940140439,-0.07825541495455422,-0.1382431085308687,-0.28605031852338864,-0.17704621343985613,-0.02180774483385342,0.4396875614858483,-0.07620873149180629,-0.0980490352449645,0.04901633096673112,-0.09278081040732782,-0.007287042919008527,-0.02840300946444278,-0.2617825749354995,-0.12894893973126895,-0.0030318856126582638,-0.0961338979899413
R09_selectividad,0.5632905757312745,0.19980021816314444,0.6459941099397495,0.673304999313573,0.7034540774622767,0.07239276948289361,0.00659644690822785,0.23015369595274326,1.0,1.0,0.5064960689850474,0.5369966896413865,-0.28564092460274837,-0.28582617371829155,0.1551683928820684,0.9088966352891585,0.0786481582217004,-0.09578011131030577,0.0070052886468428095,0.323311404050436,0.22397565855342555,0.3538660197978171,-0.08789194548333935,0.004794361993429831,-0.3044295586137373,-0.10448366045359322,-0.05566807724055215,-0.09634763418210936,0.09777994013437885,-0.051893303402437474,0.5012938717294915,0.14000525016098003,0.0663634133858426,0.3561050928284754,-0.10951008645533142,0.43238866815363786
R10_log_selectividad,0.5632905757312745,0.19980021816314444,0.6459941099397495,0.673304999313573,0.7034540774622767,0.07239276948289361,0.00659644690822785,0.23015369595274326,1.0,1.0,0.5064960689850474,0.5369966896413865,-0.28564092460274837,-0.28582617371829155,0.1551683928820684,0.9088966352891585,0.0786481582217004,-0.09578011131030577,0.0070052886468428095,0.323311404050436,0.22397565855342555,0.3538660197978171,-0.08789194548333935,0.004794361993429831,-0.3044295586137373,-0.10448366045359322,-0.05566807724055215,-0.09634763418210936,0.09777994013437885,-0.051893303402437474,0.5012938717294915,0.14000525016098003,0.0663634133858426,0.3561050928284754,-0.10951008645533142,0.43238866815363786
