id,fase,rho_boot_media,rango_mediano,rango_p25,rango_p75,prob_top3
R01_sn_ext,Reducción,0.021019701613975008,12.0,10.0,14.0,0.0
R02_feo_ret,Reducción,0.27530500398280944,2.0,2.0,2.0,0.996
R03_sn_net_l03,Reducción,0.01471297607989368,13.0,11.0,15.0,0.0
R04_sn_net_l06,Reducción,0.033623969255840894,10.0,8.0,12.0,0.002
R05_sn_net_l10,Reducción,0.05655851850813881,7.0,6.0,9.0,0.006
R06_frac_sn,Reducción,-0.0322741557190372,16.0,13.0,17.0,0.0
R07_kapp_sn,Reducción,-0.11151702067740511,19.0,18.0,20.0,0.0
R08_feo_ret_frac,Reducción,0.3125960487445566,1.0,1.0,1.0,0.998
R09_selectividad,Reducción,0.015930556628240812,12.0,9.0,14.0,0.0
R10_log_selectividad,Reducción,0.015930556628240812,12.0,9.0,14.0,0.0
R11_util_carbon,Reducción,0.012322963392668616,13.0,11.0,15.0,0.004
R12_d_avance,Reducción,0.031103273392611087,10.0,8.0,13.0,0.01
R13_sn_residual,Reducción,-0.10589239932214001,19.0,18.0,20.0,0.0
R14_log_sn_feo_next,Reducción,0.050620129437224576,8.0,6.0,14.0,0.004
R15_d_log_sn_feo,Reducción,0.07675892632471189,6.0,5.0,9.0,0.028
R16_feo_por_sn_disp,Reducción,0.08929498784265132,6.0,5.0,8.0,0.012
R17_dT,Reducción,-0.03799481246635242,16.0,13.0,18.0,0.0
R18_T_ventana,Reducción,-0.07821067232571355,18.0,16.0,19.0,0.0
R19_T_gas_bhf,Reducción,0.11525757385090608,5.0,4.0,7.0,0.088
R20_fe_metalizado_por_sn,Reducción,0.2171127036286058,3.0,3.0,3.0,0.852
F01_sn_ext,Fusión,0.06422031834273478,7.0,5.0,9.0,0.146
F02_frac_sn_ext,Fusión,0.01388669689469765,12.0,9.0,13.0,0.004
F03_feo_formado,Fusión,0.05842223784063253,8.0,5.0,11.0,0.1
F04_feo_ret_por_fe,Fusión,0.10762849097080678,4.0,3.0,6.0,0.422
F05_ley_feo_next,Fusión,0.12154749261867549,4.0,2.0,6.0,0.486
F06_B2_ventana,Fusión,0.09077933189275966,5.0,3.0,10.0,0.324
F07_T_media,Fusión,0.010986253543056984,12.0,8.0,14.0,0.022
F08_T_ventana,Fusión,-0.033827576265195,15.0,12.0,15.0,0.004
F09_T_gas_bhf,Fusión,0.07832548456682834,6.0,3.0,10.0,0.28
F10_irf_next,Fusión,0.19491197958801088,1.0,1.0,2.0,0.93
F11_log_sn_feo_next,Fusión,0.042095829658254404,9.0,6.0,12.0,0.084
F12_d_log_sn_feo,Fusión,0.05554204214992173,8.0,5.0,11.0,0.084
F13_masa_por_carga,Fusión,0.03620091274179404,10.0,7.0,12.0,0.026
F14_sn_ret_por_c,Fusión,-0.003236446819268679,13.0,11.0,15.0,0.0
F15_dT,Fusión,-0.06494067445078082,15.0,14.0,16.0,0.0
F16_sn_ret_frac,Fusión,0.06361858080149188,7.0,5.0,9.0,0.088
