,irf_F0,sio2_F0,al2o3_F0,feo_F0,cao_F0,masa_F0,feed_total_F0,frac_dross_F0,frac_Fe_F0,frac_sec_F0,cal_F0,T_F0,lanza_F0,gn_F0,C_F0,exc_o2_F0,kpi,irf_Rfin_prev,sio2_Rfin_prev,al2o3_Rfin_prev,kpi_prev,gap_h,es_lockbox
AP0001,0.20731935307358032,33.2576,10.101,12.116800322320708,15.0865,5441.010315871888,6775.154087683817,1.6927996570582922e-28,0.15263287776351453,1.2780185158745166e-05,0.12115709999809532,1137.7781647300728,649.6619319209346,19.924789004855686,0.11893956921242946,23.480823933131205,79.91765201995008,,,,,,False
AP0002,0.2000271482591093,42.5793,12.6027,15.896377502014504,24.2891,4316.8982268756035,8453.567885995459,2.8676148698020367e-26,0.15417914062799307,1.2334377960164267e-06,0.12403469651685076,1299.4160915141351,503.8767057146345,25.08960090919777,0.11825050398652655,18.4031747388893,73.05531072136027,0.20249413242088107,45.7386,13.4395,79.91765201995008,1.5166666666666666,False
AP0003,0.2347297056749077,38.9723,11.1594,16.270359967767927,19.1836,7430.343564348363,10239.892332606416,0.0,0.15308080483972214,1.4066279814885955e-05,0.13920140385377622,1308.9086794804994,923.943834092882,24.545971905743635,0.15042629398516252,19.056584276712314,79.15175258246624,0.18356901987889115,48.0809,13.4205,73.05531072136027,1.55,False
AP0004,0.20645258758039672,42.6932,12.4368,16.021938866505508,22.4759,5612.468299029097,8767.806942307616,1.4673653258169427e-27,0.1536062595642481,2.342752758725333e-06,0.14387323657122822,1231.0997451334654,577.3798814856488,24.752775833695022,0.14905984278901077,18.912748202795406,72.52505027310832,0.20127653123948913,45.2884,13.15,79.15175258246624,1.3,False
AP0005,0.15125975558658047,40.5242,11.8034,11.168143045930702,21.5066,5788.535726311314,9175.78840511896,2.481579624137481e-23,0.15496441880174713,0.016061308855746876,0.13567414259687574,1257.2253405949073,446.5637154414736,24.843572206850407,0.13607661406053595,19.01867213931296,71.60074551166002,0.19421114182257757,45.3089,13.1893,72.52505027310832,1.25,False
AP0006,0.15388562081113888,39.2091,11.5195,11.312101208702657,22.7812,6162.661987086134,10254.638036479451,6.915688653554064e-24,0.15557346387828272,1.583274115360535e-06,0.13690667067991927,1240.6901323970412,602.1982150607639,25.031388968008535,0.13371180968673793,18.821391334920573,73.67015516465584,0.18090255094067756,44.9738,13.3106,71.60074551166002,1.2666666666666666,False
AP0007,0.14071885811312163,39.2231,11.3219,10.123385012087025,21.3955,7063.378894544688,9947.175360957413,7.845986602103988e-26,0.15759638660419828,3.220335651025557e-06,0.15192707241433928,1232.3357779102696,466.28986206054685,24.395003125226058,0.11603903911966666,18.985288950217694,74.14683229482415,0.17894117320634226,46.2562,13.5058,73.67015516465584,1.0333333333333334,False
AP0008,0.14819022681327984,39.9928,11.7157,10.97581288208434,22.3572,,0.0,,,,,1170.3022616733442,,,,,59.56529046993668,0.1821573893400615,45.5967,13.244,74.14683229482415,1.5333333333333334,False
AP0009,0.216566296639985,39.5558,12.0464,16.282710265914584,23.5836,1.303306381328641e-17,10671.54490867415,0.20375068780381092,2.247766352525578e-05,0.6057214063031631,2.8802442980602055e-22,1266.3005443155487,494.7643107096354,26.68811836751302,0.06157009491308736,19.07501961397997,77.74576970038642,0.1936396935196355,45.8079,12.9462,59.56529046993668,1.3,False
AP0010,0.15968172171416026,36.7363,11.4913,11.870180306204674,26.1089,4.116359250338517e-21,3046.1230449501745,0.20813273819576433,0.00013722272114621823,0.5987306253887793,3.5282098078517128e-25,1248.872050964704,5095.466924031575,13.049192388765103,0.08050982999968144,51.8764292223063,68.50557650116588,0.1960057452640059,42.6792,13.2938,77.74576970038642,1.3833333333333333,False
AP0011,0.1921983415885942,34.5995,11.2939,14.6222384098845,30.1855,3.560438357196777e-21,10899.379674071311,0.2577473893506591,3.235881033566731e-05,0.5501924655379798,9.86052557530717e-26,1240.0277580250663,593.1988372802734,27.100783420138885,0.083675688653129,18.587993113025306,65.4900480917299,0.14426315310486357,43.1333,13.1027,68.50557650116588,1.4833333333333334,False
AP0012,0.26356338090594456,34.9571,11.2171,17.20602370131614,19.1081,5.624505420798681e-21,12775.241364755937,0.20143048383703183,4.190291968142372e-05,0.6025703040282244,8.412648259441829e-26,1200.284721572247,488.34190368652344,26.177896445945454,0.08307863109346339,19.554646839621835,74.17638638591971,0.23687445865804177,40.8231,13.3133,65.4900480917299,1.05,False
AP0013,0.18451536327723622,38.4643,12.4616,13.143933451517594,20.309,2.151281836392104e-22,10226.69470319381,0.21364362927595587,4.139145066249602e-05,0.5881239618227553,4.272189997188699e-27,1173.6631503395927,496.49055844261534,26.497084784613715,0.06080502221941454,19.412782535494426,64.58338515029256,0.19428215722731582,44.5366,13.7189,74.17638638591971,1.3666666666666667,False
AP0014,0.1938035616483967,38.4927,12.4414,14.129384324469514,21.9716,1.4976013016896186e-17,10546.655816659393,0.2042384948053648,2.0940547622171682e-05,0.6045907492260602,3.119917567446137e-22,1166.3150414664137,504.78561799422556,27.029256157769098,0.065073176614481,18.714283416170304,72.27735907223597,0.22251573319628273,42.0677,13.0415,64.58338515029256,1.85,False
AP0015,0.2711199340091104,34.5481,11.2277,18.20922812785388,21.3872,2.349658534208406e-19,10600.773354489118,0.20020372290538221,2.7964787380326716e-05,0.6025993290497608,4.740467069937073e-24,1239.3777178969365,524.12957127889,26.449993014865456,0.06975395162690383,19.387485371333213,76.89084849130701,0.24277092848849677,41.6011,12.9927,72.27735907223597,1.0166666666666666,False
AP0016,0.1835175294881918,36.1674,11.5452,12.483321149610529,20.3099,4.274148146817129e-22,10877.453671096173,0.21315853852783984,2.8259674644171252e-05,0.6301268853140367,7.98050022292517e-27,1246.2992607384701,576.4870036732067,26.852297709147134,0.0675882632281677,19.29042978706408,73.18325133927344,0.2310967974372561,42.2893,12.963,76.89084849130701,1.6833333333333333,False
