,0
interaccion_Sn_x_FeO_prev__F_mean,0.045619605562551666
ley_feo_escoria_pct_prev__F_mean,0.02053569543465821
feo_inventario_escoria_est_kg__R_last,0.01987912354733088
ley_fe_total_escoria_pct__F_first,0.017560521505677818
feo_extraido_est_kg__R_sum,0.015267690650283439
termocupla_50mm_N_celsius__heel_prev,0.010232526392673025
interaccion_C_x_FeO_prev__R_mean,0.009354857185804333
total_process_gas_nm3_min__heel_prev,0.0085065644898358
d_ley_sn_escoria_pct__heel_prev,0.008246705966607282
tasa_gn_nm3_min__heel_prev,0.007380186407178302
grad_contrapresion_gn_lanza_kpa__F_last,0.007005776065245795
tiro_horno_pct__R_sum,0.006946691154229567
grad_contrapresion_gn_lanza_kpa__F_mean,0.00629392444726593
temperatura_gas_pre_bhf_celsius_prev__F_last,0.006077341207245279
ley_sio2_escoria_pct_prev__R_sum,0.005982943314032552
masa_escoria_est_kg_prev__R_last,0.005937154588512272
presion_suministro_o2_lanza_kpa__F_sum,0.005218538826653773
interaccion_C_x_Sn_prev__heel_prev,0.005179768758669235
d_presion_suministro_o2_lanza_kpa__F_mean,0.005028993063034726
feed_dross_Fe_kgh__R_last,0.004977515320710823
d_ley_sio2_escoria_pct__R_last,0.004940589270917828
feo_extraido_est_kg__F_sum,0.004819831411921149
d_posicion_vertical_lanza_mm__F_first,0.004399984997241657
presion_suministro_gn_lanza_kpa__F_sum,0.004385111862904978
presion_suministro_gn_lanza_kpa__R_mean,0.004289333910396054
indice_irf__F_first,0.003984561529221086
ley_fe_total_escoria_pct__R_mean,0.00389546381296626
presion_suministro_gn_lanza_kpa__F_last,0.0038122465870784163
lanza_pos_x_gas_total__F_last,0.003811959051178415
ratio_feo_sio2_prev__F_first,0.003810231709557188
cum_feed_Sn_kg_prev__F_mean,0.003656982653834029
d_ley_as_escoria_pct__F_mean,0.003556155405162875
grad_ley_fe_total_escoria_pct__R_sum,0.0034396686178328473
sn_inventario_escoria_est_kg__R_last,0.0033476559095731995
contrapresion_aire_lanza_kpa__F_last,0.00328666607643211
tasa_gn_nm3_min__F_first,0.0032630120899015624
d_presion_suministro_o2_lanza_kpa__heel_prev,0.0030746636157133354
sn_ret__F_first,0.0028159450848160407
grad_tiro_horno_pct__F_first,0.0028031487852035798
avance_reduccion_sn_prev__F_last,0.0027547897864356853
