id,fase,familia,agg,n_dev,rho_dev,p_spearman_dev,p_bh_dev,ci_dev,rho_lockbox,p_lockbox,n_lockbox,rho_total,p_total,rho_f_dross_dev,rho_f_polvo_dev,rho_recuperacion_dev,coef_ols_dev,p_ols_dev,coef_ols_lockbox,p_ols_lockbox,coef_ols_total,p_ols_total,rho_tercio1,rho_tercio2,rho_tercio3,n_tercios_pos,rho_mc_media,rho_mc_sd,frac_rho_mc_positivo,dir_ok
MX03_feo_sio2_F,Fusión,matriz,last,298,0.1969679965011158,0.0006274484785553538,0.007529381742664246,"[0.078, 0.310]",0.3043394777265745,0.015305158610479937,63,0.2238693928773664,1.759727285899979e-05,-0.02827425792117942,-0.2413606560090365,0.2687096322929413,1.1682132613510838,3.792397365695006e-06,1.2717491317854492,0.16993460711111597,1.1540620890975983,1.3830823228399602e-06,0.16990099009900989,0.18605460546054603,0.281398032502598,3,0.19418538599163054,0.010118970442716826,1.0,True
MX01_nbo_t_F,Fusión,matriz,last,298,0.17778126940659766,0.0020654266921327252,0.012392560152796352,"[0.079, 0.291]",0.20962941628264212,0.0991598156088328,63,0.18734179152446395,0.00034506163256152337,0.008774644607734774,-0.25360856437599943,0.1758722100128578,0.820779275297789,0.0017230448361913939,0.4673768292719487,0.5586703337967338,0.8309317470926583,0.0006367792335766924,0.12645664566456644,0.23476747674767473,0.1962715732966101,3,0.17636299698744984,0.010705594988229056,1.0,True
FE03_fe_metalizado_implicito_kg,Fusión,balance_Fe,sum,298,0.12884586476649504,0.026137999188814817,0.10455199675525927,"[0.019, 0.239]",0.26656105990783413,0.034706374439659494,63,0.15861812134290362,0.0025073825958657255,-0.12246978777471919,-0.03819909947718527,0.06646859608633755,0.442902949282102,0.23831474042793022,3.546139778411285,0.00018547325098337586,0.6112857768610644,0.09859774874631323,0.13332133213321332,0.10216621662166217,0.20112974899425562,3,0.1271924560865325,0.004295563379275938,1.0,True
FE01_frac_fe_retenido_oxido,Fusión,balance_Fe,ratio,298,0.09815535435611301,0.09076244507663685,0.18197385170279148,"[-0.016, 0.214]",0.2460637480798771,0.051899878451963116,63,0.12077715370135134,0.021720785723903135,-0.07675892502271259,-0.05638731142086846,0.09705027650752773,-0.5643022325138037,0.27011182929560873,4.080046599101528,0.05288611667633133,-0.5369311613162886,0.25625688750237074,0.03348334833483348,0.016489648964896488,0.2297815096047791,3,0.09703899446531486,0.010055159403780527,1.0,True
CP02_sdi_fusion_log,Fusión,compuesto,ratio_log,298,0.09815535435611301,0.09076244507663685,0.18197385170279148,"[-0.030, 0.215]",0.2460637480798771,0.051899878451963116,63,0.12077715370135134,0.021720785723903135,-0.07675892502271259,-0.05638731142086846,0.09705027650752773,0.10489178036484635,0.6249611786301345,74.2209607636513,0.053947217593805476,0.057253525681810635,0.7915373401156915,0.03348334833483348,0.016489648964896488,0.2297815096047791,3,0.09703899446531486,0.010055159403780527,1.0,True
FE02_frac_fe_metalizado_implicito,Fusión,balance_Fe,ratio,298,0.09808749807214966,0.09098692585139574,0.18197385170279148,"[-0.017, 0.211]",0.2460637480798771,0.051899878451963116,63,0.12072997974434163,0.02177256907911969,-0.07665311992503879,-0.05640408644671469,0.09707877610745334,-0.5643022325138086,0.2701118292956076,4.0800465991015535,0.0528861166763278,-0.5369311613162866,0.25625688750237086,0.03288674196342784,0.016489648964896488,0.2297815096047791,3,0.09697078912221047,0.01005706006387745,1.0,True
PV02_T_precuchilla_F,Fusión,polvo,twmean,299,0.08251352382662566,0.15466546666928568,0.26514080000448975,"[-0.025, 0.195]",0.07018049155145929,0.584680831564537,63,0.077651496706218,0.14033679913328873,-0.14738703957262464,0.037466723530336025,0.002684563758389262,0.10788254020267538,0.713113088906813,0.07340125050633706,0.8932458844656127,0.1409249603601168,0.5806761838896721,0.06579057905790578,0.02251425142514251,0.1505751391465677,3,0.08251352382662565,1.3877787807814457e-17,1.0,True
TH02_sobrecal_resid_F,Fusión,termico,twmean,298,0.06964960597875684,0.23062837794790067,0.34594256692185105,"[-0.050, 0.186]",0.05616359447004608,0.661963940209771,63,0.010990802099753599,0.8351451934658036,-0.14566826034582087,0.08883089157381541,0.0051324676361151405,0.7497294399696881,0.07539952304984522,1.6989216859896559,0.3959671212009662,0.8770805552221494,0.025024794896436945,0.3806780678067806,-0.010285028502850284,0.0618620456617511,2,0.06879005765495405,0.001745936736251453,1.0,True
PV07_fume_intensidad_F,Fusión,polvo,sum,299,0.014215169132006015,0.8066221080313326,0.8066221080313326,"[-0.107, 0.132]",0.23838325652841783,0.05991187366430858,63,0.07342699665492955,0.16328903005830261,0.09485353864110795,-0.14614845906938118,0.08522771654957241,-0.6196961606424103,0.17874377668690933,15.23900114509702,0.31626044633278605,-0.5958497595039023,0.17964253199681002,-0.27435943594359435,0.11215121512151213,0.10060606060606062,2,0.014215169132006015,0.0,1.0,True
SB03_sn_metal_eq_l06_F,Fusión,balance_Sn,sb_custom,298,-0.030240906517533302,0.6030887161379244,0.6579149630595539,"[-0.134, 0.080]",-0.21846198156682028,0.08541251913678875,63,-0.07212214893150293,0.17151575366341149,0.1291097774902852,-0.10553765528962494,-0.12278494128508717,-0.1525719707655764,0.5761328179160599,-1.7079066206292812,0.0018389562340359227,-0.27713162042965234,0.2907416056030173,0.012157215721572155,0.051725172517251713,-0.11178266995645492,2,-0.048908868261071346,0.003207147270792954,0.0,False
PV05_gas_total_por_carga_F,Fusión,polvo,ratio,299,-0.03346771116248794,0.5643121964085078,0.6579149630595539,"[-0.153, 0.072]",0.17401113671274962,0.17258514432367197,63,0.01796942954450909,0.7333017450055906,0.06140378442683666,-0.0388323494422123,0.03532490853179503,-0.0016498530783098653,0.9961288733845282,0.05645242395919059,0.9528219023976984,-0.010283635004320883,0.9733398287787409,-0.17579357935793574,0.20466846684668463,-0.1457761286332715,1,-0.03346771116248793,6.938893903907228e-18,0.0,False
SB04_sn_metal_eq_l15_F,Fusión,balance_Sn,sb_custom,298,-0.042715544028645865,0.46257037744143437,0.6167605032552458,"[-0.156, 0.070]",-0.1569220430107527,0.21936647688957323,63,-0.08197685985828192,0.1199993414716597,0.14225099868519767,-0.09168903916496562,-0.03199261588523333,-0.21121673138187733,0.41567392722167007,-1.5211730659938807,0.020427972778307487,-0.3358380348057748,0.17531116357754495,-0.11690369036903689,0.03387938793879388,-0.06220632582930078,1,-0.04814199774223118,0.007025720608591962,0.0,False
CP03_sdi_beta_irf,Reducción,compuesto,sum,286,0.32809372912068674,1.3286914585936096e-08,2.3916446254684973e-07,"[0.215, 0.424]",0.09874231950844856,0.44133976253818075,63,0.28754329752847685,4.54128660860364e-08,-0.20108646167696229,-0.1891015274840692,0.1327696693550352,1.5356607548047791,8.650488266699231e-07,0.3041183364579423,0.601392637198812,1.4315465787754218,3.8674463656782086e-08,0.20066218167729213,0.3563636363636363,0.4848676115244598,3,0.3044860454051725,0.022462144329304323,1.0,True
