Batch,orden,lnirf_R,sdi
AP0001,0,,
AP0001,1,,
AP0001,2,,
AP0001,3,,
AP0001,4,,
AP0001,5,,
AP0001,6,,
AP0001,0,-1.5403390589921444,0.6790611007130041
AP0001,1,-1.5158167933887992,0.7669632552235222
AP0001,2,-1.5970443685546996,-0.4130006864925173
AP0001,3,,
AP0002,0,,
AP0002,1,,
AP0002,2,,
AP0002,3,,
AP0002,4,,
AP0002,5,,
AP0002,6,,
AP0002,0,-1.5273654991021903,0.6904389978296955
AP0002,1,-1.483208104979047,0.6951354585669177
AP0002,2,-1.583792140585024,-0.09617805498147958
AP0002,3,-1.69516455207652,-0.8557971965575127
AP0003,0,,
AP0003,1,,
AP0003,2,,
AP0003,3,,
AP0003,4,,
AP0003,5,,
AP0003,6,,
AP0003,0,-1.4704972626256445,1.5690335281667667
AP0003,1,-1.5733616654725644,-0.3638524108967248
AP0003,2,-1.6030755391266625,-0.0156313772125255
AP0003,3,,
AP0004,0,,
AP0004,1,,
AP0004,2,,
AP0004,3,,
AP0004,4,,
AP0004,5,,
AP0004,6,,
AP0004,0,-1.6117605219019857,2.2076531486400905
AP0004,1,-1.5445300343245862,0.2384460858453513
AP0004,2,-1.6388093518428821,-0.027370834149110124
AP0004,3,,
AP0005,0,,
AP0005,1,,
AP0005,2,,
AP0005,3,,
AP0005,4,,
AP0005,5,,
AP0005,6,,
AP0005,0,-1.659961088259896,-0.9810270439691104
AP0005,1,-1.5614040496777861,1.6823692701011508
AP0005,2,-1.5734231140569122,0.5984226091928393
AP0005,3,-1.7097967852945868,-0.6790350695869849
AP0006,0,,
AP0006,1,,
AP0006,2,,
AP0006,3,,
AP0006,4,,
AP0006,5,,
AP0006,6,,
AP0006,0,-1.6757345719291152,0.567085936297862
AP0006,1,-1.720698168461121,0.04598544993679787
AP0006,2,,
AP0006,3,,
AP0007,0,,
AP0007,1,,
AP0007,2,,
AP0007,3,,
AP0007,4,,
AP0007,5,,
AP0007,6,,
AP0007,0,-1.6395153772941025,-0.6042900800475881
AP0007,1,-1.6302380619344532,1.6812858996920503
AP0007,2,-1.6378522345553117,
AP0007,3,-1.7028841890154442,
AP0008,0,,
AP0008,1,,
AP0008,2,,
AP0008,3,,
AP0008,4,,
AP0008,5,,
AP0008,6,,
AP0008,0,-1.5984010863470242,0.46557477555782967
AP0008,1,-1.5998491783019646,-0.061558687884723295
AP0008,2,-1.6115266175470684,-0.20149640363292404
AP0008,3,-1.641756096644619,0.16865928355756366
AP0009,0,,
AP0009,1,,
AP0009,2,,
AP0009,3,,
AP0009,4,,
AP0009,5,,
AP0009,6,,
AP0009,0,-1.5247530725666232,
AP0009,1,-1.5442693317706868,
AP0009,2,-1.629611307609766,
AP0009,3,,
AP0010,0,,
AP0010,1,,
AP0010,2,,
AP0010,3,,
AP0010,4,,
AP0010,5,,
AP0010,6,,
AP0010,0,-1.5721821168546513,
AP0010,1,-1.6471580118304643,
AP0010,2,-1.8704732644830666,
AP0010,3,-1.9361161950481243,
AP0011,0,,
AP0011,1,,
AP0011,2,,
AP0011,3,,
AP0011,4,,
AP0011,5,,
AP0011,6,,
AP0011,0,-1.459310170123776,
AP0011,1,-1.4138677936271165,
AP0011,2,-1.4088080574969493,
AP0011,3,-1.440224988496694,
AP0012,0,,
AP0012,1,,
AP0012,2,,
AP0012,3,,
AP0012,4,,
AP0012,5,,
AP0012,6,,
AP0012,0,-1.3548885743670533,
AP0012,1,-1.4774051417826581,
