Batch,K0_proxy,K1_recuperacion_real,K2_recup_corr_escoria,K3_ventana3_centrada,K3_ventana5_centrada,K5_DP_desplazados_1,K5_DP_desplazados_2,K5_DP_desplazados_3,K6_solo_dross,K7_M_sobre_MD,K8_M_por_Sn_menos_D
AP0001,79.91765201995008,67.62373749669,68.66106582307522,,,73.32495108111651,77.42865897594358,71.22380360672044,91.73630501566433,90.6287494293617,72.70781077333162
AP0002,73.05531072136027,67.26438959007011,68.19809021156783,77.33343087719807,,77.18759475775913,70.94134119377311,72.15088582243601,87.06449002824175,84.95710371468356,76.35883598948581
AP0003,79.15175258246624,74.59717483983012,75.68029993498381,74.89099740544182,75.16687205110435,73.25697188322941,74.40490560794431,75.90824296476922,92.28785923972109,91.12158059753486,80.44415015315961
AP0004,72.52505027310832,71.40497210915369,72.28487572232059,74.43191953402965,74.01488389024833,73.69311930601395,75.22434261425705,74.8933202794577,87.71508006711477,85.5147691915861,81.22988179553509
AP0005,71.60074551166002,66.48723551500777,67.80760019917808,72.59465815905455,74.22827738756251,73.20948251553412,72.86125205393887,64.74821803021842,87.75981881754362,85.40070862156234,75.01326093548695
AP0006,73.67015516465584,66.61048864864912,67.55054292570489,73.14889962190185,70.44039398325305,73.32573091053104,65.28539433604091,77.9970622155334,91.25226487061724,89.38612102521205,72.33151890719834
AP0007,74.14683229482415,70.55223508172128,73.07978919444535,69.28783564674201,71.35547725687447,66.24004506839307,78.71610698684108,69.68647741891313,91.16196882841832,89.34982742345595,77.03013709818582
AP0008,59.56529046993668,56.917572411043,57.701269503358176,70.48412158022165,70.70120621714852,73.52202602816976,63.31575906805891,62.51811840268622,78.31805232971139,73.31361881758053,71.79144649091204
AP0009,77.74576970038642,65.78759067589957,65.78759660151267,68.49468144905154,69.06365873562608,68.46937354126888,67.72667223489238,74.03081055727374,92.53462824063874,91.23897223828673,70.22370132327913
AP0010,68.50557650116588,68.30094269633044,68.30094269633044,70.37545561547985,69.01786408453583,67.76332645808559,74.06304688210626,64.95380259598465,87.74506090726571,84.82558091337903,77.80775237571399
AP0011,65.4900480917299,62.5415150064371,62.5415150064371,69.3479879990898,69.8513982458237,72.05078381983527,62.5917734712787,70.58674973290074,83.0277679425612,79.41818728910096,74.63909206218041
AP0012,74.17638638591971,67.11446843772983,67.11446898034384,67.9321072263759,68.88386630955802,65.08818417395055,72.7816337652345,75.62113901318048,91.28038199347344,89.48125658114215,72.86297227323163
AP0013,64.58338515029256,66.82905218109707,66.82911003277157,70.11850817901053,70.5635209005183,72.34080426499337,75.21063450867379,74.26892350896264,83.32566342771666,79.47968978356097,80.76421457851353
AP0014,72.27735907223597,65.23930703730998,65.23998369744069,71.05242810354513,72.0573568636016,75.15151102362805,74.20832422700857,69.4609622391744,88.74228132164032,86.52336361980652,72.61842174563881
AP0015,76.89084849130701,72.91202180378602,72.91518805019497,74.16891266359157,71.25892406837568,75.99259200618161,71.44728723185237,72.60921279846639,89.62008279151604,88.1060775332365,80.87209519718778
AP0016,73.18325133927344,66.78697420687666,66.7889168254352,73.39167566267841,72.52407277829087,68.32773793991079,69.56252949627066,68.56138723962052,91.05358540256826,89.10696336653011,72.72456436175942
AP0017,70.17902842181307,76.05963970331315,76.05965324872554,71.10441748329784,71.83976750864343,71.37188480181693,70.40493594900575,73.21596989731741,93.15221876597786,91.10987295901411,82.1569924749855
AP0018,70.14778707534529,71.01005050924203,71.01005050924203,69.735047301526,70.7233092746698,69.1573598396087,72.03983271428756,72.38589966458993,86.13100902225295,83.49259362340354,82.60773925119838
AP0019,68.85542078251675,70.74325481605581,70.74325481605581,70.14346873086326,70.41582697822915,71.75458705405848,72.10281734601455,59.333706885502316,90.56282182895417,87.94627040463521,78.3389359254639
AP0020,71.49362988104966,71.32181111876963,71.32181111876963,70.59485723425767,67.63807783981589,71.84381500194654,59.02352694623469,72.75603621321811,92.32313010603568,90.30337068001289,77.23694063994925
AP0021,71.54015202378017,68.30979644844187,69.82893551824112,66.40119260914052,68.32021814784174,58.661155999783254,72.45843996480887,69.85434854162615,89.57178753774886,87.27775950192556,75.86380794465981
AP0022,57.762105962367876,64.27199374552183,64.94532957041739,67.14464906421702,68.5350210970161,71.71477098077045,69.07037928685267,69.51038562529386,84.47507146027296,78.81626860030302,77.69319334563762
AP0023,73.71980227073506,73.95511020108592,74.64650553210119,66.6894701301235,68.5929412401815,71.18755028308439,71.60981752574217,75.08943222033892,92.52029866613364,90.78848884312329,79.95456145699593
AP0024,69.97752808840514,67.2198616368222,68.80628407129903,71.78210091956612,69.24931640352986,70.41015786341181,73.98338823688303,68.94791867260881,90.15210907920552,87.66321424550301,74.24311671170808
AP0025,71.64213374701936,68.17736396153971,69.29982275576886,72.17461380597327,72.00485600617233,75.1191638180949,70.21502130454944,67.21367095977602,91.95281776066545,89.90180535529687,73.83137266680887
AP0026,74.97094771520791,71.45226203507472,72.56405230200127,72.10327099694604,70.47418072224283,70.04923901515667,67.03902525805543,67.60274302301265,93.2518937541093,91.74230987903621,76.3634968690316
AP0027,69.86460301210657,70.45627783754603,71.9281886277735,70.24398112817515,69.85843073061868,66.84461561191837,67.41004193304218,69.57984324901759,88.35130716634846,85.70945670545142,79.83473947162145
AP0028,66.29014116195945,65.64352511167064,66.25646272396597,67.70403880391066,69.79590861746665,66.86033542288183,69.04993188909054,63.74753944346399,90.09844704820382,87.00441948828049,72.77953680009253
AP0029,67.01348465735106,65.86678950590891,66.96610538673583,68.2112641650363,67.77127455419833,69.19762400486364,63.907308450485026,72.12419133542797,86.40268990213816,83.13214732697753,76.02760609218325
AP0030,71.22694488104591,73.8740405289088,75.29039968936746,67.59182529667335,68.20242870953359,66.11449028231168,74.03305691013695,71.28479912930304,88.68642038193411,86.29330297242342,83.69482499394756
AP0031,64.60847930118547,70.86593366109079,71.45571257845958,69.22481905833969,68.97951693108296,72.73383919166622,69.90397512552072,74.57701042427645,83.69479485160214,79.84864332984674,86.30020318025257
AP0032,72.28606164433323,67.76623996221794,68.2374635140988,68.85828461556378,70.17588308901664,69.42925743599557,74.14874385428405,69.24208319589623,87.12218839145547,84.87878590220251,77.07067615910643
AP0033,70.20180396607145,73.63540169701088,75.62847155569696,71.90153652152944,70.42830719453106,74.84523596078459,70.01731712102098,67.81766093433508,88.60972976477774,86.03997956085585,83.62658111448025
AP0034,73.4113115470715,66.62787081729759,67.37129897401732,71.93978101607703,70.57185184645027,68.42428767211929,66.16423802960975,68.94290788282677,87.61243579318857,85.56209029784307,75.06766328842411
AP0035,72.33746690454569,74.33555030458044,75.39878915543642,70.14800850967221,69.95018151601296,70.23566795785433,72.81734782896622,72.45047493972396,92.36347410547233,90.45123842482933,80.66576357560419
AP0036,64.53171549490077,58.37844803076976,58.97027504117333,68.83322227554876,70.02305572715797,67.37835161974371,66.97136735022741,64.09791256500579,84.87662644623343,81.01392675045965,67.63130334718247
AP0037,69.07773087261799,79.77093149653741,80.5671951413448,68.1210995116453,68.97286034576254,68.68209338567245,65.88164825809815,69.49804735710826,88.25857134315922,85.47197381759334,92.28367109593115
AP0038,70.54828998984121,69.73262135424673,70.85926283160795,69.14337189547857,68.62921092377235,67.83657335976235,71.33591424209581,70.36010942900576,90.99011405461596,88.67509738694902,76.54994093395318
AP0039,67.8520960145846,66.33466403718435,67.18092623793125,69.7473354468131,70.28908071532614,71.35046130445156,70.3749460530348,70.17777496324956,84.6709627849796,81.57149750207462,78.02813277274052
AP0040,70.94745298054326,69.05088421936394,71.54246258896083,70.56996273029371,71.37329154000307,69.96399196495607,69.76526082371343,71.72652524295967,89.05794216343855,86.63802271209084,77.28096245165825
AP0041,72.81941645167599,77.68339665320178,78.92633244364181,72.76160398854809,72.01563381505915,72.63218776333804,74.4755206029392,69.32222097542954,90.0760901366618,88.00639241217277,86.88133060849827
