muestra,n,var,coef,se,t,p
DEV,286,xG,-1.2248023891497928,0.4327442210406124,-2.830314836335728,0.0046502219378590295
DEV,286,xC,1.0792549878784623,0.7642333561981363,1.412206074395231,0.1578892924528883
DEV,286,zD_R3,0.4723395329003011,0.5774780636486694,0.8179350223555275,0.41339429096794644
DEV,286,zD_R3_sq,0.017119532357677006,0.25854410273728307,0.06621513380667918,0.9472065481816865
DEV,286,zD_R3_x_leySn,-0.20579890571273174,0.2838187785195362,-0.7251067275612488,0.46838655748798275
DEV,286,z_leySn,-0.22561060564494728,0.260036550520209,-0.8676111307952984,0.38560725092756987
DEV,286,zD_F6,0.21676860236873918,0.2695629758570218,0.8041482762221576,0.42131134652979807
TOTAL,348,xG,-0.5341106068151034,0.3994828240765389,-1.3370051842648696,0.18122094460379112
TOTAL,348,xC,1.5340193034018657,0.6364300294118562,2.4103502859843022,0.01593721082351286
TOTAL,348,zD_R3,0.22067588337069755,0.4653864071924063,0.47417775843947835,0.6353731524823109
TOTAL,348,zD_R3_sq,0.04323592368818713,0.191989272578899,0.2251996848960355,0.8218239345704957
TOTAL,348,zD_R3_x_leySn,-0.10306841348292939,0.25435982017521735,-0.4052071329973817,0.6853252622583679
TOTAL,348,z_leySn,-0.21243260991848523,0.247927890920928,-0.8568322391216431,0.391537605684087
TOTAL,348,zD_F6,0.028901341534002256,0.2524542440973215,0.11448150391506488,0.908856107733039
