var,coef,se,t,p,n,target
const,-0.01251545538884959,0.0251961128689577,-0.49672167504333464,0.6193853353364113,203,m6_ln_sn_dep
zD_R3,0.1431016571425408,0.21079190676135864,0.6788764300355649,0.49721616116623235,203,m6_ln_sn_dep
extra_C_kg_z,-0.01715515825217779,0.051614313134229775,-0.33237211173504444,0.7396082943101376,203,m6_ln_sn_dep
extra_GN_nm3_z,-0.08767245136819302,0.22592679170925611,-0.38805690420735134,0.697973923196924,203,m6_ln_sn_dep
const,0.002212768706700443,0.004046107755039661,0.5468882295446312,0.5844555227026913,203,m8_ln_feo_ret_dross50
zD_R3,0.010068357609351701,0.05044021226724212,0.19960973907103266,0.8417858103958307,203,m8_ln_feo_ret_dross50
extra_C_kg_z,-0.00573514095574936,0.015018475697511267,-0.38187237315300504,0.702556033177437,203,m8_ln_feo_ret_dross50
extra_GN_nm3_z,-0.004832850085111597,0.05650325053581411,-0.08553224884023859,0.9318382585341521,203,m8_ln_feo_ret_dross50
const,-0.14841830752785345,0.5461610422797565,-0.2717482501284486,0.78581559857698,294,d_temperatura_horno_celsius
zD_R3,4.589291578394849,6.857239421997657,0.6692622637139731,0.5033281943003443,294,d_temperatura_horno_celsius
extra_C_kg_z,1.7375267194176431,2.730062162808151,0.6364421818257857,0.5244882547423564,294,d_temperatura_horno_celsius
extra_GN_nm3_z,-5.213056209580695,8.274985274981406,-0.6299777022373504,0.5287091730007749,294,d_temperatura_horno_celsius
