s,beta_expansivo,beta_ventana1,beta_ventana2,estable,canal,palanca
260,0.26611160542222,2.291308140673579,-0.2526812798389377,False,f_polvo,xG
270,0.25871051958272123,2.193178712144986,-0.4237297889130507,False,f_polvo,xG
280,0.2465132109641213,2.2287869665040323,-0.6089848296072523,False,f_polvo,xG
290,0.2860054936337041,1.6938537015575186,-0.32720232796943405,False,f_polvo,xG
300,0.16880151558434717,0.6184775738057573,-0.401247388676811,False,f_polvo,xG
310,0.08002314296735485,0.26892654065744254,-0.8634304847055239,False,f_polvo,xG
320,0.0630039399324095,-0.13768453943510997,-0.8271036146339985,False,f_polvo,xG
330,0.02211570808711268,-0.27625739170855473,-1.0342769869680857,False,f_polvo,xG
340,-0.03279353223661344,-0.2526812798389377,-1.1516070209936689,True,f_polvo,xG
350,-0.005814968094425216,-0.4237297889130507,-0.9762350651831261,True,f_polvo,xG
360,-0.07837992271571498,-0.6089848296072523,-1.3405127273013506,True,f_polvo,xG
