s,beta_expansivo,beta_ventana1,beta_ventana2,estable,canal,palanca
260,-0.26578799102870787,-0.28333455412095376,-0.62770828392655,True,sn_perdido_escoria_frac,xC
270,-0.272686716874117,-0.5629098993967534,-0.5630499049771186,True,sn_perdido_escoria_frac,xC
280,-0.30576358627497,-0.6810296810261124,-0.6510769306125646,True,sn_perdido_escoria_frac,xC
290,-0.31470654978728585,-0.8516002662456803,-0.5531746920791468,True,sn_perdido_escoria_frac,xC
300,-0.3141133684440926,-0.9684447686728145,-0.6284521659254705,True,sn_perdido_escoria_frac,xC
310,-0.3157605567233395,-1.2350674014589347,-0.5192679958872304,True,sn_perdido_escoria_frac,xC
320,-0.3122800928234502,-0.9315384928457913,-0.6424138215923991,True,sn_perdido_escoria_frac,xC
330,-0.30747709697740044,-0.9162063216394374,-0.7137756001935679,True,sn_perdido_escoria_frac,xC
340,-0.2905038614604729,-0.62770828392655,-0.6217482977806427,True,sn_perdido_escoria_frac,xC
350,-0.25816333585557877,-0.5630499049771186,-0.391029644844765,True,sn_perdido_escoria_frac,xC
360,-0.2417526794562449,-0.6510769306125646,-0.04212891724601081,True,sn_perdido_escoria_frac,xC
