canal,palanca,W,s,beta
f_dross,xG,80,80,0.31103274610845355
f_dross,xG,80,90,0.7481029142114617
f_dross,xG,80,100,0.6042234201198782
f_dross,xG,80,110,0.2243388016660632
f_dross,xG,80,120,0.8499208934679678
f_dross,xG,80,130,0.8966616810390734
f_dross,xG,80,140,0.8252181149537948
f_dross,xG,80,150,1.1458749267776613
f_dross,xG,80,160,1.4537435292229732
f_dross,xG,80,170,0.2482716370524046
f_dross,xG,80,180,0.7155882095395751
f_dross,xG,80,190,0.26447257981676425
f_dross,xG,80,200,-0.022784066595663652
f_dross,xG,80,210,0.7631827069898496
f_dross,xG,80,220,1.0734657228105091
f_dross,xG,80,230,0.8651793318378703
f_dross,xG,80,240,1.3579662617977928
f_dross,xG,80,250,1.484146777053067
f_dross,xG,80,260,1.2353058683345057
f_dross,xG,80,270,1.5549035839860057
f_dross,xG,80,280,1.5951995516652118
f_dross,xG,80,290,1.4403063209738165
f_dross,xG,80,300,1.2044931163590509
f_dross,xG,80,310,1.0150757268599113
f_dross,xG,80,320,1.1667312420112717
f_dross,xG,80,330,0.6759177129526149
f_dross,xG,80,340,0.8837371278156921
f_dross,xG,80,350,0.3201298841236019
f_dross,xG,80,360,0.3164956571149812
f_dross,xG,90,90,0.32101198957430077
f_dross,xG,90,100,0.653807388355148
f_dross,xG,90,110,0.5851810452003245
f_dross,xG,90,120,0.348696667837068
f_dross,xG,90,130,0.8249871433933326
f_dross,xG,90,140,0.8363592639043811
f_dross,xG,90,150,0.872544632732991
f_dross,xG,90,160,1.3255376053601082
f_dross,xG,90,170,0.7014134189735863
f_dross,xG,90,180,0.38436656995543805
f_dross,xG,90,190,0.7993644110925747
f_dross,xG,90,200,0.19372858295747233
f_dross,xG,90,210,0.36730288804650013
f_dross,xG,90,220,1.1205421011592143
f_dross,xG,90,230,1.1182460264773435
f_dross,xG,90,240,1.1164833793984557
f_dross,xG,90,250,1.4001574305894893
f_dross,xG,90,260,1.3995374983975755
f_dross,xG,90,270,1.5210624416779808
f_dross,xG,90,280,1.4509270101317562
f_dross,xG,90,290,1.4347112845822791
f_dross,xG,90,300,1.2160495625954468
f_dross,xG,90,310,1.1276996245203113
f_dross,xG,90,320,1.2262167599077032
f_dross,xG,90,330,0.8639501653182399
f_dross,xG,90,340,0.8026536016527837
f_dross,xG,90,350,0.7356860241807022
f_dross,xG,90,360,0.29411197553889656
f_dross,xG,100,100,0.2965022361786288
f_dross,xG,100,110,0.6747735439247903
f_dross,xG,100,120,0.664572230989811
f_dross,xG,100,130,0.34536771893127044
f_dross,xG,100,140,0.8168669342226027
f_dross,xG,100,150,0.8951025742985965
f_dross,xG,100,160,1.0405586137248768
f_dross,xG,100,170,0.6545276356465846
f_dross,xG,100,180,0.805728044517074
f_dross,xG,100,190,0.2674154353791267
f_dross,xG,100,200,0.6152589479399582
f_dross,xG,100,210,0.4511017051587104
f_dross,xG,100,220,0.8928833502342456
f_dross,xG,100,230,1.1586183487594106
f_dross,xG,100,240,1.2328002581376352
f_dross,xG,100,250,1.164286925618691
f_dross,xG,100,260,1.3309397716361149
f_dross,xG,100,270,1.6680450537491542
f_dross,xG,100,280,1.3817873580949749
f_dross,xG,100,290,1.3091650935686963
f_dross,xG,100,300,1.1259168846511978
f_dross,xG,100,310,1.1305790504094688
f_dross,xG,100,320,1.2864508301901498
f_dross,xG,100,330,0.97352879934235
f_dross,xG,100,340,0.9276934738528646
f_dross,xG,100,350,0.6466041750568092
f_dross,xG,100,360,0.7014046675044622
f_dross,xC,80,80,0.22138522131328553
f_dross,xC,80,90,0.1033987087673148
f_dross,xC,80,100,0.716993488034023
f_dross,xC,80,110,0.9955740224337272
f_dross,xC,80,120,0.8788998853294608
f_dross,xC,80,130,1.0851698744558236
f_dross,xC,80,140,1.6254460797958292
f_dross,xC,80,150,-0.2498387276553472
f_dross,xC,80,160,-1.0140755448714573
f_dross,xC,80,170,0.3964367445718645
f_dross,xC,80,180,1.050536154020499
f_dross,xC,80,190,0.7757360444649789
f_dross,xC,80,200,1.2841128720355823
f_dross,xC,80,210,1.7235644368675302
f_dross,xC,80,220,0.17154881839840302
f_dross,xC,80,230,0.30123514601687107
f_dross,xC,80,240,-0.8591360618014916
f_dross,xC,80,250,-0.9392473633378053
f_dross,xC,80,260,-0.36501334722868595
f_dross,xC,80,270,-2.049216980053431
f_dross,xC,80,280,-3.1907801954239123
f_dross,xC,80,290,-3.1452511643509053
f_dross,xC,80,300,-2.199261263800803
f_dross,xC,80,310,-1.922181292908862
f_dross,xC,80,320,-1.655735468908763
f_dross,xC,80,330,-2.3543766215904576
f_dross,xC,80,340,-3.3442405602059266
f_dross,xC,80,350,-1.0319181801064443
f_dross,xC,80,360,-0.36388389560633944
f_dross,xC,90,90,0.25516985000790754
f_dross,xC,90,100,-0.0015327169947003387
f_dross,xC,90,110,0.7809250340368824
f_dross,xC,90,120,0.9489544367689411
f_dross,xC,90,130,0.9159169982232096
f_dross,xC,90,140,1.2523878112692353
f_dross,xC,90,150,1.1034202203457564
f_dross,xC,90,160,-0.6741431922184447
f_dross,xC,90,170,0.09609235184412256
f_dross,xC,90,180,0.5742842262148999
f_dross,xC,90,190,1.0340123262475058
f_dross,xC,90,200,1.006674937694894
f_dross,xC,90,210,1.7183210808548695
f_dross,xC,90,220,0.5190632007778029
f_dross,xC,90,230,-0.751438432254633
f_dross,xC,90,240,-0.6962542737025115
f_dross,xC,90,250,-0.25361377583763894
f_dross,xC,90,260,-0.2159229029481589
f_dross,xC,90,270,-1.2963552115656423
f_dross,xC,90,280,-2.4967672135850525
f_dross,xC,90,290,-3.085232342331506
f_dross,xC,90,300,-2.4940123098628524
f_dross,xC,90,310,-1.9152064724674698
f_dross,xC,90,320,-1.9600996230109098
f_dross,xC,90,330,-1.078518187453639
f_dross,xC,90,340,-2.6291672596688835
f_dross,xC,90,350,-1.570257218072715
f_dross,xC,90,360,-1.024689820173226
f_dross,xC,100,100,0.09329436404656824
f_dross,xC,100,110,0.14127703800738825
f_dross,xC,100,120,0.7452959595942132
f_dross,xC,100,130,0.9639294557660376
f_dross,xC,100,140,1.0312516939667655
f_dross,xC,100,150,0.9353167867858572
f_dross,xC,100,160,0.5811544753678766
f_dross,xC,100,170,0.2772490352977684
f_dross,xC,100,180,0.2079150187186207
f_dross,xC,100,190,0.9357044400189312
f_dross,xC,100,200,1.0655997026710597
f_dross,xC,100,210,1.5010607575006172
f_dross,xC,100,220,0.6391594094024273
f_dross,xC,100,230,-0.29728037482737274
f_dross,xC,100,240,-1.335994587121758
f_dross,xC,100,250,-0.17072368472403135
f_dross,xC,100,260,0.2703687159541229
f_dross,xC,100,270,-1.0890348673611294
f_dross,xC,100,280,-1.6003117184609588
f_dross,xC,100,290,-2.4760977377357563
f_dross,xC,100,300,-2.2770827658675565
f_dross,xC,100,310,-2.2209476686693153
f_dross,xC,100,320,-2.021378142829782
f_dross,xC,100,330,-1.4804933023807547
f_dross,xC,100,340,-1.3301100016969494
f_dross,xC,100,350,-1.2804288326505535
f_dross,xC,100,360,-1.4570316723068848
f_polvo,xG,80,80,-0.23382608977026537
f_polvo,xG,80,90,0.06509126124168975
f_polvo,xG,80,100,0.09107626924070596
f_polvo,xG,80,110,0.19212008115091314
f_polvo,xG,80,120,0.5178189173453489
f_polvo,xG,80,130,1.3336101392292055
f_polvo,xG,80,140,1.4457631930141712
f_polvo,xG,80,150,1.1901424714785533
f_polvo,xG,80,160,1.5154663685387122
f_polvo,xG,80,170,1.9160133555115577
f_polvo,xG,80,180,2.291308140673579
f_polvo,xG,80,190,2.193178712144986
f_polvo,xG,80,200,2.2287869665040323
f_polvo,xG,80,210,1.6938537015575186
f_polvo,xG,80,220,0.6184775738057573
f_polvo,xG,80,230,0.26892654065744254
f_polvo,xG,80,240,-0.13768453943510997
f_polvo,xG,80,250,-0.27625739170855473
f_polvo,xG,80,260,-0.2526812798389377
f_polvo,xG,80,270,-0.4237297889130507
f_polvo,xG,80,280,-0.6089848296072523
f_polvo,xG,80,290,-0.32720232796943405
f_polvo,xG,80,300,-0.401247388676811
f_polvo,xG,80,310,-0.8634304847055239
f_polvo,xG,80,320,-0.8271036146339985
f_polvo,xG,80,330,-1.0342769869680857
f_polvo,xG,80,340,-1.1516070209936689
f_polvo,xG,80,350,-0.9762350651831261
f_polvo,xG,80,360,-1.3405127273013506
f_polvo,xG,90,90,-0.20548490574282363
f_polvo,xG,90,100,0.17413385840876378
f_polvo,xG,90,110,0.1431627721754768
f_polvo,xG,90,120,0.3204406864393746
f_polvo,xG,90,130,0.8527434757880736
f_polvo,xG,90,140,1.5292960754559657
f_polvo,xG,90,150,1.3707868086098551
f_polvo,xG,90,160,1.2722145890825716
f_polvo,xG,90,170,1.5030927175426974
f_polvo,xG,90,180,1.9152708693975218
f_polvo,xG,90,190,2.4616060997850093
f_polvo,xG,90,200,2.0302619147998646
f_polvo,xG,90,210,1.926970851779043
f_polvo,xG,90,220,0.8131965506145351
f_polvo,xG,90,230,0.30481624850602224
f_polvo,xG,90,240,0.1345316235555101
f_polvo,xG,90,250,-0.19545159674570425
f_polvo,xG,90,260,-0.285251600610727
f_polvo,xG,90,270,-0.2668774364428325
f_polvo,xG,90,280,-0.44204634648584634
f_polvo,xG,90,290,-0.350384686973349
f_polvo,xG,90,300,-0.47722855253263785
f_polvo,xG,90,310,-0.8081015591166255
f_polvo,xG,90,320,-0.8389087708055174
f_polvo,xG,90,330,-0.9304017327440819
f_polvo,xG,90,340,-1.141671469868323
f_polvo,xG,90,350,-0.9602074747552032
f_polvo,xG,90,360,-1.2009785803625372
f_polvo,xG,100,100,-0.09606062025491809
f_polvo,xG,100,110,0.24498215397953357
f_polvo,xG,100,120,0.267079398474127
f_polvo,xG,100,130,0.6242452652064611
f_polvo,xG,100,140,1.0263690664956748
f_polvo,xG,100,150,1.4665077685415902
f_polvo,xG,100,160,1.4172248617166658
f_polvo,xG,100,170,1.3111942059096606
f_polvo,xG,100,180,1.5169439220942114
f_polvo,xG,100,190,2.0837262702706645
f_polvo,xG,100,200,2.2551204422566045
f_polvo,xG,100,210,1.8395700502847077
f_polvo,xG,100,220,1.0181894954132686
f_polvo,xG,100,230,0.5002014118313219
f_polvo,xG,100,240,0.14105721875957472
f_polvo,xG,100,250,0.06567833838704577
f_polvo,xG,100,260,-0.20081198475524467
f_polvo,xG,100,270,-0.2912696749164358
f_polvo,xG,100,280,-0.27575973320058744
f_polvo,xG,100,290,-0.22796071825044245
f_polvo,xG,100,300,-0.46285614265987285
f_polvo,xG,100,310,-0.7655543232588795
f_polvo,xG,100,320,-0.8015647552912037
f_polvo,xG,100,330,-0.911790515115898
f_polvo,xG,100,340,-1.030737174864715
f_polvo,xG,100,350,-0.982117901395796
f_polvo,xG,100,360,-1.1722454976254644
f_polvo,xC,80,80,0.8001644472574949
f_polvo,xC,80,90,0.3951437564720179
f_polvo,xC,80,100,0.19186250159402615
f_polvo,xC,80,110,0.18756959458852993
f_polvo,xC,80,120,0.009828876355765508
f_polvo,xC,80,130,-0.2741689831984087
f_polvo,xC,80,140,-0.19682132354778756
f_polvo,xC,80,150,-0.8401615312308423
f_polvo,xC,80,160,-1.2147405207411364
f_polvo,xC,80,170,-0.6601597400214309
f_polvo,xC,80,180,-1.1715658980958665
f_polvo,xC,80,190,-0.6482111964823002
f_polvo,xC,80,200,-0.021354792029326775
f_polvo,xC,80,210,-0.03539229800080472
f_polvo,xC,80,220,0.08020872077685831
f_polvo,xC,80,230,0.30581853597040287
f_polvo,xC,80,240,0.787642050494
f_polvo,xC,80,250,0.023553207713547936
f_polvo,xC,80,260,-0.5503283326273424
f_polvo,xC,80,270,-1.3630980748481611
f_polvo,xC,80,280,-0.4135024508040504
f_polvo,xC,80,290,-0.47113412562314
f_polvo,xC,80,300,-0.3885949740108319
f_polvo,xC,80,310,-0.7887656273139968
f_polvo,xC,80,320,-0.9805778051895483
f_polvo,xC,80,330,-0.9184164745750484
f_polvo,xC,80,340,-0.2823896808054476
f_polvo,xC,80,350,-0.6905681072851045
f_polvo,xC,80,360,-1.2092608677232595
f_polvo,xC,90,90,0.5172883635872811
f_polvo,xC,90,100,0.34462672906232744
f_polvo,xC,90,110,0.24697106352352657
f_polvo,xC,90,120,0.07973003815177702
f_polvo,xC,90,130,-0.15830843659718682
