s,beta_GN_A,se_GN_A,beta_C_A,se_C_A,beta_GN_B_canales_W100,se_GN_B_canales_W100,beta_C_B_canales_W100,se_C_B_canales_W100
100,-0.11529523734884417,0.604587770518842,-0.31908219484895983,0.8394963830229636,-0.0879842362879343,0.6490986370171624,-0.2853315300327163,0.9013016547347794
110,-0.9179016960704184,0.709052321458041,-0.4502816543045208,0.8454257713173254,-0.934672944036995,0.781351856819717,-0.43645761325819216,0.9316308207886236
120,-0.9548714025885534,0.7049607003010199,-0.829923868824144,0.9023516614924318,-0.9801487964512858,0.7552208687092266,-0.8094847727568121,0.9666848171572358
130,-0.9777257324715243,0.6983082796989429,-0.8846794876799798,0.9058641547265603,-0.9953401220971128,0.7715571537524523,-0.8782907606149336,1.0008845508870656
140,-1.8457427145876795,0.7407140681614989,-0.7353089235986754,0.9041507509513045,-1.8751530337630322,0.8296197043083282,-0.7387065744458013,1.0126731905013966
150,-2.338580505636142,0.8354185377748274,-0.3007394917174382,0.9971646204619734,-2.360978535899014,0.8922266923561728,-0.295067239074514,1.064971449423579
160,-2.37634476712854,0.9981743550499667,-0.10818299420640252,1.3122245850173524,-2.38532867429182,1.0864246056373805,-0.11016372928648023,1.4282405374097071
170,-2.0180201880376876,0.9499548058993261,0.5082456168808862,1.4806493832722505,-2.068087199931574,1.0855150912445573,0.5517695079061626,1.6919407538155125
180,-2.365471985746003,0.9538278193551806,0.7635890429608407,1.5082546965946415,-2.4178724684235977,1.1157636765591514,0.8279573605188048,1.7643182252722625
190,-2.435148715761135,0.9556470374746846,-0.5661112668576511,1.472449833472342,-2.507374605577918,1.0885783603412438,-0.42757983534192845,1.677268868683664
200,-2.8109974470706156,0.933161702536617,-0.12416002330607805,1.5069797656053765,-2.828052292582752,1.0591016694062616,0.01202744548131085,1.7103625032784526
210,-2.3188290913364136,0.8693833974607589,-0.2778050932723099,1.5752753695571602,-2.367981066263134,1.043194159054749,-0.09607886546051203,1.890211003827014
220,-1.7475513584219575,0.757750987897367,0.4262734728664628,1.802106707359596,-1.6976145997812346,0.888357941464503,0.641268863393151,2.1127201817204084
230,-1.5235143813830154,0.8013994249742834,1.4849548822712384,1.832794288963482,-1.4831681659538938,0.9142649142011718,1.8504587977561324,2.0909167902152745
240,-1.2563732130686123,0.6584890373838823,1.9231573572734921,1.6827064745906897,-1.2235235456144593,0.7617318094642705,2.2258915590643107,1.9465336169901488
250,-1.0986377841376989,0.6342827396427421,0.8235074809081726,1.6803252622795701,-1.0562392883794987,0.7472847698761967,1.1061334001683087,1.979687288427567
260,-1.000005900372239,0.6394305223671036,0.4279900186397637,1.4891643534638415,-0.9559290738902676,0.7372176051765144,0.6378817211956402,1.7168998663228738
270,-1.2302343515064111,0.677733040863734,2.195255659316778,1.5493161738464154,-1.18600302978421,0.743077956588896,2.454703601311659,1.6986964293561653
280,-0.9452986285808045,0.697618740389917,2.4565326993231316,1.3605973164055423,-0.889417867963743,0.7623660385107793,2.7228242910793137,1.4868768943000756
290,-0.9128024576284635,0.6902626411377949,3.5771093536516254,1.5090184705843221,-0.8519505658238763,0.7361070664270623,3.831219767068071,1.6092413139078354
300,-0.5361930046604427,0.7062005167816899,2.8507034347300797,1.6680204636970328,-0.4875429813847358,0.7244062897066995,3.0909322181327816,1.7110218508026798
310,-0.21370404861330725,0.6890366894503125,2.5948791016675172,1.6615009319883713,-0.1453647206369825,0.7034478786115442,2.811647535601268,1.6962511921545593
320,-0.4238710434638604,0.748513504310538,2.7964404883890057,1.596222604530489,-0.4058048194429935,0.7832214043970481,3.0159268958188834,1.6702380155482286
330,0.013739399167525382,0.7539219480135751,2.808961334704548,1.6551466301008395,0.04721479168097835,0.7815111806713673,3.008027384405228,1.7157155332624048
340,0.12960224555590805,0.8270588452330527,2.7525295674943764,1.7138577524958865,0.1469200307679437,0.8320024333461412,2.9731793689607997,1.7241020136649643
350,0.3718335303984977,0.787224398880867,2.9164114238239325,1.581519094663415,0.3975742568826728,0.8265326709721755,3.099525959764539,1.6604886781506734
360,0.5001223477802705,0.7596866235240326,2.3290462144239945,1.2932820783490069,0.5247278867803277,0.8148092764101051,2.4419923419475302,1.3871222709772708
