variante,muestra,n,pendiente,se,t,p_uni,spearman,sd_score
kalman_continuo_qctrl0,todo,261,0.5117768920236924,0.3188482011763577,1.6050800667387932,0.05423809270773108,0.12607163828537873,0.8914683423197446
kalman_continuo_qctrl0,DEV,198,0.794849601504654,0.355116934712426,2.2382756883963415,0.012601541254142522,0.18908803361523815,0.9360661226890901
kalman_continuo_qctrl0,lockbox,63,-1.0471259168645874,0.778337122050752,-1.3453372416641705,0.9107418239548039,-0.120823732718894,0.7056960238263311
kalman_periodico10_qctrl0,todo,261,0.505499039526128,0.30866728907221197,1.637682570918189,0.05074396412708229,0.12230681488380883,0.919380045261686
kalman_periodico10_qctrl0,DEV,198,0.7974888364448974,0.3424477412850421,2.3287898861657093,0.009935099732953426,0.1853452773790503,0.9684722417455764
kalman_periodico10_qctrl0,lockbox,63,-1.1270445857369746,0.7621381218186631,-1.4787930868062973,0.9304021879596215,-0.16373847926267282,0.7181847957094684
kalman_adaptativo20_qctrl0,todo,261,0.5602811094062212,0.31259129527743396,1.7923759166388664,0.03653638496516819,0.14275281619319524,0.940380146353512
kalman_adaptativo20_qctrl0,DEV,198,0.7293304204540165,0.3560974614297507,2.0481202464227497,0.020274109265647662,0.18685258317429324,0.9414946013956562
kalman_adaptativo20_qctrl0,lockbox,63,-0.30553142082015955,0.7454917966372031,-0.40983874295916334,0.6590378781471383,-0.05064324116743472,0.7784417015823148
W100_duro (referencia v9),todo,261,0.527789407681556,0.2270341886175623,2.3247133433749663,0.010043646654653139,0.15362814775818198,1.3343367130239272
W100_duro (referencia v9),DEV,198,0.5935525012945254,0.26972876508485055,2.200553215404398,0.013883834361020963,0.1938341144269262,1.2389574368774636
W100_duro (referencia v9),lockbox,63,0.3674470827116412,0.4717996950464996,0.7788200937167338,0.21804284970082183,0.022801459293394777,1.2368779674145125
exp_semivida60,todo,261,0.5973378492491442,0.3050986982532739,1.957851189365848,0.025123738393149582,0.14511241149830253,0.9623712796428396
exp_semivida60,DEV,198,0.7761766902324101,0.33946703768954123,2.286456722028666,0.0111137766091566,0.18858096048617182,0.9803715726802207
exp_semivida60,lockbox,63,-0.6241635883921188,0.7805683583953182,-0.7996270687621335,0.7880365502722797,-0.08314132104454686,0.7076721697210032
expansiva,todo,261,0.55895004925556,0.39494811506664845,1.4152493148656649,0.07849770503384532,0.110466991988445,0.7351886444751641
expansiva,DEV,198,1.0330736610479472,0.4656164709461323,2.218722329450121,0.01325281046820491,0.1729590886288078,0.7127045429977459
expansiva,lockbox,63,-0.8070561467987724,0.7760196188431122,-1.0399945145741667,0.8508287754173931,-0.08669354838709678,0.7314298773869086
