idx_cronologico,es_dev,T_media_R,beta_G_filt,beta_C_filt,beta_G_smooth,beta_C_smooth,sd_G_smooth,sd_C_smooth,beta_G_smooth_lo,beta_G_smooth_hi,beta_C_smooth_lo,beta_C_smooth_hi
AP0042,True,1089.9648179898911,0.6177189588282075,0.7228691123185235,-1.2681425477075303,0.9444640233819875,0.8453892391875111,0.7137765558588532,-2.925105456515052,0.3888203610999914,-0.45453802610136484,2.34346607286534
AP0043,True,1094.8586258490682,0.6593264784509753,0.7368198471148717,-1.279332659838499,0.943856719677703,0.8403965196443309,0.7125884146851129,-2.9265098383413877,0.3678445186643895,-0.45281657310511836,2.3405300124605244
AP0044,True,1075.8580077882166,0.884523200878907,0.9036463632592474,-1.2934974268921127,0.9432048849421836,0.8354730446240028,0.7113982284143948,-2.9310245943551583,0.34402974057093294,-0.45113564275003026,2.3375454126343973
AP0045,True,1124.8018590195136,1.0961125299558887,0.4141933712972803,-1.307804914051423,0.9425444828360393,0.8306289508448285,0.7102091493373947,-2.9358376577072867,0.32022782960444074,-0.4494654498652543,2.334554415537333
AP0046,True,1084.9050820606365,1.1093873709093178,0.42876622086280497,-1.3223932585650093,0.9419221538984017,0.8258764659813398,0.7090641556853002,-2.9411111318884355,0.29632461475841665,-0.4478435912447867,2.33168789904159
AP0047,True,1063.0025007097631,1.1129924821120092,0.5259723836887821,-1.339698854526783,0.9411426012975226,0.821308275287234,0.7079280394520272,-2.9494630740897616,0.2700653650361957,-0.44639635602845074,2.328681558623496
AP0048,True,1084.6925105143605,1.3208335761295578,0.6549250069829445,-1.3571027884890188,0.9403599451670606,0.816579174097089,0.7067896273063706,-2.9575979697193135,0.24339239274127578,-0.4449477243534259,2.3256676146875472
AP0049,True,1066.9664845435434,1.1891875279698465,0.4716552807983565,-1.3755076087212026,0.9395841914295834,0.8117506636799201,0.7056487082378584,-2.966538909533846,0.21552369209144073,-0.443487276716619,2.3226556595757857
AP0050,True,1093.4432709401478,1.068405503154865,0.46561764043793646,-1.3953952682898605,0.9387178836757398,0.8073636929488189,0.7045240608317562,-2.9778281064695458,0.18703756988982456,-0.44214927555450234,2.319585042905982
AP0051,True,1096.8110484399667,0.7574628872679507,1.1981575442656254,-1.4147136253585761,0.9378864968023317,0.8030215281225644,0.7034033005929199,-2.9886358204788026,0.1592085697616501,-0.4407839723597913,2.3165569659644545
AP0052,True,1120.1768819986464,0.1177261198335523,1.6268965992748725,-1.4332910524836717,0.937012704496175,0.7991694834114834,0.7023001404110897,-2.9996632399701793,0.1330811350028358,-0.4394955707095608,2.3135209797019107
AP0053,True,1107.1976487196105,0.0732523729074989,1.70844433656001,-1.4456129987334636,0.935753238429318,0.7957615694907084,0.701219597294201,-3.005305674935252,0.11407967746832481,-0.438637172267316,2.310143649125952
AP0054,True,1079.3918380306568,0.1783503266018972,1.2648959564734654,-1.4584506981107896,0.9346906909820111,0.792182484670505,0.700157990361067,-3.0111283680649796,0.09422697184340012,-0.4376189701256802,2.307000352089702
AP0055,True,1076.8224634783085,0.2147507370260185,1.2392681702307864,-1.47243939935663,0.9336701159392569,0.7885237579233482,0.6990959299031475,-3.017945964886392,0.07306716617313236,-0.4365579066709122,2.303898138549426
