estado,y,muestra,n,x,beta,se,t,p
S1_v9,recuperacion_refinada_pct,DEV,298,x_gn_S1_v9,-1.2185686734580807,0.36156140321557934,-3.3702952323467854,0.0007508768876168509
S1_v9,recuperacion_refinada_pct,DEV,298,x_carbon_S1_v9,0.7254555532319239,0.7767319997712855,0.9339843774243107,0.3503119517162705
S1_v9,recuperacion_refinada_pct,total,361,x_gn_S1_v9,-0.6898978701799586,0.35063445575682933,-1.967570097156721,0.04911752317128209
S1_v9,recuperacion_refinada_pct,total,361,x_carbon_S1_v9,0.7324066480822631,0.7085647293593369,1.0336481872933236,0.30130066338144
S1_v9,f_dross,DEV,298,x_gn_S1_v9,0.01071536264712214,0.002753351685269031,3.8917522612354323,9.952283944847663e-05
S1_v9,f_dross,DEV,298,x_carbon_S1_v9,-0.004519163425225241,0.005771541425487189,-0.783008054879164,0.4336223819822833
S1_v9,f_dross,total,361,x_gn_S1_v9,0.008590055564695448,0.002785900734053291,3.0834033171732997,0.0020464759528250128
S1_v9,f_dross,total,361,x_carbon_S1_v9,-0.0064832516059219105,0.005447530799893373,-1.1901266544557785,0.23399661540391725
S1_v9,sn_perdido_escoria_frac,DEV,298,x_gn_S1_v9,-0.0008224620463259722,0.0007925914438751027,-1.0376872633204661,0.29941567654462764
S1_v9,sn_perdido_escoria_frac,DEV,298,x_carbon_S1_v9,-0.0032070175971139494,0.0014846699196934135,-2.1600879458622044,0.030765861998799264
S1_v9,sn_perdido_escoria_frac,total,361,x_gn_S1_v9,-0.0006953558224213966,0.0006822579507396575,-1.0191978293071402,0.30810905699253754
S1_v9,sn_perdido_escoria_frac,total,361,x_carbon_S1_v9,-0.0021067527741553843,0.0012232969389830914,-1.7221924677639564,0.08503465885791674
S2_t2,recuperacion_refinada_pct,DEV,254,x_gn_S2_t2,-1.256531772967359,0.4587116987469519,-2.7392625398475485,0.0061577179199654945
S2_t2,recuperacion_refinada_pct,DEV,254,x_carbon_S2_t2,0.368927077825753,0.7000985054319713,0.5269645270819704,0.5982182223631215
S2_t2,recuperacion_refinada_pct,total,317,x_gn_S2_t2,-0.6930138674435515,0.4369227306263273,-1.5861245452945842,0.11271105990105927
S2_t2,recuperacion_refinada_pct,total,317,x_carbon_S2_t2,0.537360238496919,0.7021680376709525,0.7652872384782842,0.444100521449857
S2_t2,f_dross,DEV,254,x_gn_S2_t2,0.011527024660612338,0.0032861480593123792,3.5077618088286466,0.0004518934575474403
S2_t2,f_dross,DEV,254,x_carbon_S2_t2,-0.002028837509668021,0.0054145568045519095,-0.3747005679139644,0.7078831698472516
S2_t2,f_dross,total,317,x_gn_S2_t2,0.009705650326682675,0.003242307416763031,2.993439263810569,0.0027585240731536763
S2_t2,f_dross,total,317,x_carbon_S2_t2,-0.004955329403540092,0.0051961272268367335,-0.953658212590912,0.3402566788879474
S2_t2,sn_perdido_escoria_frac,DEV,254,x_gn_S2_t2,-0.0015154264414919986,0.0010658064425777076,-1.4218589613953374,0.15506719884411685
S2_t2,sn_perdido_escoria_frac,DEV,254,x_carbon_S2_t2,-0.001527276037881397,0.00196788784779119,-0.7760991255653378,0.437690459955799
S2_t2,sn_perdido_escoria_frac,total,317,x_gn_S2_t2,-0.001225052983706166,0.0008084510616027305,-1.515308769930408,0.12969422842983236
S2_t2,sn_perdido_escoria_frac,total,317,x_carbon_S2_t2,-0.0004728570258233254,0.0012315304181682177,-0.3839588684513814,0.7010089333891105
S3p_plan,recuperacion_refinada_pct,DEV,297,x_gn_S3p_plan,-1.2132840179881097,0.41817430362562624,-2.901383484037105,0.0037151891353082453
S3p_plan,recuperacion_refinada_pct,DEV,297,x_carbon_S3p_plan,1.624623923738558,0.7705532069514445,2.1083864281949993,0.03499757742229104
S3p_plan,recuperacion_refinada_pct,total,360,x_gn_S3p_plan,-0.7238576209215504,0.38205696954125173,-1.8946326821120678,0.058141081844081254
S3p_plan,recuperacion_refinada_pct,total,360,x_carbon_S3p_plan,1.5105252049437303,0.6893469054314829,2.1912410036834027,0.02843435681185018
S3p_plan,f_dross,DEV,297,x_gn_S3p_plan,0.011488902428516015,0.002993893778251087,3.8374449060204707,0.00012432111437660486
S3p_plan,f_dross,DEV,297,x_carbon_S3p_plan,-0.012847706015397184,0.0057219900481166085,-2.2453212793730746,0.024747514933170362
S3p_plan,f_dross,total,360,x_gn_S3p_plan,0.009370250840291,0.002949103335357484,3.177321977140946,0.0014864191416743533
S3p_plan,f_dross,total,360,x_carbon_S3p_plan,-0.013913343976512406,0.005211625197929875,-2.6696747076207563,0.0075924762906381055
S3p_plan,sn_perdido_escoria_frac,DEV,297,x_gn_S3p_plan,-0.0017138460485815116,0.0008365562450572883,-2.04869195431581,0.04049224644545412
S3p_plan,sn_perdido_escoria_frac,DEV,297,x_carbon_S3p_plan,-0.0006982534243119728,0.0013891049615483183,-0.5026642648613742,0.615200338090403
S3p_plan,sn_perdido_escoria_frac,total,360,x_gn_S3p_plan,-0.0015306711180487738,0.0007274131284710671,-2.104266555191348,0.03535520174249664
S3p_plan,sn_perdido_escoria_frac,total,360,x_carbon_S3p_plan,0.0005310800636711363,0.0014136083171087336,0.3756911000335364,0.7071465551559499
S4_online,recuperacion_refinada_pct,DEV,255,x_gn_S4_online,-1.4147267890567425,0.45411009469048585,-3.1153828236762666,0.0018370632033652059
S4_online,recuperacion_refinada_pct,DEV,255,x_carbon_S4_online,0.2793127852128229,0.6363531093883137,0.4389273519560684,0.6607141770792058
S4_online,recuperacion_refinada_pct,total,318,x_gn_S4_online,-0.9591903131289305,0.4340658222415366,-2.209780784341937,0.027120379956981855
S4_online,recuperacion_refinada_pct,total,318,x_carbon_S4_online,0.4608810230209738,0.6567322174565978,0.7017792195514339,0.4828168600727447
S4_online,f_dross,DEV,255,x_gn_S4_online,0.013576052832914378,0.003400198442299262,3.992723678719781,6.531866901059544e-05
