grupo,candidata,canal,muestra,n,coef,t,p
R,lanza,f_metal,DEV,298,0.006107358060377232,1.060967639078767,0.28870460807282505
R,lanza,f_metal,LOCKBOX,63,-0.015434961523458184,-1.3557353697174537,0.1751833814256838
R,lanza,f_metal,TOTAL,361,0.002052469489070808,0.3945903004028357,0.6931452730323184
R,lanza,f_dross,DEV,298,-0.002742013379595341,-0.5917954310947353,0.5539875830692655
R,lanza,f_dross,LOCKBOX,63,0.008426676930803005,0.86288557807718,0.38820038079082964
R,lanza,f_dross,TOTAL,361,-0.00016650735272486595,-0.03978847979390008,0.968261760752243
R,lanza,f_polvo,DEV,298,-0.003365344680781902,-1.045512467410211,0.2957861814648547
R,lanza,f_polvo,LOCKBOX,63,0.007008284592655383,0.590354725894133,0.5549528567925723
R,lanza,f_polvo,TOTAL,361,-0.0018859621363459208,-0.6269630647717361,0.5306834465078293
R,lanza,sn_perdido_escoria_frac,DEV,298,0.0011400724719038025,1.26616412311631,0.20545432917233197
R,lanza,sn_perdido_escoria_frac,LOCKBOX,63,-0.0020986824857105084,-0.7377814309967209,0.4606472789902011
R,lanza,sn_perdido_escoria_frac,TOTAL,361,0.0010174874444699117,1.375094126817213,0.16910226496868652
R,o2,f_metal,DEV,298,-0.006598168828141553,-1.1163357825834066,0.2642784303883079
R,o2,f_metal,LOCKBOX,63,-0.006411546024268758,-0.5557013333598289,0.5784150449287555
R,o2,f_metal,TOTAL,361,-0.004492581319676168,-0.8381398452124691,0.4019521669397208
R,o2,f_dross,DEV,298,0.0047217880553676195,0.988887586484227,0.3227181446782922
R,o2,f_dross,LOCKBOX,63,0.009251582370997881,0.8374084850906606,0.4023629979020179
R,o2,f_dross,TOTAL,361,0.0033259579587046006,0.7457665583299989,0.45580844465958636
R,o2,f_polvo,DEV,298,0.0018763807727741407,0.46581059609937114,0.6413510798322246
R,o2,f_polvo,LOCKBOX,63,-0.0028400363467289535,-0.3073663082247586,0.7585645698949025
R,o2,f_polvo,TOTAL,361,0.0011666233609749206,0.32538264318822424,0.744891490164955
R,o2,sn_perdido_escoria_frac,DEV,298,0.0024514015626905974,2.155424289390965,0.0311286473349287
R,o2,sn_perdido_escoria_frac,LOCKBOX,63,0.0003703283589157687,0.1630034401286933,0.8705157260686535
R,o2,sn_perdido_escoria_frac,TOTAL,361,0.0015651333954597498,1.6297016259490869,0.10316457357136005
R,enriq,f_metal,DEV,298,-0.0017033433182720415,-0.4391021317310901,0.6605875345448649
R,enriq,f_metal,LOCKBOX,63,0.009945645696109433,0.7718270995283358,0.44021683904884246
R,enriq,f_metal,TOTAL,361,-0.0002204868849542565,-0.05868860624616464,0.9532001345942737
R,enriq,f_dross,DEV,298,0.0018103127291991053,0.6385505015778643,0.5231153907696965
R,enriq,f_dross,LOCKBOX,63,-0.012947096256856546,-1.1997183052567506,0.2302487613167008
R,enriq,f_dross,TOTAL,361,0.0008448817153270582,0.27924898760295463,0.7800537515816771
R,enriq,f_polvo,DEV,298,-0.0001069694109271925,-0.040890868075844355,0.9673828975798411
R,enriq,f_polvo,LOCKBOX,63,0.003001450560747001,0.3675081950783502,0.7132399800898213
R,enriq,f_polvo,TOTAL,361,-0.0006243948303727312,-0.252923416510927,0.8003273938892088
R,enriq,sn_perdido_escoria_frac,DEV,298,0.0013752025882671117,2.057297229147622,0.039657643734578966
R,enriq,sn_perdido_escoria_frac,LOCKBOX,63,-0.004723370424228216,-1.1911341939522146,0.23360090811957612
R,enriq,sn_perdido_escoria_frac,TOTAL,361,0.000730232027590771,0.9250620989489827,0.35493360650135075
R,aire,f_metal,DEV,298,-0.001007321808758948,-0.2063524808246807,0.8365155867661094
R,aire,f_metal,LOCKBOX,63,-0.0052339618170060935,-0.419302183319279,0.6749953011368854
R,aire,f_metal,TOTAL,361,-0.002126963671047022,-0.4294505847375602,0.6675953479904313
R,aire,f_dross,DEV,298,0.0005167266692976957,0.13924716529868406,0.8892548389976669
R,aire,f_dross,LOCKBOX,63,0.0029248130956129915,0.21034997534838376,0.8333945330038903
R,aire,f_dross,TOTAL,361,0.0005444979671518941,0.13239295570531232,0.8946734861653751
R,aire,f_polvo,DEV,298,0.0004905951394613345,0.15016784406968953,0.8806321948944758
R,aire,f_polvo,LOCKBOX,63,0.002309148721393234,0.2207572173206506,0.8252814773359882
R,aire,f_polvo,TOTAL,361,0.0015824657038943644,0.534925344985132,0.59270148165309
R,aire,sn_perdido_escoria_frac,DEV,298,-0.000366130287546133,-0.31135530160400415,0.7555305303730371
R,aire,sn_perdido_escoria_frac,LOCKBOX,63,0.003969493547207496,0.8312906753293734,0.4058094409989581
R,aire,sn_perdido_escoria_frac,TOTAL,361,-0.0002724047234390007,-0.2580211803754592,0.7963905609669315
R,esteq,f_metal,DEV,298,-0.004746706406340264,-0.9474110750236685,0.3434293498424401
R,esteq,f_metal,LOCKBOX,63,-0.0035642852845791592,-0.3455442604608708,0.7296852418848508
R,esteq,f_metal,TOTAL,361,-0.0031080727570909164,-0.6409843718163166,0.5215328367721663
R,esteq,f_dross,DEV,298,0.0023581218072877435,0.5806703041084511,0.5614626794848758
R,esteq,f_dross,LOCKBOX,63,-0.0014423557578280843,-0.11273468193010426,0.9102409043070279
R,esteq,f_dross,TOTAL,361,0.001365265734311997,0.332609415961395,0.7394291347932691
R,esteq,f_polvo,DEV,298,0.002388584599053648,0.969823752538415,0.3321343511187924
R,esteq,f_polvo,LOCKBOX,63,0.005006641042407061,0.5130991327733009,0.6078819781356506
R,esteq,f_polvo,TOTAL,361,0.0017428070227787477,0.748326274017604,0.45426338033187263
R,esteq,sn_perdido_escoria_frac,DEV,298,0.0021161948555081683,1.7619628082332128,0.07807558148180205
R,esteq,sn_perdido_escoria_frac,LOCKBOX,63,-0.0003019632939114368,-0.14138273964245787,0.8875675890694362
R,esteq,sn_perdido_escoria_frac,TOTAL,361,0.0012399206850588712,1.169528606530542,0.24219072265771857
R,caudal,f_metal,DEV,298,-0.0006824399553207018,-0.10486759915553148,0.9164808692985909
R,caudal,f_metal,LOCKBOX,63,-0.005155998507767434,-0.3342832869087087,0.7381658008848493
R,caudal,f_metal,TOTAL,361,-0.0014994894370620585,-0.2263934771917985,0.8208954006941341
R,caudal,f_dross,DEV,298,0.0002200053340203189,0.04394407694088599,0.9649489808977781
R,caudal,f_dross,LOCKBOX,63,0.006904050019656296,0.3254620722584012,0.7448313833507607
R,caudal,f_dross,TOTAL,361,-0.00021062000552540052,-0.03801371843959588,0.969676744201185
R,caudal,f_polvo,DEV,298,0.0004624346213008351,0.11332681457663207,0.9097714592192947
R,caudal,f_polvo,LOCKBOX,63,-0.0017480515118886882,-0.11603566647340786,0.9076242749471108
R,caudal,f_polvo,TOTAL,361,0.0017101094425864246,0.4615364847500428,0.6444137516653325
R,caudal,sn_perdido_escoria_frac,DEV,298,-4.6468994435731e-05,-0.02986410575247216,0.9761754325327792
R,caudal,sn_perdido_escoria_frac,LOCKBOX,63,0.003452471925041367,0.6390562397990038,0.5227863462849123
R,caudal,sn_perdido_escoria_frac,TOTAL,361,-0.00019001480874112435,-0.137352170172142,0.890752435315954
R,ppunta,f_metal,DEV,255,0.004240615104789744,1.1021206175672609,0.2704092370931379
R,ppunta,f_metal,LOCKBOX,63,-0.0033110961902142436,-0.4552989135823969,0.648894207742104
R,ppunta,f_metal,TOTAL,318,0.0021731017543910845,0.6002764596258027,0.5483220044846003
R,ppunta,f_dross,DEV,255,-0.0024218859924766017,-0.7358482260406743,0.4618230683940112
R,ppunta,f_dross,LOCKBOX,63,0.0011976436215997447,0.14247848298179838,0.886702074065729
R,ppunta,f_dross,TOTAL,318,-0.000538149313476177,-0.1695315604516288,0.8653785499807507
R,ppunta,f_polvo,DEV,255,-0.0018187291123131601,-0.7396062572823503,0.45953894377520454
R,ppunta,f_polvo,LOCKBOX,63,0.002113452568614495,0.27393535602505825,0.7841343002651798
R,ppunta,f_polvo,TOTAL,318,-0.0016349524409139929,-0.7273081268150048,0.4670372208115722
R,ppunta,sn_perdido_escoria_frac,DEV,255,0.0006103846498582823,1.0657176499517909,0.2865512965776752
