candidata,placebo,n,coef,t,p
F_esteq,lead1,297,-0.6441976202093479,-1.2219030118688985,0.22174430635826348
F_esteq,lead3,295,0.23137621483149767,0.48401975694342736,0.628371847775599
F_esteq,pre_ley_sn_conc_batch_pct,298,7.494005416219807e-16,0.10920153854640166,0.9130426400254558
F_esteq,pre_feed_sn_total_t,298,9.43689570931383e-15,1.3114239051780816,0.18971458683575626
F_esteq,pre_kpi_prev,297,-0.6342368237691972,-1.1888919688546857,0.23448218086701422
F_o2,lead1,297,-0.6567620823676292,-1.4015276803876122,0.1610563360802293
F_o2,lead3,295,-0.1265102709696747,-0.2889203088823103,0.7726423619377357
F_o2,pre_ley_sn_conc_batch_pct,298,5.6066262743570405e-15,1.5114230478913893,0.130680700852673
F_o2,pre_feed_sn_total_t,298,4.3298697960381105e-15,1.374329974837256,0.16933926463986215
F_o2,pre_kpi_prev,297,-0.8849075812833623,-2.028232222599004,0.04253655268444179
