grupo,candidata,spec,muestra,n,pendiente,se,t,p_uni,spearman,sd_score,p_perm_bilateral
R,lanza,base(xG+xC),DEV,198,0.5935525012945231,0.2697287650848515,2.2005532154043816,0.013883834361021554,0.1938341144269262,1.2389574368774618,
R,lanza,base(xG+xC),LOCKBOX,63,0.36744708271163773,0.47179969504650315,0.7788200937167205,0.21804284970082577,0.022801459293394777,1.2368779674145154,
R,lanza,base(xG+xC),TOTAL,261,0.5277894076815706,0.22703418861755997,2.324713343375054,0.010043646654650788,0.15362814775818198,1.3343367130239272,
R,lanza,cand(xG+xC+R_lanza),DEV,198,0.40308793058756986,0.26163618499068647,1.5406428992301606,0.06170186051792746,0.15341822170381209,1.2711396795840144,
R,lanza,cand(xG+xC+R_lanza),LOCKBOX,63,0.27876728797174505,0.4717317125129421,0.5909445572076034,0.2772787849671046,-0.012912826420890937,1.2587924027155069,
R,lanza,cand(xG+xC+R_lanza),TOTAL,261,0.35361980332767373,0.22320572629704294,1.5842774699116604,0.05656529526542517,0.12119248655179163,1.3620934143937597,
R,lanza,PERM_bloques20(n=1200),DEV,198,0.40308793058756986,,1.5406428992301606,0.06170186051792746,0.15341822170381209,1.2711396795840144,0.9567027477102414
R,o2,base(xG+xC),DEV,198,0.5935525012945231,0.2697287650848515,2.2005532154043816,0.013883834361021554,0.1938341144269262,1.2389574368774618,
R,o2,base(xG+xC),LOCKBOX,63,0.36744708271163773,0.47179969504650315,0.7788200937167205,0.21804284970082577,0.022801459293394777,1.2368779674145154,
R,o2,base(xG+xC),TOTAL,261,0.5277894076815706,0.22703418861755997,2.324713343375054,0.010043646654650788,0.15362814775818198,1.3343367130239272,
R,o2,cand(xG+xC+R_o2),DEV,198,0.6413765905737213,0.272347581243597,2.3549927913626383,0.009261532513097012,0.1645691926792863,1.2226882182402832,
R,o2,cand(xG+xC+R_o2),LOCKBOX,63,0.3343444929346525,0.4759660513755417,0.7024544964255267,0.24119788486801214,0.00830453149001536,1.2704245846191577,
R,o2,cand(xG+xC+R_o2),TOTAL,261,0.5435305606868205,0.22928941619724083,2.3704999982173667,0.008882022010211321,0.13392390710105898,1.3192715706254023,
R,o2,PERM_bloques20(n=1200),DEV,198,0.6413765905737213,,2.3549927913626383,0.009261532513097012,0.1645691926792863,1.2226882182402832,0.11740216486261448
R,enriq,base(xG+xC),DEV,198,0.5935525012945231,0.2697287650848515,2.2005532154043816,0.013883834361021554,0.1938341144269262,1.2389574368774618,
R,enriq,base(xG+xC),LOCKBOX,63,0.36744708271163773,0.47179969504650315,0.7788200937167205,0.21804284970082577,0.022801459293394777,1.2368779674145154,
R,enriq,base(xG+xC),TOTAL,261,0.5277894076815706,0.22703418861755997,2.324713343375054,0.010043646654650788,0.15362814775818198,1.3343367130239272,
R,enriq,cand(xG+xC+R_enriq),DEV,198,0.4315379448126017,0.22389055380265355,1.9274504327367792,0.026961759831321184,0.18792702166423567,1.494292746942639,
R,enriq,cand(xG+xC+R_enriq),LOCKBOX,63,0.44702139555447595,0.3822392108118784,1.1694807411437456,0.12110499807491082,0.051555299539170506,1.511184301349985,
